Player Name,Receptions,Yards,Average,Long,Touchdowns
Bobby Mitchell,72,1384,19.22,81,11
Sonny Randle,63,1158,18.38,86,7
Bobby Joe Conrad,62,954,15.39,72,4
Red Phillips,60,875,14.58,65,5
Mike Ditka,58,904,15.59,69,5
Tommy McDonald,58,1146,19.76,60,10
Johnny Morris,58,889,15.33,73,5
Jimmy Orr,55,974,17.71,80,11
Bernie Casey,53,819,15.45,48,6
Gail Cogdill,53,991,18.7,72,7
Del Shofner,53,1133,21.38,69,12
Timmy Brown,52,849,16.33,82,6
Raymond Berry,51,687,13.47,37,3
Buddy Dial,50,981,19.62,62,6
Boyd Dowler,49,724,14.78,41,2
Billy Howton,49,706,14.41,69,6
Max McGee,49,820,16.73,64,3
Jim Brown,47,517,11.0,53,5
Frank Clarke,47,1043,22.19,66,14
Alex Webster,47,477,10.15,58,4
Rich Kreitling,44,659,14.98,53,3
Lee Folkins,39,536,13.74,52,6
Frank Gifford,39,796,20.41,63,7
Clarence Peaks,39,347,8.9,27,0
Jerry Reichow,39,561,14.38,41,3
Ron Kramer,37,555,15.0,54,7
Preston Carpenter,36,492,13.67,43,4
Fred Dugan,36,466,12.94,27,5
Tommy Mason,36,603,16.75,74,6
Pat Studstill,36,479,13.31,51,4
Taz Anderson,35,535,15.29,51,3
Pervis Atkins,35,393,11.23,48,1
Amos Marsh,35,467,13.34,85,2
Jimmy Johnson,34,627,18.44,80,4
Jim Gibbons,33,318,9.64,22,2
Joe Walton,33,406,12.3,37,9
Don Bosseler,32,258,8.06,35,0
John Henry Johnson,32,226,7.06,18,2
Ronnie Bull,31,331,10.68,52,0
Ray Renfro,31,638,20.58,65,4
Dick Bass,30,262,8.73,33,2
Pete Retzlaff,30,584,19.47,84,3
Carroll Dale,29,584,20.14,80,3
Nick Pietrosante,26,251,9.65,26,2
Terry Barr,25,425,17.0,80,3
Dee Mackey,25,396,15.84,57,4
R.C. Owens,25,307,12.28,26,2
Clyde Conner,24,240,10.0,18,4
Bill Anderson,23,386,16.78,46,2
John David Crow,23,246,10.7,53,3
Joe Marconi,23,306,13.3,63,1
Johnny Brewer,22,290,13.18,37,2
Angelo Coia,22,361,16.41,71,4
Joe Perry,22,194,8.82,32,0
Monty Stickles,22,366,16.64,48,3
Jim Taylor,22,106,4.82,24,0
J.D. Smith,21,197,9.38,47,1
Dick James,19,373,19.63,49,5
Dick Lucas,19,236,12.42,24,1
Lenny Moore,18,215,11.94,80,2
Ernie Green,17,194,11.41,65,1
Oscar Donahue,16,285,17.81,53,1
Prentice Gautt,16,240,15.0,39,0
Billy Kilmer,16,152,9.5,70,1
Dan Lewis,16,158,9.88,34,1
Hugh McElhenny,16,191,11.94,41,0
Dick Bielski,15,200,13.33,22,2
Joe Childress,15,207,13.8,42,1
Phil King,15,186,12.4,37,0
Billy Ray Barnes,14,220,15.71,56,0
Howard Cassady,14,188,13.43,47,2
Charley Ferguson,14,364,26.0,89,6
Art Perkins,14,83,5.93,13,0
Bo Farrington,13,197,15.15,51,1
Don Perkins,13,104,8.0,21,0
Mark Smolinski,13,128,9.85,33,1
Jon Arnett,12,137,11.42,40,0
Steve Stonebreaker,12,227,18.92,56,1
Tom Watkins,12,85,7.08,29,0
Gary Collins,11,153,13.91,29,2
Steve Junker,11,149,13.55,35,2
Doug Mayberry,11,100,9.09,21,1
Tom Moore,11,100,9.09,34,0
Bill Brown,10,124,12.4,29,1
Rick Casares,10,71,7.1,24,1
Leon Clarke,10,106,10.6,22,0
Leroy Jackson,10,253,25.3,85,1
Ken Webb,10,120,12.0,53,0
Paul Dudley,9,112,12.44,38,1
Dick Hoak,9,133,14.78,23,0
Paul Hornung,9,168,18.67,83,2
John Burrell,8,193,24.13,42,0
Red Mack,8,203,25.38,40,2
Tom Matte,8,81,10.13,22,1
Charlie Scales,8,67,8.38,22,0
Tommy Wilson,8,110,13.75,42,0
Lew Carpenter,7,104,14.86,22,0
Harlon Hill,7,101,14.43,25,0
J.W. Lockett,7,78,11.14,29,2
Gordon Smith,7,138,19.71,40,1
Jim Cunningham,6,43,7.17,23,1
Joe Morrison,6,107,17.83,36,2
Theron Sapp,6,80,13.33,34,0
Joe Womack,6,57,9.5,33,0
John Adams,5,111,22.2,59,3
Frank Budd,5,130,26.0,49,1
Bob Gaiters,5,47,9.4,15,0
Willie Galimore,5,56,11.2,29,0
Johnny Counts,4,62,15.5,24,0
Mal Hammack,4,27,6.75,15,0
Alex Hawkins,4,37,9.25,14,0
Bob Reed,4,37,9.25,37,1
Aaron Thomas,4,80,20.0,37,0
Jim Vollenweider,4,21,5.25,10,0
Bobby Walston,4,43,10.75,16,0
Tom Adams,3,51,17.0,32,0
Duane Allen,3,90,30.0,43,2
Charlie Bivins,3,52,17.33,28,0
Amos Bullocks,3,46,15.33,22,1
Glynn Gregory,3,70,23.33,44,0
Ollie Matson,3,49,16.33,20,1
Kay McFarland,3,24,8.0,16,0
Dale Messer,3,30,10.0,15,0
Elijah Pitts,3,44,14.67,29,0
Glenn Shaw,3,51,17.0,30,0
Bob Crespino,2,13,6.5,9,0
Donnie Davis,2,31,15.5,24,0
Pettis Norman,2,34,17.0,29,0
C.R. Roberts,2,0,0.0,1,0
Tom Tracy,2,11,5.5,6,0
Mel Triplett,2,30,15.0,27,1
Jim Collier,1,27,27.0,27,0
Jack Elwell,1,11,11.0,11,0
Bob Ferguson,1,6,6.0,6,0
Billy Martin,1,8,8.0,8,0
Hugh McInnis,1,10,10.0,10,0
John Powers,1,16,16.0,16,0
Andy Robustelli,1,26,26.0,26,0
Ralph Smith,1,29,29.0,29,0
Bake Turner,1,111,111.0,74,1
Lloyd Winston,1,2,2.0,2,0
Fran Tarkenton,0,0.0,0
