Player Name,Receptions,Yards,Average,Long,Touchdowns
Charley Taylor,70,990,14.14,86,9
Jerry Smith,67,849,12.67,43,12
Willie Richardson,63,860,13.65,31,8
Bobby Mitchell,60,866,14.43,65,6
Ben Hawkins,59,1265,21.44,87,10
Lance Rentzel,58,996,17.17,74,8
Jackie Smith,56,1205,21.52,76,9
John Mackey,55,686,12.47,34,3
Boyd Dowler,54,836,15.48,57,4
Bernie Casey,53,871,16.43,57,8
Aaron Thomas,51,877,17.2,48,9
J.R. Wilburn,51,767,15.04,66,5
Danny Abramowicz,50,721,14.42,80,6
Bob Hayes,49,998,20.37,64,10
Homer Jones,49,1209,24.67,70,13
Bobby Joe Conrad,47,637,13.55,53,2
Dick Witcher,46,705,15.33,63,3
Dick Compton,42,507,12.07,40,1
Mel Farr,39,317,8.13,31,3
Ernie Green,39,369,9.46,41,2
Dan Reeves,39,490,12.56,60,6
Jim Taylor,38,251,6.61,27,0
Les Josephson,37,400,10.81,48,4
Joe Morrison,37,524,14.16,59,7
Billy Truax,37,487,13.16,41,4
Gary Ballman,36,524,14.56,67,6
A.D. Whitfield,36,494,13.72,53,2
Carroll Dale,35,738,21.09,86,5
Tom Matte,35,496,14.17,88,3
Dave Osborn,34,272,8.0,29,1
Tom Woodeshick,34,391,11.5,43,4
Tommy McDonald,33,436,13.21,75,4
Sonny Randle,33,502,15.21,58,4
Gary Collins,32,500,15.63,33,7
Ernie Koy,32,212,6.63,24,1
Paul Warfield,32,702,21.94,49,8
John David Crow,31,373,12.03,59,3
Dick Gordon,31,534,17.23,93,5
Junior Coffey,30,196,6.53,22,1
Roy Jefferson,29,459,15.83,58,4
Billy Gambrell,28,398,14.21,48,2
Jack Snow,28,735,26.25,80,8
Dave Williams,28,405,14.46,49,5
Dick Bass,27,212,7.85,30,1
Alex Hawkins,27,469,17.37,54,4
Mike Ditka,26,274,10.54,25,2
John Hilton,26,343,13.19,43,5
Izzy Lang,26,201,7.73,19,3
Bill Malinchak,26,397,15.27,43,4
Dave Parks,26,313,12.04,43,2
Ray Poage,24,380,15.83,65,0
Paul Flatley,23,232,10.09,27,0
Jerry Simmons,23,312,13.57,30,2
Ken Willard,23,242,10.52,25,1
Donny Anderson,22,331,15.05,37,3
Bill Brown,22,263,11.95,43,0
Timmy Brown,22,202,9.18,41,1
John Gilliam,22,264,12.0,35,1
Tony Lorick,22,189,8.59,34,0
Gail Cogdill,21,322,15.33,52,1
Jim Kelly,21,345,16.43,59,4
Gary Lewis,21,218,10.38,32,1
Tom Nowatzke,21,145,6.9,25,2
Red Phillips,21,352,16.76,42,3
Bob Windsor,21,254,12.1,55,2
Leroy Kelly,20,282,14.1,48,2
Kent Kramer,20,207,10.35,17,2
Johnny Morris,20,231,11.55,31,1
Pettis Norman,20,220,11.0,39,2
Ray Ogden,20,327,16.35,82,1
Johnny Roland,20,269,13.45,41,1
Tucker Frederickson,19,153,8.05,29,0
Earl Gros,19,175,9.21,22,0
Tom Hall,19,249,13.11,21,0
Jerry Hill,19,156,8.21,33,0
Ronnie Bull,18,250,13.89,63,1
Don Perkins,18,116,6.44,15,0
Dick Hoak,17,111,6.53,20,1
John Love,17,248,14.59,35,1
Walter Roberts,17,384,22.59,96,3
Ray Perkins,16,302,18.88,57,2
Gale Sayers,16,126,7.88,32,1
Prentice Gautt,15,202,13.47,32,1
Billy Martin,15,182,12.13,36,3
Elijah Pitts,15,210,14.0,84,0
Marlin McKeever,14,184,13.14,42,0
Randy Schultz,14,186,13.29,25,0
Ralph Smith,14,211,15.07,49,1
Ben Wilson,14,88,6.29,21,0
John Beasley,13,120,9.23,16,4
Doug Cunningham,13,121,9.31,29,0
Perry Lee Dunn,13,111,8.54,21,0
John Henderson,13,144,11.08,41,0
Tommy Mason,13,70,5.38,24,0
Lenny Moore,13,153,11.77,37,0
Brian Piccolo,13,103,7.92,25,0
Gene Washington,13,384,29.54,85,2
Ernie Wheelwright,13,107,8.23,30,0
Austin Denney,12,113,9.42,19,0
Jim Grabowski,12,171,14.25,53,1
Don Shy,12,152,12.67,55,1
Gerry Allen,11,101,9.18,21,1
