Player Name,Receptions,Yards,Average,Long,Touchdowns
Don Hutson,58,866,14.93,55,9
Jim Benton,39,505,12.95,36,6
Joe Aguirre,34,410,12.06,58,4
Wilbur Moore,33,424,12.85,59,5
Les Dye,24,281,11.71,61,2
Bob Masterson,24,258,10.75,30,1
George Wilson,24,265,11.04,24,4
Jack Matheson,23,361,15.7,44,3
Eddie Rucinski,22,284,12.91,40,1
Connie Mack Berry,21,378,18.0,51,6
Tony Bova,19,287,15.11,46,2
Bob Davis,19,97,5.11,23,0
Ray McLean,19,414,21.79,86,5
Keith Ranspot,19,269,14.16,40,3
Bob Seymour,19,263,13.84,71,3
Dave Diehl,18,426,23.67,57,4
Steve Pritko,18,296,16.44,53,3
Frank Seno,17,146,8.59,47,0
Bob Westfall,16,218,13.63,45,2
Bob Margarita,15,130,8.67,22,0
Neal Adams,14,342,24.43,39,1
Larry Cabrelli,14,169,12.07,30,1
Joe Carter,13,143,11.0,45,0
Joe Crowley,13,279,21.46,67,3
Frank Liebel,13,292,22.46,58,5
Ward Cuff,11,135,12.27,23,2
Harry Wynne,10,205,20.5,42,0
Abe Croft,9,140,15.56,67,2
Paul Duhart,9,176,19.56,32,2
Ray Hare,9,206,22.89,65,1
Harry Jacunski,9,151,16.78,48,0
Andy Kowalski,9,155,17.22,58,1
Art Van Tone,9,237,26.33,43,4
Walter West,9,64,7.11,18,0
Mel Bleeker,8,299,37.38,75,4
Bill Callihan,8,67,8.38,21,0
Elmer Hackney,8,48,6.0,10,1
Tom Miller,8,135,16.88,49,0
Alex Piasecky,8,77,9.63,18,0
Doug Turley,8,112,14.0,35,1
Don Currivan,7,163,23.29,72,2
Joe Laws,7,61,8.71,29,1
Rudy Smeja,7,110,15.71,19,1
Bob Thurbon,7,134,19.14,37,1
Rocky Uguccioni,7,94,13.43,26,0
Harvey Jones,6,59,9.83,19,0
Walt Kichefski,6,85,14.17,34,0
George Magulick,6,50,8.33,21,0
Pug Manders,6,78,13.0,30,0
John Martin,6,56,9.33,16,0
Ray Wehba,6,67,11.17,17,0
Ted Williams,6,28,4.67,16,0
Frank Akins,5,27,5.4,9,0
Larry Fuller,5,82,16.4,47,1
Al Grygo,5,42,8.4,15,0
Bob Keene,5,91,18.2,46,2
Ben Kish,5,73,14.6,45,1
Clint Wager,5,73,14.6,38,0
Lou Brock,4,74,18.5,52,2
Andy Farkas,4,29,7.25,12,0
Ted Lapka,4,61,15.25,42,1
Flip McDonald,4,26,6.5,9,1
Walt Rankin,4,18,4.5,8,0
Paul Sanders,4,5,1.25,5,0
Hubert Barker,3,34,11.33,16,0
Johnny Butler,3,109,36.33,67,2
Jack Ferrante,3,66,22.0,45,1
Frank Filchock,3,51,17.0,28,0
Ted Fritsch,3,5,1.67,13,0
Ray Hamilton,3,113,37.67,70,1
Art Macioszczyk,3,28,9.33,21,0
Frank Martin,3,15,5.0,12,0
John Popovich,3,1,0
Bernie Semes,3,22,7.33,10,0
Bob Sneddon,3,42,14.0,30,0
Lou Zontini,3,88,29.33,53,1
Bill Brown,2,10,5.0,8,0
George Cafego,2,8,4.0,5,0
Len Calligaro,2,11,5.5,10,0
Wayne Clark,2,27,13.5,19,0
Tommy Colella,2,64,32.0,54,1
Irv Comp,2,16,8.0,11,1
Larry Craig,2,17,8.5,9,0
John Durko,2,31,15.5,23,1
Charlie Gauer,2,35,17.5,18,0
Sam Goldman,2,21,10.5,11,0
Johnny Grigas,2,33,16.5,36,0
Jack Hinkle,2,34,17.0,22,0
Mike Kabealo,2,20,10.0,12,0
Doug McEnulty,2,10,5.0,5,1
Mike Micka,2,16,8.0,10,0
Tipp Mooney,2,74,37.0,61,1
Chuck Taylor,2,22,11.0,18,0
Verlin Adams,1,12,12.0,12,0
Jack Banta,1,8,8.0,8,0
Sammy Baugh,1,0,0.0,0,0
Tony Canadeo,1,12,12.0,12,0
Milt Crain,1,16,16.0,16,0
Tony Falkenstein,1,21,21.0,21,0
Gary Famiglietti,1,23,23.0,23,1
Jake Fawcett,1,9,9.0,9,0
Jim Fordham,1,13,13.0,13,0
Dick Harrison,1,9,9.0,9,0
Roy Huggins,1,0,0.0,0,0
Toimi Jarvi,1,9,9.0,9,0
Carl Kinscherf,1,9,9.0,9,0
Bill LaFitte,1,15,15.0,15,0
Ted Laux,1,6,6.0,6,0
Howie Livingston,1,12,12.0,12,1
Joel Mason,1,9,9.0,9,0
Don Perkins,1,1,1.0,1,0
John Petchel,1,43,43.0,43,1
Dick Plasman,1,17,17.0,17,0
Ben Starret,1,6,6.0,6,0
Ernie Steele,1,22,22.0,22,0
Frank Turbert,1,16,16.0,16,0
Alex Urban,1,10,10.0,10,0
John Weiss,1,10,10.0,10,0
