Player Name,Receptions,Yards,Average,Long,Touchdowns
Pete Pihos,60,872,14.53,34,10
Billy Wilson,60,830,13.83,43,5
Bob Boyd,53,1212,22.87,80,6
Billy Howton,52,768,14.77,59,2
Dante Lavelli,47,802,17.06,64,7
Dorne Dibble,46,768,16.7,45,6
Harlon Hill,45,1124,24.98,76,12
Ray Mathews,44,652,14.82,78,6
Don Stonesifer,44,607,13.8,39,3
Jerry Williams,44,668,15.18,84,3
Darrel Brewster,42,676,16.1,57,4
Howie Ferguson,41,398,9.71,49,0
Dan Edwards,40,531,13.28,42,1
Elbie Nickel,40,584,14.6,52,5
Hugh Taylor,37,659,17.81,60,8
Tom Fears,36,546,15.17,43,3
Max McGee,36,614,17.06,82,9
Elroy Hirsch,35,720,20.57,66,3
Billy Stone,35,395,11.29,42,3
Bill Bowman,34,288,8.47,66,2
Jim Dooley,34,658,19.35,69,7
Ollie Matson,34,611,17.97,70,3
Doak Walker,32,564,17.63,66,3
Bobby Walston,31,581,18.74,75,11
Lloyd Colteryahn,30,384,12.8,21,0
Bill Jessup,30,565,18.83,68,3
Bob Schnelker,30,550,18.33,68,8
George Sulima,30,439,14.63,37,1
Royce Womble,30,338,11.27,78,3
Kyle Rote,29,551,19.0,63,2
John Hoffman,28,354,12.64,54,1
John Henry Johnson,28,183,6.54,34,0
Eddie Price,28,352,12.57,83,3
Earl Girard,27,421,15.59,41,7
Joe Perry,26,203,7.81,70,0
Johnny Lattner,25,305,12.2,43,2
Leon Hart,24,377,15.71,40,0
Harry Jagade,24,172,7.17,26,0
Ken MacAfee,24,438,18.25,72,8
Bill McColl,24,368,15.33,45,2
Ed Barker,23,353,15.35,32,3
Lynn Chandnois,22,176,8.0,23,0
Jim Ladd,22,254,11.55,22,0
Gordie Soltau,22,316,14.36,42,2
Maurice Bassett,20,205,10.25,33,0
Bob Hoernschemeyer,20,153,7.65,26,1
Dub Jones,19,347,18.26,48,2
Billy Wells,19,295,15.53,48,1
Al Carmichael,18,251,13.94,45,0
Skeets Quinlan,18,324,18.0,80,2
Fran Rogel,18,51,2.83,16,1
Dom Moselle,17,242,14.24,38,2
Veryl Switzer,17,166,9.76,28,2
Lew Carpenter,16,145,9.06,23,2
Carl Taseff,16,159,9.94,30,1
Toy Ledbetter,15,192,12.8,48,3
Buddy Young,15,272,18.13,78,3
Hal Giancanelli,14,195,13.93,49,4
Frank Gifford,14,154,11.0,35,1
Breezy Reid,14,129,9.21,25,0
George Taliaferro,14,122,8.71,29,1
Buford Long,13,178,13.69,36,1
Ray Renfro,13,228,17.54,64,1
John Carson,12,139,11.58,42,0
Fred Morrison,12,81,6.75,16,0
Johnny Olszewski,12,133,11.08,25,1
Jim Parmer,12,40,3.33,16,0
Charlie Justice,11,242,22.0,80,2
Zollie Toth,11,51,4.64,13,0
Jim Doran,10,203,20.3,49,4
Herb Johnson,10,89,8.9,24,0
Joe Johnson,10,72,7.2,17,1
Billy Reynolds,10,76,7.6,22,0
Dan Towler,10,127,12.7,36,0
Don Kindt,9,101,11.22,21,0
Hugh McElhenny,8,162,20.25,53,0
Tank Younger,8,76,9.5,21,0
Paul Barry,7,29,4.14,26,0
Neil Worden,7,63,9.0,23,0
Harry Babcock,6,91,15.17,33,0
Jack Bighead,6,89,14.83,25,0
Cloyce Box,6,53,8.83,14,0
Chet Hanulak,6,80,13.33,22,0
Emmett King,6,43,7.17,17,1
Bob Topp,6,90,15.0,31,3
Bob Carey,5,49,9.8,13,0
Jack Crittendon,5,48,9.6,15,0
Bobby Epps,5,20,4.0,10,0
Horace Gillom,5,62,12.4,24,0
Gary Knafelc,5,48,9.6,15,0
Pete Perini,5,56,11.2,20,0
Dale Atkeson,4,75,18.75,45,0
Fred Cone,4,19,4.75,13,0
Leo Elter,4,16,4.0,26,0
Rob Goode,4,4,1.0,10,0
Dick Lane,4,58,14.5,26,0
Pete Schabarum,4,70,17.5,42,0
Joe Scudero,4,32,8.0,13,1
Dick Wilkins,4,45,11.25,18,1
George Brancato,3,28,9.33,22,0
Bill Bredde,3,44,14.67,27,0
Leon Campbell,3,0,0.0,2,0
Don Luft,3,59,19.67,30,0
Tom McCormick,3,58,19.33,31,0
Charlie Trippi,3,18,6.0,7,0
Joe Arenas,2,12,6.0,12,0
Mel Embree,2,20,10.0,15,0
Woodley Lewis,2,19,9.5,12,0
Norm Willey,2,50,25.0,37,0
Jim Brandt,1,9,9.0,9,0
Jack Butler,1,12,12.0,12,0
Tom Calvin,1,19,19.0,19,0
Frank Cassara,1,12,12.0,12,0
Chuck Drazenovich,1,15,15.0,15,0
Les Goble,1,0
Vic Janowicz,1,0
Don Johnson,1,20,20.0,20,0
Dewey McConnell,1,2,2.0,2,0
Jim Mutscheller,1,49,49.0,49,0
Jack O'Brien,1,9,9.0,9,0
Andy Robustelli,1,49,49.0,49,1
Gene Schroeder,1,71,71.0,71,1
Burrell Shields,1,22,22.0,22,0
Bob Gaona,0,25,0.0,25,0
