Player Name,Receptions,Yards,Average,Long,Touchdowns
Johnny Morris,93,1200,12.9,63,10
Mike Ditka,75,897,11.96,34,5
Frank Clarke,65,973,14.97,49,5
Bobby Joe Conrad,61,780,12.79,53,6
Bobby Mitchell,60,904,15.07,60,10
Bernie Casey,58,808,13.93,63,4
Terry Barr,57,1030,18.07,58,9
Charley Taylor,53,814,15.36,80,5
Paul Warfield,52,920,17.69,62,9
Pete Retzlaff,51,855,16.76,44,8
Bill Brown,48,703,14.65,64,9
Gary Ballman,47,935,19.89,47,7
Jackie Smith,47,657,13.98,78,4
Tommy McDonald,46,612,13.3,48,2
Gail Cogdill,45,665,14.78,57,2
Boyd Dowler,45,623,13.84,50,5
Jim Gibbons,45,605,13.44,82,8
Raymond Berry,43,663,15.42,46,6
Aaron Thomas,43,624,14.51,42,6
Marlin McKeever,41,582,14.2,46,1
Joe Morrison,40,505,12.63,70,2
Jimmy Orr,40,867,21.68,69,6
Monty Stickles,40,685,17.13,53,3
Jim Taylor,38,354,9.32,35,3
Ray Poage,37,479,12.95,42,1
Jim Brown,36,340,9.44,40,2
Dave Parks,36,703,19.53,83,8
Gary Collins,35,544,15.54,43,8
Ron Kramer,34,551,16.21,55,0
Carroll Dale,32,544,17.0,44,2
Preston Carpenter,31,466,15.03,39,3
Max McGee,31,592,19.1,55,6
Angelo Coia,29,500,17.24,80,5
Frank Gifford,29,429,14.79,40,3
Earl Gros,29,234,8.07,29,0
Paul Flatley,28,450,16.07,48,3
Tommy Mason,26,239,9.19,29,1
Jon Arnett,25,223,8.92,27,2
Johnny Brewer,25,338,13.52,41,3
Ernie Green,25,283,11.32,32,4
Mike Lind,25,178,7.12,26,0
Bucky Pope,25,786,31.44,95,10
Sonny Randle,25,517,20.68,50,5
Billy Gambrell,24,398,16.58,47,2
Pettis Norman,24,311,12.96,37,2
John David Crow,23,257,11.17,22,1
Ron Goodwin,23,335,14.57,44,3
Tom Hall,23,325,14.13,32,2
John Mackey,22,406,18.45,62,2
Del Shofner,22,323,14.68,54,0
Les Josephson,21,269,12.81,58,1
