Player Name,Receptions,Yards,Average,Long,Touchdowns
Bobby Joe Conrad,73,967,13.25,48,10
Bobby Mitchell,69,1436,20.81,99,7
Terry Barr,66,1086,16.45,75,13
Del Shofner,64,1181,18.45,70,9
Buddy Dial,60,1295,21.58,83,9
Mike Ditka,59,794,13.46,63,8
Pete Retzlaff,57,895,15.7,46,4
Red Phillips,54,793,14.69,52,1
Boyd Dowler,53,901,17.0,53,6
Paul Flatley,51,867,17.0,62,4
Sonny Randle,51,1014,19.88,68,12
Gail Cogdill,48,945,19.69,70,10
Tom Matte,48,466,9.71,49,1
Bernie Casey,47,762,16.21,68,7
Johnny Morris,47,705,15.0,51,2
Raymond Berry,44,703,15.98,64,3
Frank Clarke,43,833,19.37,75,10
Gary Collins,43,674,15.67,49,13
Frank Gifford,42,657,15.64,64,7
Tommy McDonald,41,731,17.83,75,8
Jimmy Orr,41,708,17.27,60,5
Tommy Mason,40,365,9.13,41,2
Max McGee,39,749,19.21,64,6
Timmy Brown,36,487,13.53,80,4
John Mackey,35,726,20.74,61,7
Jerry Reichow,35,479,13.69,57,3
Carroll Dale,34,638,18.76,66,7
Billy Howton,33,514,15.58,44,3
Jim Gibbons,32,412,12.88,32,1
Phil King,32,377,11.78,46,5
Ron Kramer,32,537,16.78,49,4
Lee Folkins,31,407,13.13,35,4
Joe Morrison,31,284,9.16,57,7
Bill Triplett,31,396,12.77,38,3
Dick Bass,30,348,11.6,53,0
Johnny Brewer,29,454,15.66,55,0
Ernie Green,28,305,10.89,35,3
Joe Marconi,28,335,11.96,63,2
Jackie Smith,28,445,15.89,55,2
Pat Richter,27,383,14.19,34,3
Gary Ballman,26,492,18.92,67,5
Amos Marsh,26,224,8.62,35,0
Joe Walton,26,371,14.27,43,6
Don Bosseler,25,289,11.56,61,0
Joe Childress,25,354,14.16,78,2
Red Mack,25,618,24.72,85,3
Jim Brown,24,268,11.17,83,3
Tom Moore,23,237,10.3,45,2
Jerry Hill,22,304,13.82,55,1
Rich Kreitling,22,386,17.55,45,6
Clarence Peaks,22,167,7.59,23,1
Aaron Thomas,22,469,21.32,55,3
Bo Farrington,21,335,15.95,58,2
John Henry Johnson,21,145,6.9,26,1
Don Lisbon,21,259,12.33,51,2
Lenny Moore,21,288,13.71,34,2
Fred Dugan,20,288,14.4,41,3
Ronnie Bull,19,132,6.95,44,2
Rick Casares,19,94,4.95,25,1
Gary Knafelc,18,221,12.28,45,2
Pettis Norman,18,341,18.94,49,3
Bill Brown,17,109,6.41,30,2
Preston Carpenter,17,233,13.71,28,1
Willie Richardson,17,204,12.0,22,0
J.D. Smith,17,196,11.53,40,1
Clyde Conner,16,247,15.44,42,0
J.W. Lockett,16,158,9.88,27,1
Nick Pietrosante,16,173,10.81,24,0
Tom Watkins,16,168,10.5,32,1
Jon Arnett,15,119,7.93,41,1
Billy Ray Barnes,15,256,17.07,54,1
Gary Barnes,15,195,13.0,27,0
Ron Goodwin,15,215,14.33,35,4
Dick James,15,302,20.13,77,2
Dan Lewis,15,115,7.67,30,0
Ray Poage,15,354,23.6,67,2
Alex Webster,15,128,8.53,19,0
Bill Anderson,14,288,20.57,49,1
Pervis Atkins,14,174,12.43,21,1
Ted Dean,14,108,7.71,20,0
Don Perkins,14,84,6.0,19,0
Willie Galimore,13,131,10.08,44,0
Bob Reed,13,137,10.54,45,0
Jim Stiger,13,131,10.08,42,0
Jim Taylor,13,68,5.23,27,1
Angelo Coia,11,116,10.55,18,1
Dick Hoak,11,118,10.73,23,1
Hugh McElhenny,11,91,8.27,24,2
Kay McFarland,11,126,11.45,33,1
Marlin McKeever,11,152,13.82,29,0
Monty Stickles,11,152,13.82,31,0
John Adams,9,93,10.33,19,0
Tom Hutchinson,9,244,27.11,70,0
Elijah Pitts,9,54,6.0,21,1
Ben Wilson,9,173,19.22,77,1
Jim Cunningham,8,86,10.75,19,0
Art Perkins,8,61,7.63,17,0
Amos Bullocks,7,70,10.0,22,0
Marv Fleming,7,132,18.86,33,2
Tom Tracy,7,112,16.0,34,0
Tommy Wilson,7,48,6.86,21,0
Jim Boylan,6,78,13.0,19,1
Jimmy Johnson,6,63,10.5,15,0
Bob Paremore,6,89,14.83,32,1
Gordon Smith,6,177,29.5,54,2
Taz Anderson,5,47,9.4,16,0
Frank Budd,5,106,21.2,50,0
Ralph Smith,5,63,12.6,16,1
Bill Butler,4,39,9.75,19,0
Joe Perry,4,12,3.0,8,0
Ray Renfro,4,82,20.5,39,1
Theron Sapp,4,36,9.0,22,0
Bill Thornton,4,10,2.5,8,0
Charlie Bivins,3,22,7.33,19,0
Leon Clarke,3,34,11.33,14,0
Bob Ferguson,3,7,2.33,9,0
Billy Gambrell,3,63,21.0,33,0
Tom Hall,3,29,9.67,23,1
Alex Hawkins,3,41,13.67,19,0
John Burrell,2,27,13.5,14,0
Dick Compton,2,41,20.5,22,0
Bob Crespino,2,22,11.0,18,1
Larry Ferguson,2,8,4.0,7,0
Mike Lind,2,13,6.5,8,0
Ollie Matson,2,20,10.0,17,0
Carver Shannon,2,7,3.5,6,0
Ken Webb,2,2,1.0,5,0
Lloyd Winston,2,13,6.5,10,0
Lew Carpenter,1,12,12.0,12,0
Roy Curry,1,31,31.0,31,1
Paul Dudley,1,8,8.0,8,0
Prentice Gautt,1,3,3.0,3,0
Earl Gros,1,19,19.0,19,0
Mal Hammack,1,15,15.0,15,0
Bob Jencks,1,6,6.0,6,0
Bob Jeter,1,2,2.0,2,0
R.C. Owens,1,7,7.0,7,0
Charlie Scales,1,13,13.0,13,0
Jim Vollenweider,1,26,26.0,26,0
Tom Woodeshick,1,0
Frank Ryan,0,0.0,0
