Player Name,Receptions,Yards,Average,Long,Touchdowns
Don Hutson,47,776,16.51,79,11
Joe Aguirre,37,420,11.35,44,7
Wilbur Moore,30,537,17.9,72,7
Eddie Rucinski,26,398,15.31,47,3
Harry Jacunski,24,528,22.0,86,3
Harry Clarke,23,535,23.26,52,7
George Wilson,21,293,13.95,28,5
Johnny Grigas,19,225,11.84,39,0
Andy Farkas,19,202,10.63,55,4
Hamp Pool,18,363,20.17,42,5
Ray McLean,18,435,24.17,66,2
Tony Bova,17,419,24.65,51,5
Harry Hopp,17,229,13.47,67,3
Bob Seymour,17,167,9.82,32,2
Bob Masterson,16,200,12.5,22,3
Will Walls,14,231,16.5,39,2
Jim Benton,13,235,18.08,55,3
Jack Matheson,13,156,12.0,46,1
Frank Martin,13,152,11.69,34,0
Larry Cabrelli,12,199,16.58,49,1
Frank Seno,12,195,16.25,36,0
Bill Fisk,11,137,12.45,28,0
Andy Kowalski,11,145,13.18,35,0
Frank Liebel,11,199,18.09,56,3
Ben Hightower,10,172,17.2,46,1
Walt Rankin,10,44,4.4,17,0
Andy Uram,10,212,21.2,51,2
Ned Mathews,9,193,21.44,36,1
Cecil Johnson,9,136,15.11,57,2
Bill Paschal,9,74,8.22,24,2
Ernie Steele,9,168,18.67,60,2
Ben Kish,8,67,8.38,17,1
Joel Mason,8,107,13.38,21,2
Dick Evans,8,71,8.88,13,0
Bill Callihan,8,108,13.5,40,3
Neal Adams,8,65,8.13,17,1
Johnny Hall,7,82,11.71,67,1
George Webb,7,60,8.57,15,0
Merl Condit,7,101,14.43,65,1
Ward Cuff,7,52,7.43,17,0
Keith Ranspot,7,80,11.43,28,0
John Martin,7,138,19.71,50,0
Tilly Manton,6,26,4.33,8,0
Bob Thurbon,6,100,16.67,43,1
Art Van Tone,6,112,18.67,72,1
Dante Magnani,6,88,14.67,51,1
Ray Nolting,5,90,18.0,48,0
Dave Brown,5,29,5.8,12,0
Don Currivan,5,79,15.8,34,1
Joe Setcavage,5,26,5.2,17,0
Chuck Fenenbock,5,45,9.0,33,1
Elmer Hackney,5,51,10.2,16,0
Bill Geyer,5,123,24.6,64,2
Joe Laws,5,33,6.6,22,0
Frank Kinard,5,62,12.4,36,1
Pug Manders,5,68,13.6,48,1
Ray Wehba,4,43,10.75,19,0
Bill Brown,4,42,10.5,19,0
Lou Brock,4,57,14.25,32,1
Marshall Goldberg,4,31,7.75,11,1
Connie Mack Berry,4,99,24.75,54,2
Tony Falkenstein,3,39,13.0,18,0
Alex Piasecky,3,17,5.67,7,1
Cal Purdin,3,35,11.67,20,0
Bob Morrow,3,20,6.67,14,0
Tom Miller,3,60,20.0,32,1
Frank Sachse,3,26,8.67,14,0
Murray Evans,3,31,10.33,16,0
Johnny Butler,3,63,21.0,37,0
Lee Shaffer,3,66,22.0,40,0
Tony Canadeo,3,31,10.33,13,2
Bill Hewitt,2,22,11.0,11,0
Dean McAdams,2,6,3.0,8,0
Carl Kinscherf,2,4,2.0,2,0
Ted Lapka,2,39,19.5,32,0
Ray Hare,2,9,4.5,8,0
Charlie Gauer,2,18,9.0,14,0
Ted Laux,2,19,9.5,15,0
Johnny Siegal,2,29,14.5,18,0
Ted Fritsch,2,55,27.5,32,0
Frank Akins,1,51,51.0,51,0
Al Blozis,1,15,15.0,15,0
Gary Famiglietti,1,10,10.0,10,0
Doug McEnulty,1,10,10.0,10,1
Jack Hinkle,1,3,3.0,3,0
Bull Karcis,1,1,1.0,1,0
Bob Keene,1,27,27.0,27,0
Frankie Sinkwich,1,8,8.0,8,0
George Smith,1,18,18.0,18,0
Freeman Rexer,1,14,14.0,14,0
Joe Sulaitis,1,12,12.0,12,0
Mike Corgan,1,9,9.0,9,0
Tommy Colella,1,0
Lloyd Cardwell,1,9,9.0,9,0
Clint Wager,1,11,11.0,11,0
Bert Kuczynski,1,4,4.0,4,0
Joe Bukant,1,0,0.0,0,0
Steve Pritko,1,12,12.0,12,0
Marshall Edwards,1,0
