PLAYER NAME,YEAR,PASSING YARDS,YARDS PER ATTEMPT,ATTEMPTS,COMPLETIONS,COMPLETION %,TOUCHDOWNS,INTERCEPTIONS,QB RATING,1ST DOWNS,1ST DOWN %,20+,40+,LONG,SACKS,SACK LOSS YARDS,RUSHING YARDS,ATTEMPTS.1,YARDS PER ATTEMPT.1,TOUCHDOWNS.1,20+.1,40+.1,LONG.1,RUSHING 1ST DOWNS,RUSHING 1ST %,FUMBLES,HOWGOOD RAW SCORE,PERCENTILE
A J Feeley,2001,0.014743788019383433,0.4473684210526316,0.004933051444679333,0.011695906432748532,0.47600000000000003,0.039215686274509796,-0.04761904285714283,0.7599999999999999,0.0175438596491228,0.5158084914182476,0.017094017094017065,0.0,0.06338028169014083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3201644602183378,0.2682926829268293
A J Feeley,2002,0.12433728395434278,0.7446657183499288,0.06274085925248714,0.11371251378743417,0.8480000000000002,0.1503267973856209,-0.2857142571428571,1.2626666666666666,0.11156095366621681,0.779889747189254,0.1599511599511599,0.16666666666666666,0.1811580594679186,-0.08974358974358974,-0.08888888888888886,0.0179028718509858,0.046829290579084665,0.0251259453814803,0.0,0.0,0.0,0.0445435403187374,0.0,0.0,-0.6666666666666666,3.7090646720259826,0.38877461063767266
A J Feeley,2003,0.12433728395434278,0.7446657183499288,0.06274085925248714,0.11371251378743417,0.8480000000000002,0.1503267973856209,-0.2857142571428571,1.2626666666666666,0.11156095366621681,0.779889747189254,0.1599511599511599,0.16666666666666666,0.1811580594679186,-0.08974358974358974,-0.08888888888888886,0.0179028718509858,0.046829290579084665,0.0251259453814803,0.0,0.0,0.0,0.0445435403187374,0.0,0.0,-0.6666666666666666,3.7090646720259826,0.4048388676657851
A J Feeley,2004,0.31668243587588485,0.5237930237930238,0.1856813710261986,0.3404685424358342,0.7293333333333334,0.30409356725146197,-1.0714284642857141,0.914,0.3327877795962902,0.516525700215451,0.2591362126245847,0.16666666666666666,0.20956521739130432,-0.34529914529914535,-0.325,0.0497518444197029,0.10375679483441576,0.062228875589190526,0.08333333333333333,0.0,0.0,0.09512495520764437,0.039283710065919304,0.05303949983408873,-1.3333333333333333,2.210191920576136,0.1914481455232695
A J Feeley,2005,0.2070889399409255,0.2264957264957265,0.1278735632183908,0.23845193508114856,0.35733333333333334,0.1929824561403509,-0.83333325,0.41133333333333333,0.23877068557919623,0.2524444444444444,0.11627906976744186,0.0,0.09178743961352658,-0.2555555555555556,-0.23611111111111113,0.0318489725687171,0.0569275042553311,0.03710293020771024,0.08333333333333333,0.0,0.0,0.05058141488890697,0.039283710065919304,0.05303949983408873,-0.6666666666666666,0.8212917087684914,0.09778614118407362
A J Feeley,2006,0.24653530672293242,0.6161061161061161,0.14230029062917285,0.27140504027759976,0.8133333333333335,0.24853801169590642,-0.83333325,1.2306666666666668,0.27664947345798413,0.6141660561660562,0.14485049833887043,0.047619047619047596,0.2978059581320451,-0.26837606837606837,-0.25549095607235145,0.045674004158950364,0.0712190530172068,0.10458821427684246,0.08333333333333333,0.0,0.0,0.08369472381553304,0.039283710065919304,0.05303949983408873,-0.6666666666666666,3.406941396532518,0.3701113972645755
A J Feeley,2007,0.12352044085608095,0.6909802526240881,0.05691847658569953,0.11161977186311785,0.8380000000000001,0.14814814814814814,-0.4444444,1.2273333333333334,0.11445536445536443,0.6606346551998726,0.10700280112044817,0.11428571428571427,0.3179232804232804,-0.05448717948717947,-0.04061126746654813,0.05618812532005953,0.05523352246525213,0.1415343600774408,0.0,0.0,0.0,0.08369472381553304,0.039283710065919304,0.0715460905282322,0.0,4.418759924213857,0.5173370960547298
A J Feeley,2008,0.12352044085608095,0.6909802526240881,0.05691847658569953,0.11161977186311785,0.8380000000000001,0.14814814814814814,-0.4444444,1.2273333333333334,0.11445536445536443,0.6606346551998726,0.10700280112044817,0.11428571428571427,0.3179232804232804,-0.05448717948717947,-0.04061126746654813,0.05618812532005953,0.05523352246525213,0.1415343600774408,0.0,0.0,0.0,0.08369472381553304,0.039283710065919304,0.0715460905282322,0.0,4.418759924213857,0.5423690245349341
A J Feeley,2009,0.08407407407407406,0.3013698630136986,0.042491749174917465,0.07866666666666666,0.38199999999999995,0.0925925925925926,-0.4444444,0.408,0.07657657657657656,0.2989130434782609,0.07843137254901959,0.06666666666666667,0.1119047619047619,-0.041666666666666664,-0.021231422505307834,0.042363093729826266,0.04094197370337643,0.07404907600830857,0.0,0.0,0.0,0.05058141488890697,0.039283710065919304,0.0715460905282322,0.0,1.8331102364498302,0.2861080254825448
A J Feeley,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11498811784606121
