Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Solo Tackles,Tackle Assists,Total Tackles,Sacks,Sack Loss Yards Caused
Blake Martinez,16,1,3,3.0,3,0,96,48,144,1.0,8.0
Joe Schobert,16,1,8,8.0,8,0,87,57,144,3.0,18.0
Preston Brown,16,0,0,0.0,0,0,84,60,144,0.0,0.0
Deion Jones,16,3,42,14.0,41,0,91,47,138,1.0,0.0
Christian Kirksey,16,0,0,0.0,0,0,86,52,138,3.5,13.5
Demario Davis,16,0,0,0.0,0,0,97,38,135,5.0,21.5
Bobby Wagner,16,2,7,3.5,7,0,97,36,133,1.5,13.0
C.J. Mosley,16,2,94,47.0,63,1,96,36,132,1.0,13.0
NaVorro Bowman,15,1,0,0.0,0,0,80,47,127,1.5,7.5
Zach Brown,13,0,0,0.0,0,0,84,43,127,2.5,11.0
Luke Kuechly,15,3,23,7.67,23,0,74,51,125,1.5,6.0
Wesley Woodyard,16,0,0,0.0,0,0,84,40,124,5.0,23.0
Reshad Jones,16,2,15,7.5,15,0,94,28,122,1.5,4.5
Keanu Neal,16,1,19,19.0,19,0,83,33,116,0.0,0.0
Kiko Alonso,16,0,0,0.0,0,0,79,36,115,1.0,0.0
Eric Kendricks,16,1,31,31.0,31,1,67,46,113,1.0,4.0
Tahir Whitehead,16,1,18,18.0,18,0,78,32,110,1.0,2.0
Antonio Morrison,15,0,0,0.0,0,0,64,45,109,0.0,0.0
K.J. Wright,15,1,1,1.0,1,0,71,37,108,0.0,0.0
Brandon Marshall,16,0,0,0.0,0,0,75,31,106,3.0,10.0
Landon Collins,15,2,21,10.5,21,0,78,26,104,0.0,0.0
Telvin Smith,14,3,56,18.67,28,1,76,26,102,1.0,1.0
Sean Lee,11,1,9,9.0,9,0,70,31,101,0.0,0.0
Lavonte David,13,0,0,0.0,0,0,76,25,101,0.0,0.0
Matthias Farley,16,2,9,4.5,9,0,60,38,98,0.0,0.0
Kwon Alexander,12,3,70,23.33,28,0,70,27,97,0.0,0.0
Jonathan Bostic,14,0,0,0.0,0,0,57,40,97,1.0,3.0
Devin McCourty,16,1,0,0.0,0,0,80,17,97,1.0,11.0
Jahleel Addae,16,0,0,0.0,0,0,66,30,96,0.5,4.0
Jarrad Davis,14,1,12,12.0,12,0,65,31,96,2.0,18.0
Karlos Dansby,16,1,4,4.0,4,0,74,21,95,1.0,8.0
Benardrick McKinney,16,0,0,0.0,0,0,62,33,95,3.0,8.0
Alec Ogletree,15,1,41,41.0,41,1,63,32,95,2.0,18.0
Jordan Poyer,15,5,33,6.6,19,1,63,32,95,2.0,18.0
Darron Lee,15,0,0,0.0,0,0,67,27,94,3.0,19.0
Avery Williamson,16,0,0,0.0,0,0,52,40,92,3.0,12.0
De'Vondre Campbell,16,0,0,0.0,0,0,61,31,92,2.0,15.0
Sean Davis,16,3,76,25.33,41,0,71,21,92,1.0,12.0
Zach Cunningham,16,0,0,0.0,0,0,48,42,90,1.5,7.5
Myles Jack,16,0,0,0.0,0,0,66,24,90,2.0,11.5
Christian Jones,16,0,0,0.0,0,0,60,30,90,2.0,11.0
Patrick Onwuasor,16,0,0,0.0,0,0,67,23,90,1.0,1.0
Reggie Nelson,16,1,3,3.0,3,0,60,29,89,0.0,0.0
Ryan Shazier,12,3,2,0.67,2,0,68,21,89,0.0,0.0
Daniel Sorensen,15,1,3,3.0,3,0,67,22,89,1.5,14.0
Danny Trevathan,12,1,8,8.0,8,0,60,29,89,2.0,14.0
Vince Williams,16,1,13,13.0,13,0,69,20,89,8.0,63.0
Ramon Humber,13,0,0,0.0,0,0,60,29,89,1.0,8.0
Nigel Bradham,15,0,0,0.0,0,0,61,27,88,1.0,3.0
Earl Thomas,14,2,97,48.5,78,1,56,32,88,0.0,0.0
Kevin Byard,16,8,130,16.25,33,0,62,25,87,0.0,0.0
Mark Barron,14,3,29,9.67,15,0,73,13,86,1.0,2.0
James Bradberry,16,2,3,1.5,3,0,66,19,85,1.0,7.0
Darqueze Dennard,16,2,109,54.5,89,1,61,24,85,2.0,6.0
Vincent Rey,14,1,12,12.0,12,0,52,33,85,0.0,0.0
Glover Quin,16,3,62,20.67,37,1,60,24,84,0.0,0.0
Lawrence Timmons,14,0,0,0.0,0,0,58,26,84,0.0,0.0
T.J. Carrie,16,0,0,0.0,0,0,70,14,84,0.0,0.0
Patrick Chung,16,1,30,30.0,30,0,71,13,84,0.0,0.0
Anthony Hitchens,12,0,0,0.0,0,0,55,29,84,0.0,0.0
Jamal Adams,16,0,0,0.0,0,0,63,20,83,2.0,18.0
Vonn Bell,16,0,0,0.0,0,0,62,21,83,4.5,28.5
Deone Bucannon,12,1,39,39.0,39,0,58,24,82,1.0,7.0
Todd Davis,14,0,0,0.0,0,0,48,34,82,1.0,2.0
Micah Hyde,16,5,64,12.8,37,0,65,17,82,0.0,0.0
Byron Jones,16,1,21,21.0,21,1,57,25,82,0.0,0.0
Jake Ryan,15,0,0,0.0,0,0,52,29,81,1.0,1.0
Jaylon Smith,16,0,0,0.0,0,0,50,31,81,1.0,13.0
Craig Robertson,16,2,20,10.0,20,0,53,27,80,2.0,19.0
Andrew Sendejo,13,2,70,35.0,36,0,54,26,80,0.0,0.0
George Iloka,16,1,14,14.0,14,0,54,26,80,0.0,0.0
Tre Boston,16,5,49,9.8,25,0,56,23,79,0.0,0.0
Jatavis Brown,16,0,0,0.0,0,0,54,25,79,0.0,0.0
Ha Ha Clinton-Dix,16,3,5,1.67,3,0,65,14,79,0.0,0.0
Tony Jefferson,16,1,13,13.0,13,0,56,23,79,2.5,13.5
Karl Joseph,15,1,0,0,58,21,79,1.0,7.0
Marcus Maye,16,2,44,22.0,32,0,57,22,79,0.0,0.0
D.J. Swearinger,16,4,32,8.0,31,0,61,18,79,0.5,2.5
Nick Vigil,11,1,0,0.0,0,0,45,34,79,1.0,7.0
Khalil Mack,16,0,0,0.0,0,0,61,17,78,10.5,75.5
Tyrann Mathieu,16,2,16,8.0,15,0,70,8,78,1.0,3.0
Harrison Smith,16,5,42,8.4,19,0,61,17,78,1.5,10.0
Christopher Conte,16,1,0,0.0,0,0,62,15,77,0.0,0.0
Dontae Johnson,16,1,50,50.0,50,1,69,8,77,0.0,0.0
Mychal Kendricks,15,0,0,0.0,0,0,55,22,77,2.0,5.0
Kurt Coleman,12,0,0,0.0,0,0,51,25,76,0.0,0.0
Thomas Davis,15,0,0,0.0,0,0,52,24,76,2.5,17.5
Damon Harrison,16,1,9,9.0,9,0,51,25,76,1.5,13.5
Malcolm Jenkins,16,2,0,0.0,0,0,63,13,76,1.0,8.0
Desmond King,16,1,90,90.0,90,1,66,10,76,4.0,11.0
Anthony Barr,16,0,0,0.0,0,0,52,23,75,1.0,11.0
James Burgess,14,0,0,0.0,0,0,49,26,75,4.0,23.0
John Johnson,16,1,69,69.0,69,0,56,19,75,0.0,0.0
Bradley McDougald,16,0,0,0.0,0,0,51,24,75,0.0,0.0
Martrell Spaight,15,0,0,0.0,0,0,45,30,75,0.0,0.0
Darian Thompson,16,1,0,0.0,0,0,61,14,75,0.0,0.0
Hayes Pullard,13,1,1,1.0,1,0,49,25,74,0.0,0.0
Lorenzo Alexander,16,0,0,0.0,0,0,59,15,74,3.0,21.0
Budda Baker,16,0,0,0.0,0,0,58,16,74,1.0,7.0
Barry Church,16,4,51,12.75,51,1,58,16,74,1.5,8.5
Kendell Beckwith,16,0,0,0.0,0,0,60,13,73,1.0,8.0
Eddie Jackson,16,2,82,41.0,76,1,55,18,73,0.0,0.0
Kareem Jackson,16,1,2,2.0,2,0,54,19,73,1.0,4.0
Kyle Van Noy,13,0,0,0.0,0,0,58,15,73,5.5,33.5
Marcus Williams,15,4,12,3.0,12,0,59,14,73,0.0,0.0
Reuben Foster,10,0,0,0.0,0,0,59,13,72,0.0,0.0
Andre Hal,16,3,10,3.33,7,0,47,24,71,0.0,0.0
Jeff Heath,15,3,20,6.67,14,0,63,8,71,0.0,0.0
Derrick Johnson,15,0,0,0.0,0,0,48,23,71,0.0,0.0
Josh Jones,16,1,0,0.0,0,0,60,11,71,2.0,14.0
Joey Bosa,16,0,0,0.0,0,0,54,16,70,12.5,66.0
Adoree' Jackson,16,0,0,0.0,0,0,61,9,70,0.0,0.0
Mike Adams,16,2,42,21.0,40,0,48,21,69,0.0,0.0
Adrian Amos,13,1,90,90.0,90,1,62,7,69,0.0,0.0
Tyvon Branch,9,0,0,0.0,0,0,54,15,69,0.0,0.0
Vontaze Burfict,10,0,0,0.0,0,0,48,21,69,1.5,12.0
Kyle Fuller,16,2,0,0.0,0,0,61,8,69,0.0,0.0
Justin Simmons,13,2,65,32.5,65,1,50,19,69,1.0,6.0
Tre'Davious White,16,4,86,21.5,63,0,53,16,69,0.0,0.0
Jason Pierre-Paul,16,0,0,0.0,0,0,48,20,68,8.5,48.5
Robert Alford,16,1,0,0.0,0,0,60,8,68,0.0,0.0
Morgan Burnett,12,0,0,0.0,0,0,48,20,68,0.0,0.0
Linval Joseph,16,0,0,0.0,0,0,40,28,68,3.5,23.5
Calais Campbell,16,0,0,0.0,0,0,47,20,67,14.5,96.0
Ron Parker,15,2,0,0.0,0,0,58,9,67,0.0,0.0
Eric Reid,13,2,0,0.0,0,0,53,14,67,0.0,0.0
Elandon Roberts,15,0,0,0.0,0,0,45,22,67,2.0,13.0
Justin Evans,14,3,28,9.33,15,0,50,16,66,0.0,0.0
Trumaine Johnson,16,2,39,19.5,39,1,57,8,65,0.0,0.0
Jason McCourty,14,3,59,19.67,56,1,54,11,65,0.0,0.0
Trae Waynes,16,2,21,10.5,18,0,57,8,65,1.0,4.0
Jalen Mills,15,3,53,17.67,37,1,51,13,64,0.0,0.0
Josh Norman,14,0,0,0.0,0,0,47,17,64,0.0,0.0
Daryl Worley,15,2,0,0.0,0,0,50,14,64,1.0,2.0
Ray-Ray Armstrong,15,2,29,14.5,29,0,44,20,64,1.0,5.0
Brock Coyle,16,0,0,0.0,0,0,38,26,64,0.5,0.5
Tashaun Gipson,16,4,83,20.75,67,0,53,11,64,0.0,0.0
Mike Hilton,16,2,45,22.5,26,0,48,16,64,4.0,34.0
Adrian Phillips,15,2,13,6.5,9,0,50,13,63,0.0,0.0
Brian Poole,15,0,0,0.0,0,0,49,14,63,1.0,12.0
Jalen Ramsey,16,4,34,8.5,18,0,52,11,63,0.0,0.0
Darryl Skrine,15,1,0,0.0,0,0,56,7,63,1.0,12.0
Ryan Smith,15,0,0,0.0,0,0,52,11,63,0.0,0.0
Darian Stewart,16,3,33,11.0,24,0,52,11,63,0.0,0.0
Eric Weddle,16,6,85,14.17,45,1,49,14,63,1.0,7.0
Logan Ryan,15,0,0,0.0,0,0,50,12,62,0.0,0.0
Jamar Taylor,16,0,0,0.0,0,0,48,14,62,0.5,3.5
Manti Te'o,16,0,0,0.0,0,0,42,20,62,0.0,0.0
Deshazor Everett,14,0,0,0.0,0,0,41,21,62,0.0,0.0
Trey Flowers,14,0,0,0.0,0,0,45,17,62,6.5,29.5
Cameron Jordan,16,1,0,0.0,0,1,48,14,62,13.0,93.5
DeForest Buckner,16,0,0,0.0,0,0,45,16,61,3.0,21.0
Matt Judon,16,0,0,0.0,0,0,51,10,61,8.0,70.0
Paul Posluszny,16,0,0,0.0,0,0,43,18,61,1.5,6.0
Shaq Thompson,14,0,0,0.0,0,0,41,20,61,2.0,15.0
Nicholas Morrow,16,0,0,0.0,0,0,40,20,60,0.0,0.0
Calvin Munson,14,0,0,0.0,0,0,36,24,60,2.0,5.0
Darius Slay,16,8,73,9.13,37,0,54,6,60,0.0,0.0
Kenny Vaccaro,12,3,41,13.67,30,0,48,12,60,1.5,7.5
Malcolm Butler,16,2,1,0,55,5,60,1.0,13.0
Jurrell Casey,16,0,0,0.0,0,0,41,19,60,6.0,39.0
Jadeveon Clowney,16,0,0,0.0,0,0,41,18,59,9.5,67.0
E.J. Gaines,11,1,1,1.0,1,0,48,11,59,0.0,0.0
Shaquill Griffin,15,1,0,0.0,0,0,50,9,59,1.0,5.0
Justin Houston,15,0,0,0.0,0,0,46,13,59,9.5,54.0
Chandler Jones,16,0,0,0.0,0,0,52,7,59,17.0,113.0
Zach Vigil,7,0,0,0.0,0,0,41,18,59,0.0,0.0
Demarcus Lawrence,16,0,0,0.0,0,0,35,23,58,14.5,160.0
Jabrill Peppers,13,1,0,0.0,0,0,45,13,58,0.0,0.0
Lawrence Guy,16,0,0,0.0,0,0,34,24,58,1.0,3.0
Bruce Irvin,16,0,0,0.0,0,0,38,20,58,8.0,30.5
Antoine Bethea,15,5,51,10.2,21,0,47,10,57,1.0,8.0
Johnathan Cyprien,10,0,0,0.0,0,0,38,19,57,1.0,8.0
Clayton Fejedelem,16,1,5,5.0,5,0,34,23,57,0.0,0.0
