Player Name,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Herb Adderley,6,175,29.17,44,3,--,--
Kermit Alexander,3,23,7.67,15,0,--,--
Doug Atkins,1,0,0.0,0,0,--,--
Erich Barnes,1,35,35.0,35,0,--,--
Maxie Baughan,1,33,33.0,33,1,--,--
Walter Beach,0,2,0.0,2,0,--,--
Larry Benz,5,78,15.6,31,0,--,--
Bobby Boyd,9,78,8.67,24,1,--,--
Jim Bradshaw,5,117,23.4,82,1,--,--
Tom Brown,3,42,14.0,27,0,--,--
Jimmy Burson,5,113,22.6,42,0,--,--
Dick Butkus,5,84,16.8,38,0,--,--
Lee Roy Caffey,1,42,42.0,42,1,--,--
Henry Carr,2,19,9.5,19,0,--,--
Jim Carroll,1,3,3.0,3,0,--,--
Ernie Clark,1,7,7.0,7,0,--,--
Vince Costello,3,33,11.0,23,0,--,--
Irv Cross,3,1,0.33,1,0,--,--
Tommy Crutcher,1,4,4.0,4,0,--,--
Willie Daniel,1,9,9.0,9,0,--,--
Willie Davis,1,21,21.0,21,0,--,--
Dave Edwards,2,0,0.0,0,0,--,--
Dick Evey,1,15,15.0,15,0,--,--
Ross Fichtner,4,98,24.5,48,1,--,--
Pat Fischer,3,30,10.0,16,0,--,--
Galen Fiss,1,5,5.0,5,0,--,--
Joe Fortunato,2,0,0.0,0,0,--,--
Mike Gaechter,2,21,10.5,19,0,--,--
Dennis Gaubatz,1,5,5.0,5,0,--,--
Bill Glass,1,0,0.0,0,0,--,--
Cornell Green,3,49,16.33,43,0,--,--
Chris Hanburger,1,14,14.0,14,0,--,--
Rickie Harris,1,34,34.0,34,1,--,--
Wendell Harris,3,77,25.67,36,0,--,--
Doug Hart,4,29,7.25,24,0,--,--
Rip Hawkins,3,68,22.67,35,1,--,--
Alvin Haymond,3,47,15.67,30,1,--,--
Matt Hazeltine,1,6,6.0,6,0,--,--
Jerry Hillebrand,2,25,12.5,25,1,--,--
Jimmy Hill,1,9,9.0,9,0,--,--
Jim Houston,2,32,16.0,28,0,--,--
Sam Huff,2,49,24.5,29,0,--,--
Don Hultz,1,6,6.0,6,0,--,--
Bob Jeter,1,21,21.0,21,0,--,--
Jimmy Johnson,6,47,7.83,26,0,--,--
Jeff Jordan,4,45,11.25,18,0,--,--
Karl Kassulke,2,31,15.5,16,0,--,--
Brady Keys,1,20,20.0,20,0,--,--
Elbert Kimbrough,2,5,2.5,5,0,--,--
Bill Koman,1,2,2.0,2,0,--,--
Paul Krause,6,118,19.67,43,0,--,--
Chuck Lamson,2,0,0.0,0,0,--,--
