Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Joe Cummings,16,0,0,0.0,0,0,1.0,4.0
Eric Curry,5,0,0,0.0,0,0,0.5,4.5
Canute Curtis,15,0,0,0.0,0,0,1.0,8.0
Lional Dalton,16,0,0,0.0,0,0,1.0,2.0
Phillip Daniels,16,0,0,0.0,0,0,9.0,64.0
Donovin Darius,16,4,37,9.25,29,0,0.0,0.0
James Darling,15,1,33,33.0,33,0,0.0,0.0
Eric Davis,16,5,49,9.8,16,0,0.0,0.0
Russell Davis,11,0,0,0.0,0,0,2.0,11.0
Travis Davis,16,1,1,1.0,1,0,0.0,0.0
Brian Dawkins,16,4,127,31.75,67,1,1.5,23.5
Charles Dimry,12,2,1,0.5,1,0,0.0,0.0
Cris Dishman,16,5,95,19.0,47,1,0.0,0.0
Gerald Dixon,14,0,0,0.0,0,0,4.0,31.0
Chris Doleman,14,0,0,0.0,0,0,8.0,31.0
Anthony Dorsett,16,1,43,43.0,43,0,0.0,0.0
Santana Dotson,12,0,0,0.0,0,0,2.5,13.0
Hugh Douglas,4,0,0,0.0,0,0,2.0,16.0
Jerry Drake,16,1,0,0.0,0,0,1.0,5.0
Shane Dronett,16,0,0,0.0,0,0,6.5,32.0
Mike Dumas,14,2,92,46.0,68,0,2.0,20.0
Chad Eaton,16,0,0,0.0,0,0,3.0,10.5
Antuan Edwards,16,4,26,6.5,26,1,0.0,0.0
Antonio Edwards,14,0,0,0.0,0,0,2.0,14.0
Donnie Edwards,16,5,50,10.0,28,1,3.0,18.0
Ebenezer Ekuban,16,0,0,0.0,0,0,2.5,6.0
Greg Ellis,13,1,87,87.0,87,1,7.5,44.0
Luther Elliss,15,0,0,0.0,0,0,3.5,23.0
Percy Ellsworth,14,6,80,13.33,26,0,0.0,0.0
Carlos Emmons,16,1,22,22.0,22,0,6.0,26.0
Doug Evans,16,2,1,0.5,1,0,0.0,0.0
Josh Evans,11,0,0,0.0,0,0,3.5,26.5
Terry Fair,11,3,49,16.33,41,1,0.0,0.0
D'Marco Farr,16,0,0,0.0,0,0,8.5,32.0
James Farrior,16,0,0,0.0,0,0,2.0,17.0
Jason Ferguson,9,0,0,0.0,0,0,1.0,4.0
Mark Fields,14,2,0,0.0,0,0,4.0,20.0
Jason Fisk,16,1,17,17.0,17,0,4.0,14.0
Jim Flanigan,16,1,6,6.0,6,0,6.0,49.0
London Fletcher,16,0,0,0.0,0,0,3.0,22.0
Lethon Flowers,15,0,0,0.0,0,0,5.0,21.0
Steve Foley,16,0,0,0.0,0,0,3.5,28.0
Albert Fontenot,15,0,0,0.0,0,0,5.0,24.0
Henry Ford,12,0,0,0.0,0,0,5.5,24.5
James Francis,10,0,0,0.0,0,0,0.5,0.5
Mike Frederick,13,0,0,0.0,0,0,0.5,4.0
Rob Fredrickson,16,2,57,28.5,34,1,2.0,6.0
Scott Galyon,16,0,0,0.0,0,0,1.0,9.0
Daryl Gardener,16,0,0,0.0,0,0,5.0,14.5
Sam Garnes,16,2,7,3.5,4,0,1.0,6.0
Oliver Gibson,16,0,0,0.0,0,0,4.5,32.5
Sean Gilbert,16,1,4,4.0,4,0,2.5,13.0
Jason Gildon,16,0,0,0.0,0,0,8.5,49.5
Aaron Glenn,16,3,20,6.67,12,0,0.0,0.0
La'Roi Glover,16,0,0,0.0,0,0,8.5,47.0
