Player Name,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Bob Adkins,2,79,39.5,--,0,--,--
Ki Aldrich,2,46,23.0,--,0,--,--
Warren Alfson,2,49,24.5,--,0,--,--
Ray Apolskis,1,4,4.0,--,0,--,--
Jay Arnold,1,0,0.0,--,0,--,--
Len Barnum,2,20,10.0,--,0,--,--
Sam Bartholomew,1,5,5.0,--,0,--,--
Nick Basca,3,27,9.0,--,0,--,--
Sammy Baugh,4,83,20.75,--,0,--,--
Steve Belichick,1,10,10.0,--,0,--,--
Dick Booth,1,18,18.0,--,0,--,--
Lou Brock,2,3,1.5,--,0,--,--
Young Bussey,2,5,2.5,--,0,--,--
Tony Canadeo,2,30,15.0,--,0,--,--
Victor Carroll,2,38,19.0,--,1,--,--
Jim Castiglia,1,0,0.0,--,0,--,--
Tony Cemore,1,6,6.0,--,0,--,--
Chuck Cherundolo,1,13,13.0,--,0,--,--
Andy Chisick,1,7,7.0,--,0,--,--
Harry Clarke,2,62,31.0,--,0,--,--
Merl Condit,3,15,5.0,--,0,--,--
Bill Conkright,1,0,0.0,--,0,--,--
Ward Cuff,4,152,38.0,--,0,--,--
Dan DeSantis,2,37,18.5,--,0,--,--
Al Donelli,1,18,18.0,--,0,--,--
Johnny Drake,2,66,33.0,--,0,--,--
Kay Eakin,2,33,16.5,--,0,--,--
Nello Falaschi,1,10,10.0,--,0,--,--
Andy Farkas,4,27,6.75,--,0,--,--
John Federovitch,1,8,8.0,--,0,--,--
Bernie Feibish,1,9,9.0,--,0,--,--
Dan Fortmann,3,7,2.33,--,0,--,--
George Franck,4,94,23.5,--,0,--,--
Tony Furst,1,0,0.0,--,0,--,--
Hugh Gallarneau,1,46,46.0,--,1,--,--
Lee Gentry,1,9,9.0,--,0,--,--
Chet Gladchuk,1,16,16.0,--,0,--,--
Marshall Goldberg,7,54,7.71,--,0,--,--
Buckets Goldenberg,1,0,0.0,--,0,--,--
