Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Robert Abraham,16,0,0,0.0,0,0,2.0,--
Stefon Adams,16,1,32,32.0,32,0,0.0,--
Dave Ahrens,16,0,0,0.0,0,0,2.0,--
Patrick Allen,16,3,20,6.67,18,0,0.0,--
John Anderson,4,1,3,3.0,3,0,0.0,--
Harvey Armstrong,16,1,4,4.0,4,0,3.5,--
Al Baker,16,0,0,0.0,0,0,10.5,--
Charles Baker,16,0,0,0.0,0,0,3.5,--
Jesse Baker,14,0,0,0.0,0,0,3.0,--
Tom Baldwin,16,0,0,0.0,0,0,1.0,--
Carl Banks,16,0,0,0.0,0,0,6.5,--
Chip Banks,16,0,0,0.0,0,0,4.5,--
Leo Barker,16,2,7,3.5,7,0,0.0,--
Jeff Barnes,16,2,7,3.5,7,0,2.0,--
Bill Bates,15,0,0,0.0,0,0,2.5,--
Bob Baumhower,12,0,0,0.0,0,0,1.0,--
Martin Bayless,16,1,0,0.0,0,0,1.0,--
Anthony Bell,16,0,0,0.0,0,0,4.0,--
Rodney Bellinger,16,1,14,14.0,14,0,0.0,--
Todd Bell,15,1,0,0.0,--
Barry Bennett,16,0,0,0.0,0,0,3.5,--
Thomas Benson,16,0,0,0.0,0,0,5.0,--
Rufus Bess,16,1,12,12.0,12,0,0.0,--
Doug Betters,16,0,0,0.0,0,0,4.0,--
Duane Bickett,16,2,10,5.0,10,0,5.0,--
Lewis Billups,12,0,0,0.0,0,0,1.0,--
Don Blackmon,15,0,0,0.0,0,0,7.5,--
Glenn Blackwood,10,2,10,5.0,7,0,0.0,--
Lyle Blackwood,5,1,14,14.0,14,0,0.0,--
Dwaine Board,16,0,0,0.0,0,0,8.0,--
John Bostic,13,1,8,8.0,8,0,0.0,--
Keith Bostic,16,1,0,0.0,0,0,2.0,--
Todd Bowles,15,2,0,0.0,0,0,0.0,--
Scot Brantley,16,2,65,32.5,57,0,0.0,--
Louis Breeden,16,7,72,10.29,36,1,0.0,--
Kevin Brooks,9,0,0,0.0,0,0,2.5,--
Willie Broughton,15,0,0,0.0,0,0,1.0,--
Bud Brown,16,1,3,3.0,3,0,0.0,--
Dave Brown,16,5,58,11.6,24,1,0.0,--
Donald Brown,13,1,23,23.0,23,0,0.0,--
Greg Brown,16,0,0,0.0,0,0,9.0,--
Joey Browner,16,4,62,15.5,39,1,0.5,--
Keith Browner,15,1,16,16.0,16,0,4.0,--
Mark Brown,14,0,0,0.0,0,0,5.0,--
Robert Brown,16,0,0,0.0,0,0,2.0,--
Ross Browner,16,0,0,0.0,0,0,6.5,--
Steve Brown,16,2,34,17.0,38,0,1.0,--
Bob Brudzinski,16,0,0,0.0,0,0,2.0,--
Jeff Bryant,12,0,0,0.0,0,0,4.0,--
Rick Bryan,16,0,0,0.0,0,0,7.0,--
Derrick Burroughs,15,2,49,24.5,41,0,0.0,--
Lloyd Burruss,15,5,193,38.6,72,3,0.0,--
Jim Burt,13,0,0,0.0,0,0,1.0,--
Frank Bush,3,0,0,0.0,0,0,1.0,--
Barney Bussey,16,1,19,19.0,19,0,1.0,--
Bobby Butler,7,1,33,33.0,33,1,0.0,--
Keith Butler,16,0,0,0.0,0,0,1.0,--
Dave Butz,16,0,0,0.0,0,0,6.0,--
Gill Byrd,15,5,45,9.0,18,0,0.0,--
Richard Byrd,16,0,0,0.0,0,0,3.0,--
Mossy Cade,16,4,26,6.5,18,0,1.0,--
Reggie Camp,16,0,0,0.0,0,0,7.0,--
John Cannon,9,0,0,0.0,0,0,2.0,--
Alphonso Carreker,16,0,0,0.0,0,0,2.5,--
Harry Carson,16,1,20,20.0,20,0,2.0,--
Carl Carter,14,2,12,6.0,11,0,0.0,--
Michael Carter,15,0,0,0.0,0,0,2.0,--
