Player Name,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Fred Bruney,1,39,39.0,--,0,--,--
Roy Barni,2,47,23.5,--,0,--,--
Bibbles Bawel,1,33,33.0,--,0,--,--
Ray Beck,1,2,2.0,--,0,--,--
Chuck Bednarik,2,0,0.0,--,0,--,--
Eddie Bell,4,61,15.25,--,1,--,--
Frank Bernardi,1,2,2.0,--,0,--,--
Rex Berry,3,20,6.67,--,0,--,--
Tom Bienemann,1,2,2.0,--,0,--,--
Billy Bookout,1,4,4.0,--,0,--,--
M.L. Brackett,1,24,24.0,--,0,--,--
Gene Brito,1,6,6.0,--,0,--,--
Lindon Crow,11,170,15.45,--,0,--,--
Bill George,2,9,4.5,--,0,--,--
Don Burroughs,2,9,4.5,--,0,--,--
Jack Butler,6,113,18.83,--,0,--,--
Marion Campbell,1,1,1.0,--,0,--,--
Jim Capuzzi,2,65,32.5,--,0,--,--
James Caroline,6,182,30.33,--,2,--,--
Paul Carr,2,18,9.0,--,0,--,--
Jim Cason,4,63,15.75,--,0,--,--
Jesse Castete,2,26,13.0,--,0,--,--
Jack Christiansen,8,109,13.63,--,0,--,--
Don Colo,1,0,0.0,--,0,--,--
Tom Brookshier,1,31,31.0,--,0,--,--
Dick Alban,2,21,10.5,--,0,--,--
James David,7,4,0.57,--,0,--,--
Art DeCarlo,1,11,11.0,--,0,--,--
Bobby Dillon,7,244,34.86,--,1,--,--
Dale Dodrill,1,1,1.0,--,0,--,--
Doug Eggers,1,6,6.0,--,0,--,--
Galen Fiss,1,4,4.0,--,0,--,--
Henry Ford,1,17,17.0,--,0,--,--
Bill Forester,4,35,8.75,--,0,--,--
Joe Fortunato,2,30,15.0,--,1,--,--
Sid Fournet,1,29,29.0,--,0,--,--
Bill Fulcher,1,0,0.0,--,0,--,--
Tom Scott,1,12,12.0,--,0,--,--
Ken Gorgal,2,2,1.0,--,0,--,--
Hank Gremminger,2,36,18.0,--,0,--,--
Wayne Hansen,1,11,11.0,--,0,--,--
Matt Hazeltine,1,7,7.0,--,0,--,--
Norb Hecker,8,26,3.25,--,0,--,--
Jimmy Hill,5,21,4.2,--,0,--,--
Bob Holladay,1,0,0.0,--,0,--,--
Sam Huff,3,49,16.33,--,0,--,--
Ed Hughes,1,38,38.0,--,0,--,--
Carl Karilivacz,1,0,0.0,--,0,--,--
Ken Konz,4,34,8.5,--,0,--,--
Chet Ostrowski,1,2,2.0,--,0,--,--
Yale Lary,8,182,22.75,--,1,--,--
Woodley Lewis,1,0,0.0,--,0,--,--
Bob Long,2,47,23.5,--,0,--,--
Gary Lowe,1,30,30.0,--,0,--,--
George Maderos,2,2,1.0,--,0,--,--
Marv Matuszak,2,28,14.0,--,0,--,--
Dicky Moegle,6,75,12.5,--,1,--,--
McNeil Moore,3,30,10.0,--,0,--,--
Dick Nolan,2,17,8.5,--,0,--,--
Chuck Noll,1,13,13.0,--,0,--,--
Joe Schmidt,1,7,7.0,--,0,--,--
Dick Lane,7,206,29.43,--,1,--,--
Jack Patera,2,10,5.0,--,0,--,--
Jimmy Patton,1,2,2.0,--,0,--,--
Don Paul,7,190,27.14,--,1,--,--
Bill Pellington,1,4,4.0,--,0,--,--
Hugh Pitts,3,22,7.33,--,0,--,--
Bert Rechichar,4,63,15.75,--,0,--,--
John Reger,2,33,16.5,--,0,--,--
Herb Rich,1,0,0.0,--,0,--,--
Lee Riley,3,57,19.0,--,0,--,--
Rocky Ryan,1,17,17.0,--,0,--,--
Leo Sanford,5,24,4.8,--,0,--,--
Carl Taseff,2,13,6.5,--,0,--,--
Joe Scudero,2,26,13.0,--,0,--,--
Ed Sharkey,1,4,4.0,--,0,--,--
Will Sherman,4,122,30.5,--,1,--,--
Ray Shiver,1,0,0.0,--,0,--,--
Don Shula,1,2,2.0,--,0,--,--
Ernie Smith,1,0,0.0,--,0,--,--
Ray Gene Smith,4,90,22.5,--,0,--,--
Julian Spence,1,7,7.0,--,0,--,--
Bill Stits,1,11,11.0,--,0,--,--
Bill Svoboda,2,3,1.5,--,0,--,--
Warren Lahr,3,33,11.0,--,0,--,--
Jerry Norton,2,34,17.0,--,0,--,--
Deral Teteak,2,20,10.0,--,0,--,--
Jesse Thomas,2,36,18.0,--,0,--,--
LaVern Torgeson,1,0,0.0,--,0,--,--
Emlen Tunnell,6,87,14.5,--,0,--,--
Val Joe Walker,1,0,0.0,--,0,--,--
Stan Wallace,1,7,7.0,--,0,--,--
Chuck Weber,1,19,19.0,--,0,--,--
Jesse Whittenton,3,83,27.67,--,1,--,--
Fred Williams,1,11,11.0,--,0,--,--
Junior Wren,1,0,0.0,--,0,--,--
George Tarasovic,3,60,20.0,--,0,--,--
