Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Solo Tackles,Tackle Assists,Total Tackles,Sacks,Sack Loss Yards Caused
Zach Thomas,16,1,0,0,103,62,165,3.0,14.0
DeMeco Ryans,16,1,16,16.0,16,0,126,30,156,3.5,30.5
London Fletcher,16,4,30,7.5,17,1,101,45,146,2.0,5.0
Keith Bulluck,16,1,0,0.0,0,0,100,44,144,2.5,10.0
Donnie Edwards,16,3,11,3.67,8,0,99,44,143,2.5,17.5
Cato June,16,3,14,4.67,8,0,96,46,142,1.0,3.0
Brian Urlacher,16,3,38,12.67,36,0,93,49,142,0.0,0.0
Antonio Pierce,16,1,6,6.0,6,0,109,30,139,1.0,5.0
Keith Brooking,16,0,0,0.0,0,0,97,41,138,2.5,11.0
Lance Briggs,16,2,18,9.0,18,0,113,21,134,1.0,4.0
James Farrior,16,1,1,1.0,1,0,85,43,128,4.0,29.0
Kirk Morrison,16,2,32,16.0,31,0,102,26,128,1.0,7.0
Ernie Sims,16,0,0,0.0,0,0,82,43,125,0.5,2.0
Lofa Tatupu,16,1,19,19.0,19,0,93,30,123,1.5,14.0
Gary Brackett,14,0,0,0.0,0,0,87,35,122,0.0,0.0
Derrick Brooks,16,3,51,17.0,21,1,96,25,121,0.0,0.0
A.J. Hawk,16,2,31,15.5,25,0,84,37,121,3.5,31.0
Chris Hope,16,5,105,21.0,61,1,89,32,121,0.0,0.0
Jonathan Vilma,16,1,0,0.0,0,0,69,48,117,0.0,0.0
Will Witherspoon,16,0,0,0.0,0,0,102,14,116,3.0,4.0
Sean Taylor,16,1,25,25.0,25,0,89,25,114,0.0,0.0
Jeremiah Trotter,16,1,17,17.0,17,0,88,25,113,0.0,0.0
Landon Johnson,16,1,2,2.0,2,0,78,35,113,0.5,4.0
Tedy Bruschi,15,1,8,8.0,8,0,53,59,112,1.5,6.0
Morlon Greenwood,16,1,0,0.0,0,0,85,26,111,1.0,0.0
Sean Jones,16,5,46,9.2,19,0,71,40,111,0.5,5.0
Chris Draft,16,0,0,0.0,0,0,82,28,110,5.5,44.5
E.J. Henderson,16,2,48,24.0,45,1,77,33,110,3.0,30.0
Thomas Howard,16,0,0,0.0,0,0,88,22,110,0.0,0.0
Jermaine Phillips,16,2,45,22.5,29,0,89,20,109,1.0,9.0
David Thornton,16,0,0,0.0,0,0,87,22,109,0.0,0.0
Stuart Schweigert,16,0,0,0.0,0,0,86,21,107,0.0,0.0
Shelton Quarles,12,0,0,0.0,0,0,68,38,106,2.5,17.5
Donte Whitner,15,1,10,10.0,10,0,68,38,106,0.0,0.0
Nick Barnett,15,2,3,1.5,3,0,61,44,105,2.0,15.0
Channing Crowder,16,0,0,0.0,0,0,61,43,104,1.0,9.0
Lemar Marshall,15,0,0,0.0,0,0,70,34,104,1.5,12.0
Kawika Mitchell,16,1,23,23.0,23,0,82,22,104,1.5,4.5
Bart Scott,16,2,31,15.5,24,0,78,25,103,9.5,66.0
Gibril Wilson,15,2,25,12.5,25,0,77,26,103,0.0,0.0
Andra Davis,14,2,19,9.5,19,0,78,25,103,1.0,7.0
Bradie James,16,1,15,15.0,15,1,66,37,103,0.0,0.0
Ray Lewis,14,2,27,13.5,27,0,80,23,103,5.0,36.5
Al Wilson,15,0,0,0.0,0,0,79,23,102,1.0,5.0
Caleb Miller,16,0,0,0.0,0,0,66,35,101,1.0,7.0
Erik Coleman,16,1,3,3.0,3,0,70,31,101,0.0,0.0
Ronde Barber,16,3,103,34.33,66,2,85,15,100,0.0,0.0
Eric Barton,16,0,0,0.0,0,0,72,28,100,4.5,36.0
Will Demps,16,2,30,15.0,29,0,74,26,100,1.0,6.0
Victor Hobson,16,1,9,9.0,9,0,66,34,100,6.0,27.0
Kerry Rhodes,16,4,46,11.5,25,0,75,24,99,5.0,43.0
Scott Shanle,16,0,0,0.0,0,0,74,25,99,4.0,27.0
Lawyer Milloy,16,0,0,0.0,0,0,72,26,98,2.0,13.0
Antoine Winfield,16,4,33,8.25,26,1,84,14,98,0.0,0.0
Brian Dawkins,16,4,38,9.5,38,0,76,22,98,1.0,9.0
