Player Name,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Herb Adderley,4,56,14.0,35,0,--,--
Kermit Alexander,5,65,13.0,24,0,--,--
Erich Barnes,2,26,13.0,26,1,--,--
Walter Beach,4,81,20.25,65,1,--,--
Larry Benz,4,67,16.75,45,0,--,--
Bobby Boyd,9,185,20.56,47,0,--,--
Jim Bradshaw,1,39,39.0,39,0,--,--
Tom Brown,1,30,30.0,30,0,--,--
Frank Budka,2,18,9.0,18,0,--,--
Don Burroughs,2,5,2.5,3,0,--,--
Jimmy Burson,3,53,17.67,40,0,--,--
Bill Butler,2,15,7.5,15,0,--,--
Lee Roy Caffey,1,44,44.0,44,0,--,--
James Caroline,2,84,42.0,79,0,--,--
Jimmy Carr,2,13,6.5,13,0,--,--
Vince Costello,2,21,10.5,20,0,--,--
Irv Cross,3,109,36.33,94,1,--,--
Lindon Crow,1,23,23.0,23,0,--,--
Dan Currie,2,11,5.5,10,0,--,--
Willie Daniel,2,4,2.0,4,0,--,--
Mike Dowdle,1,14,14.0,14,0,--,--
Dave Edwards,1,1,1.0,1,0,--,--
Ross Fichtner,2,67,33.5,64,0,--,--
Pat Fischer,10,164,16.4,39,2,--,--
Galen Fiss,1,24,24.0,24,0,--,--
Dennis Gaubatz,1,16,16.0,16,0,--,--
Bill George,2,28,14.0,20,0,--,--
Glenn Glass,1,18,18.0,18,0,--,--
Hank Gremminger,1,13,13.0,13,0,--,--
Dick Haley,2,11,5.5,8,0,--,--
Wendell Harris,1,20,20.0,20,0,--,--
Doug Hart,1,0,0.0,0,0,--,--
Rip Hawkins,2,85,42.5,56,2,--,--
Matt Hazeltine,1,1,1.0,1,0,--,--
Jerry Hillebrand,1,9,9.0,9,0,--,--
Chuck Hinton,1,8,8.0,8,1,--,--
Ed Holler,1,2,2.0,2,0,--,--
Jim Houston,2,86,43.0,44,1,--,--
Chuck Howley,2,27,13.5,21,0,--,--
Sam Huff,4,34,8.5,14,0,--,--
Jimmy Johnson,3,65,21.67,43,0,--,--
Lee Roy Jordan,1,3,3.0,3,0,--,--
Alex Karras,2,7,3.5,5,0,--,--
Karl Kassulke,3,4,1.33,4,0,--,--
Brady Keys,2,11,5.5,11,0,--,--
Elbert Kimbrough,2,3,1.5,3,0,--,--
Bill Koman,2,1,0.5,1,0,--,--
Paul Krause,12,140,11.67,35,1,--,--
Dick Lane,1,11,11.0,11,0,--,--
Yale Lary,6,101,16.83,30,0,--,--
Dick LeBeau,5,45,9.0,18,0,--,--
Warren Livingston,1,27,27.0,27,0,--,--
Dave Lloyd,3,68,22.67,27,0,--,--
Jerry Logan,6,91,15.17,30,1,--,--
Lamar Lundy,1,14,14.0,14,1,--,--
Lenny Lyles,2,40,20.0,23,0,--,--
Dick Lynch,4,68,17.0,37,0,--,--
Bruce Maher,2,28,14.0,28,0,--,--
Aaron Martin,2,107,53.5,71,1,--,--
Bennie McRae,2,44,22.0,26,0,--,--
Ed Meador,3,50,16.67,30,0,--,--
Dale Meinert,2,24,12.0,18,1,--,--
Andy Nelson,1,13,13.0,13,0,--,--
Ray Nitschke,2,36,18.0,29,0,--,--
Jack Pardee,1,32,32.0,32,0,--,--
Bernie Parrish,4,98,24.5,54,1,--,--
Jimmy Patton,2,0,0.0,0,0,--,--
Bill Pellington,2,20,10.0,13,0,--,--
Myron Pottios,1,8,8.0,8,0,--,--
Jim Prestel,1,26,26.0,26,1,--,--
Bob Quinlan,1,0,0.0,0,0,--,--
Nate Ramsey,5,31,6.2,17,0,--,--
John Reger,3,37,12.33,19,1,--,--
Mel Renfro,7,110,15.71,39,1,--,--
Jerry Richardson,5,146,29.2,41,0,--,--
Jimmy Ridlon,4,121,30.25,74,1,--,--
George Rose,6,48,8.0,32,1,--,--
Johnny Sample,4,31,7.75,16,1,--,--
Lonnie Sanders,2,4,2.0,4,0,--,--
Bill Saul,1,13,13.0,13,0,--,--
Joe Scarpati,3,41,13.67,24,1,--,--
Tom Scott,2,31,15.5,31,0,--,--
Ed Sharockman,1,22,22.0,22,0,--,--
Don Shinnick,3,10,3.33,9,0,--,--
Jim Shorter,1,2,2.0,2,0,--,--
Lou Slaby,2,32,16.0,26,0,--,--
Bobby Smith,2,97,48.5,97,1,--,--
Larry Stallings,2,31,15.5,18,0,--,--
Jim Steffen,4,20,5.0,11,0,--,--
Jerry Stovall,3,71,23.67,40,1,--,--
Rosey Taylor,2,45,22.5,26,0,--,--
Clendon Thomas,1,0,0.0,0,0,--,--
Bobby Thompson,3,45,15.0,24,0,--,--
Jerry Tubbs,2,27,13.5,26,0,--,--
Larry Vargo,1,0,0.0,0,0,--,--
Wayne Walker,1,14,14.0,14,0,--,--
Tom Walters,2,36,18.0,29,0,--,--
Allan Webb,1,0,0.0,0,0,--,--
Dave Whitsell,2,57,28.5,41,0,--,--
Jesse Whittenton,1,0,0.0,0,0,--,--
Dave Wilcox,1,6,6.0,6,0,--,--
Larry Wilson,3,44,14.67,42,1,--,--
Roy Winston,3,24,8.0,15,0,--,--
Abe Woodson,2,1,0.5,1,0,--,--
Willie Wood,3,73,24.33,42,1,--,--
