Player Name,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
James Caroline,5,14,2.8,8,0,--,--
Dave Baker,5,75,15.0,29,0,--,--
Erich Barnes,5,67,13.4,29,0,--,--
Terry Barr,1,29,29.0,29,0,--,--
Tom Bettis,1,0,0.0,0,0,--,--
Tom Braatz,1,17,17.0,17,0,--,--
Carl Brettschneider,1,2,2.0,2,0,--,--
Tom Brookshier,3,13,4.33,8,0,--,--
Ray Brown,5,89,17.8,44,0,--,--
Jack Butler,2,16,8.0,16,0,--,--
Dick Campbell,1,6,6.0,6,0,--,--
Ralph Felton,2,6,3.0,6,0,--,--
Mike Henry,2,42,21.0,33,0,--,--
Jimmy Carr,5,65,13.0,26,0,--,--
Vince Costello,0,14,0.0,14,0,--,--
Lindon Crow,5,54,10.8,30,1,--,--
Dan Currie,1,25,25.0,25,0,--,--
James David,2,7,3.5,7,0,--,--
Milt Davis,7,119,17.0,57,1,--,--
Dean Derby,7,127,18.14,24,0,--,--
Bobby Dillon,1,7,7.0,7,0,--,--
Eddie Dove,1,6,6.0,6,0,--,--
Chuck Drazenovich,1,0,0.0,0,0,--,--
Dick Alban,6,119,19.83,46,0,--,--
Galen Fiss,1,9,9.0,9,0,--,--
Bill Forester,2,48,24.0,34,0,--,--
Joe Fortunato,2,10,5.0,6,0,--,--
Tom Franckhauser,3,2,0.67,2,0,--,--
Bobby Freeman,2,22,11.0,22,0,--,--
Bill George,2,20,10.0,20,0,--,--
Gary Glick,2,35,17.5,35,0,--,--
Hank Gremminger,1,45,45.0,45,0,--,--
Dick Haley,1,15,15.0,15,0,--,--
Ron Hall,1,0,0.0,0,0,--,--
Marion Campbell,1,0,0.0,0,0,--,--
Jimmy Hill,2,4,2.0,4,0,--,--
Sam Huff,1,21,21.0,21,0,--,--
Dick James,3,47,15.67,25,0,--,--
Bill Jobko,1,0,0.0,0,0,--,--
Gene Johnson,1,22,22.0,22,0,--,--
Jack Johnson,1,0,0.0,0,0,--,--
Emil Karas,1,0,0.0,0,0,--,--
Ed Khayat,1,0,0.0,0,0,--,--
Ken Konz,1,35,35.0,21,0,--,--
Warren Lahr,1,0,0.0,0,0,--,--
Jerry Mertens,2,56,28.0,30,1,--,--
Yale Lary,3,0,0.0,0,0,--,--
Gene Lipscomb,1,49,49.0,49,0,--,--
Cliff Livingston,2,25,12.5,16,0,--,--
Gary Lowe,5,130,26.0,42,0,--,--
Bobby Luna,3,53,17.67,32,0,--,--
Dick Lynch,1,0,0.0,0,0,--,--
Gino Marchetti,1,1,1.0,1,0,--,--
Jim Martin,2,33,16.5,19,0,--,--
Marv Matuszak,1,23,23.0,23,0,--,--
Richie McCabe,1,8,8.0,8,0,--,--
Bob Pellegrini,3,42,14.0,39,0,--,--
Charlie Sumner,3,22,7.33,15,0,--,--
Walt Michaels,1,7,7.0,7,0,--,--
Larry Morris,1,14,14.0,14,0,--,--
Andy Nelson,6,33,5.5,33,1,--,--
Doyle Nix,1,19,19.0,19,0,--,--
Dick Nolan,5,57,11.4,34,0,--,--
Chuck Noll,2,5,2.5,5,0,--,--
Jerry Norton,3,35,11.67,30,0,--,--
Bernie Parrish,5,83,16.6,37,1,--,--
Jack Patera,1,21,21.0,21,0,--,--
Jimmy Patton,5,13,2.6,12,0,--,--
Dick Lane,3,125,41.67,69,1,--,--
Bill Pellington,4,99,24.75,30,1,--,--
Richie Petitbon,3,52,17.33,33,1,--,--
Art Powell,3,17,5.67,17,0,--,--
Bob Quinlan,1,5,5.0,5,0,--,--
Lee Riley,1,0,0.0,0,0,--,--
Johnny Sample,1,10,10.0,10,0,--,--
Joe Schmidt,1,17,17.0,17,0,--,--
Don Shinnick,7,70,10.0,23,0,--,--
Jim Shofner,2,50,25.0,30,0,--,--
Billy Stacy,5,114,22.8,36,0,--,--
Ed Meador,3,3,1.0,3,0,--,--
Harland Svare,3,118,39.33,70,1,--,--
John Symank,2,46,23.0,25,0,--,--
Dick Szymanski,5,24,4.8,15,1,--,--
Carl Taseff,2,60,30.0,33,0,--,--
Jim Temp,1,13,13.0,13,0,--,--
Jerry Tubbs,2,32,16.0,21,0,--,--
Emlen Tunnell,2,20,10.0,18,0,--,--
Chuck Weber,2,8,4.0,8,0,--,--
Abe Woodson,4,20,5.0,14,0,--,--
Junior Wren,5,39,7.8,22,0,--,--
