Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Solo Tackles,Tackle Assists,Total Tackles,Sacks,Sack Loss Yards Caused
Patrick Willis,16,0,0,0.0,0,0,136,38,174,4.0,9.0
D.J. Williams,16,1,0,0.0,0,0,106,35,141,1.0,14.0
Jon Beason,16,1,0,0.0,0,0,106,34,140,0.0,0.0
Ernie Sims,16,1,5,5.0,5,0,97,37,134,1.0,5.0
Nick Barnett,16,2,40,20.0,38,0,102,29,131,3.5,19.5
London Fletcher,16,3,36,12.0,27,1,101,28,129,0.0,0.0
DeMeco Ryans,16,1,1,1.0,1,0,98,29,127,2.0,18.0
Angelo Crowell,16,1,5,5.0,5,0,86,40,126,2.0,17.0
David Harris,16,0,0,0.0,0,0,90,36,126,5.0,52.0
Brian Urlacher,16,5,101,20.2,85,1,93,30,123,5.0,36.0
Kirk Morrison,16,4,94,23.5,45,0,97,25,122,1.0,8.0
David Thornton,16,2,16,8.0,11,0,93,29,122,1.0,7.0
Ray Lewis,14,2,35,17.5,35,1,83,38,121,2.0,7.0
Morlon Greenwood,16,1,3,3.0,3,0,91,28,119,1.0,8.0
E.J. Henderson,16,0,0,0.0,0,0,94,25,119,4.5,33.0
Paris Lenon,16,1,61,61.0,61,1,88,30,118,2.0,16.0
Gary Brackett,16,4,128,32.0,49,0,86,30,116,0.5,0.0
Napoleon Harris,16,1,4,4.0,4,0,83,33,116,1.5,11.0
John DiGiorgio,16,1,38,38.0,38,0,87,26,113,2.0,12.5
Barrett Ruud,15,2,7,3.5,5,0,82,31,113,0.0,0.0
Will Witherspoon,16,0,0,0.0,0,0,92,18,110,7.0,54.0
Michael Boley,16,2,12,6.0,12,0,93,17,110,3.0,20.0
Keith Brooking,16,0,0,0.0,0,0,84,26,110,2.0,13.0
Derrick Brooks,16,0,0,0.0,0,0,84,25,109,0.0,0.0
Landon Johnson,16,0,0,0.0,0,0,71,38,109,1.0,8.0
Lofa Tatupu,16,4,116,29.0,49,0,83,26,109,1.0,8.0
Stephen Cooper,16,2,23,11.5,18,0,72,35,107,2.0,16.0
Donnie Edwards,16,1,18,18.0,18,0,87,19,106,2.0,11.0
Chad Greenway,16,2,39,19.5,37,1,78,27,105,0.0,0.0
A.J. Hawk,16,1,10,10.0,10,0,78,27,105,1.0,7.0
Michael Lewis,16,2,18,9.0,18,0,74,30,104,1.5,13.0
Lance Briggs,14,0,0,0.0,0,0,84,19,103,2.0,7.0
Omar Gaither,16,1,49,49.0,49,0,70,32,102,0.0,0.0
Antonio Pierce,16,1,28,28.0,28,0,76,26,102,1.0,10.0
D'Qwell Jackson,14,1,1,1.0,1,0,75,26,101,1.0,7.0
Bradie James,16,0,0,0.0,0,0,64,37,101,3.0,16.0
Karlos Dansby,14,3,55,18.33,28,0,78,21,99,3.5,27.0
Calvin Pace,16,1,14,14.0,14,0,80,19,99,6.5,39.5
James Harrison,16,1,20,20.0,20,0,76,22,98,8.5,54.0
Gerald Hayes,16,1,30,30.0,30,1,82,16,98,4.0,23.0
Chris Harris,15,1,30,30.0,30,0,77,20,97,0.0,0.0
Bob Sanders,15,2,32,16.0,29,0,72,25,97,3.5,17.0
Matt Wilhelm,14,3,11,3.67,7,0,74,23,97,1.0,0.0
James Farrior,16,1,0,0.0,0,0,65,31,96,6.5,45.5
Thomas Howard,16,6,172,28.67,66,2,78,18,96,1.0,0.0
Sean Jones,16,5,37,7.4,26,0,69,27,96,0.5,4.0
Cortland Finnegan,16,1,14,14.0,14,0,79,16,95,1.0,7.0
Scott Fujita,15,0,0,0.0,0,0,77,18,95,3.0,26.0
Von Hutchins,16,1,8,8.0,8,0,78,17,95,0.5,2.5
LaRon Landry,16,0,0,0.0,0,0,63,32,95,1.5,12.0
Derrick Johnson,16,2,18,9.0,12,0,83,11,94,4.0,34.0
Sammy Knight,16,4,31,7.75,15,0,79,14,93,0.0,0.0
Bart Scott,16,0,0,0.0,0,0,62,31,93,1.0,2.0
Roy Williams,15,2,10,5.0,10,0,73,19,92,0.0,0.0
Gibril Wilson,13,4,12,3.0,10,0,78,14,92,0.0,0.0
Tedy Bruschi,16,0,0,0.0,0,0,64,28,92,2.0,16.0
Nate Clements,16,4,74,18.5,62,0,77,15,92,1.0,11.0
Cedric Griffin,16,0,0,0.0,0,0,82,10,92,0.0,0.0
