Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Willie Alexander,13,2,27,13.5,19,0,--,--
Carl Allen,15,5,126,25.2,78,0,--,--
Jimmy Allen,16,4,0,0.0,0,0,--,--
Nate Allen,5,1,0,0.0,0,0,--,--
Dick Ambrose,15,1,0,0.0,0,0,--,--
Larry Anderson,16,1,19,19.0,19,0,--,--
Charlie Babb,5,1,3,3.0,3,0,--,--
John Banaszak,16,1,3,3.0,3,0,--,--
Gary Barbaro,16,7,142,20.29,70,1,--,--
Benny Barnes,15,2,20,10.0,11,0,--,--
Jeff Barnes,16,1,8,8.0,8,0,--,--
Autry Beamon,15,1,38,38.0,38,0,--,--
Doug Beaudoin,10,1,30,30.0,30,0,--,--
Terry Beeson,16,1,3,3.0,3,0,--,--
Bill Bergey,3,1,0,0.0,0,0,--,--
Rufus Bess,16,1,0,0.0,0,0,--,--
Gregg Bingham,16,3,78,26.0,54,0,--,--
Lyle Blackwood,16,4,63,15.75,27,0,--,--
Matt Blair,16,3,32,10.67,16,0,--,--
Stan Blinka,16,2,12,6.0,8,0,--,--
Mel Blount,16,3,1,0.33,1,0,--,--
Kim Bokamper,14,1,3,3.0,3,0,--,--
Ron Bolton,16,3,20,6.67,13,0,--,--
Ken Bordelon,16,2,24,12.0,19,1,--,--
Luther Bradley,16,4,11,2.75,11,0,--,--
Larry Braziel,16,4,49,12.25,31,1,--,--
Robert Brazile,16,2,45,22.5,26,0,--,--
Cedric Brown,16,3,79,26.33,72,0,--,--
Dave Brown,16,5,46,9.2,23,0,--,--
Eddie Brown,16,3,32,10.67,25,0,--,--
Jim Browner,16,1,15,15.0,15,0,--,--
Ray Brown,12,1,2,2.0,2,0,--,--
Bob Brudzinski,16,1,26,26.0,26,0,--,--
Bobby Bryant,14,2,50,25.0,29,0,--,--
Doug Buffone,16,2,11,5.5,11,0,--,--
John Bunting,15,2,13,6.5,13,0,--,--
Dan Bunz,14,1,2,2.0,2,0,--,--
Keith Butler,14,1,4,4.0,4,0,--,--
Greg Buttle,16,2,27,13.5,27,0,--,--
Rick Byas,16,1,34,34.0,34,0,--,--
Alan Caldwell,16,2,2,1.0,2,0,--,--
Gary Campbell,16,1,32,32.0,32,0,--,--
Harry Carson,16,3,28,9.33,14,0,--,--
M.L. Carter,16,3,33,11.0,20,0,--,--
Rusty Chambers,16,1,4,4.0,4,0,--,--
Clarence Chapman,16,2,12,6.0,12,0,--,--
Al Chesley,16,2,39,19.5,25,0,--,--
Herb Christopher,9,2,1,0.5,1,0,--,--
Mario Clark,16,5,95,19.0,36,0,--,--
Raymond Clayborn,16,5,56,11.2,27,0,--,--
Marvin Cobb,14,3,19,6.33,14,0,--,--
Monte Coleman,16,1,13,13.0,13,0,--,--
Tim Collier,15,2,45,22.5,40,0,--,--
Neal Colzie,16,5,86,17.2,56,0,--,--
Charles Cornelius,16,3,54,18.0,54,0,--,--
Ray Costict,16,1,22,22.0,22,0,--,--
Mark Cotney,16,1,0,0.0,0,0,--,--
Nolan Cromwell,16,5,109,21.8,34,0,--,--
Thom Darden,16,5,125,25.0,39,1,--,--
Mike Davis,16,2,22,11.0,11,0,--,--
Oliver Davis,16,1,33,33.0,33,0,--,--
Mike Douglass,16,3,73,24.33,46,0,--,--
Brad Dusek,16,1,0,0.0,0,0,--,--
Ray Easterling,16,2,5,2.5,5,0,--,--
Glen Edwards,15,4,99,24.75,53,0,--,--
Herman Edwards,16,3,6,2.0,6,0,--,--
Allan Ellis,8,3,67,22.33,24,0,--,--
Dave Elmendorf,16,3,39,13.0,32,0,--,--
Joe Federspiel,16,1,4,4.0,4,0,--,--
Eric Felton,13,4,53,13.25,53,0,--,--
Gary Fencik,14,6,31,5.17,17,0,--,--
Steve Foley,16,6,14,2.33,7,0,--,--
Tim Foley,15,2,8,4.0,8,0,--,--
Tim Fox,16,2,38,19.0,25,0,--,--
Steve Freeman,16,3,62,20.67,50,1,--,--
Mike Fuller,16,4,39,9.75,23,0,--,--
Wentford Gaines,16,1,38,38.0,38,0,--,--
Nesby Glasgow,16,1,0,--,--
Don Goode,12,1,0,0.0,0,0,--,--
Larry Gordon,16,2,33,16.5,33,0,--,--
David Gray,16,1,32,32.0,32,0,--,--
Johnnie Gray,16,5,66,13.2,35,0,--,--
Tim Gray,16,1,20,20.0,20,0,--,--
Doug Greene,15,1,21,21.0,21,0,--,--
Gary Green,16,5,148,29.6,57,0,--,--
Ken Greene,16,3,37,12.33,21,0,--,--
Sammy Green,16,1,91,91.0,91,1,--,--
Tony Greene,16,1,10,10.0,10,0,--,--
Ray Griffin,12,4,167,41.75,96,1,--,--
Elois Grooms,16,1,0,--,--
Charlie Hall,16,2,14,7.0,11,0,--,--
Jack Ham,15,2,8,4.0,6,0,--,--
Tom Hannon,16,4,85,21.25,52,0,--,--
Cliff Harris,16,2,35,17.5,20,0,--,--
Dwight Harrison,7,2,6,3.0,6,0,--,--
John Harris,14,2,30,15.0,25,0,--,--
Carter Hartwig,16,2,24,12.0,24,0,--,--
Jim Haslett,16,2,15,7.5,11,0,--,--
Mike Hawkins,16,2,35,17.5,35,1,--,--
Lester Hayes,16,7,100,14.29,52,2,--,--
Mike Haynes,16,3,66,22.0,33,0,--,--
Ted Hendricks,16,1,23,23.0,23,1,--,--
Dwight Hicks,8,5,57,11.4,29,0,--,--
Tom Hicks,15,3,85,28.33,66,1,--,--
Estus Hood,16,2,8,4.0,6,0,--,--
Bob Horn,16,2,44,22.0,30,0,--,--
Ken Houston,13,1,20,20.0,20,0,--,--
Bob Howard,16,3,34,11.33,34,0,--,--
Tom Howard,16,1,19,19.0,19,0,--,--
Pat Hughes,16,4,62,15.5,40,0,--,--
Randy Hughes,15,2,91,45.5,68,0,--,--
James Hunter,15,3,6,2.0,6,0,--,--
Mike Hunt,3,1,13,13.0,13,0,--,--
Bernard Jackson,12,0,13,0.0,13,0,--,--
Bobby Jackson,16,4,63,15.75,58,1,--,--
Gerald Jackson,16,1,4,4.0,4,0,--,--
Monte Jackson,8,2,5,2.5,5,0,--,--
Terry Jackson,16,3,10,3.33,10,0,--,--
Tom Jackson,13,1,34,34.0,34,0,--,--
Dick Jauron,16,6,41,6.83,12,0,--,--
Charles Johnson,16,1,0,0.0,0,0,--,--
Monte Johnson,16,1,0,0.0,0,0,--,--
Ron Johnson,11,1,20,20.0,20,0,--,--
Ernie Jones,5,2,42,21.0,31,1,--,--
Kerry Justin,14,1,0,0.0,0,0,--,--
Sidney Justin,13,1,13,13.0,13,0,--,--
Brian Kelley,16,3,41,13.67,16,0,--,--
Kurt Knoff,10,2,25,12.5,15,0,--,--
Paul Krause,16,3,49,16.33,18,0,--,--
Aaron Kyle,16,2,0,0.0,0,0,--,--
Bruce Laird,15,3,101,33.67,68,0,--,--
Jack Lambert,16,6,29,4.83,23,0,--,--
Joe Lavender,16,6,77,12.83,27,0,--,--
Rolland Lawrence,16,6,120,20.0,38,0,--,--
Jim LeClair,16,1,0,0.0,0,0,--,--
Dave Lewis,16,2,19,9.5,11,0,--,--
D.D. Lewis,16,2,8,4.0,5,0,--,--
Virgil Livers,13,2,41,20.5,30,0,--,--
Dan Lloyd,13,2,10,5.0,7,0,--,--
Randy Logan,16,3,57,19.0,35,0,--,--
Karl Lorch,15,1,31,31.0,31,1,--,--
Woodrow Lowe,16,5,150,30.0,77,2,--,--
Steve Luke,16,1,10,10.0,10,0,--,--
Johnny Lynn,16,2,46,23.0,32,0,--,--
Frank Manumaleuga,15,1,17,17.0,17,0,--,--
Bob Matheson,16,1,28,28.0,28,0,--,--
Clay Matthews,16,1,30,30.0,30,0,--,--
James Mayberry,16,1,6,6.0,6,1,--,--
Mike McCoy,16,3,60,20.0,38,0,--,--
Prentice McCray,14,3,48,16.0,26,0,--,--
Ralph McGill,13,1,6,6.0,6,0,--,--
Mike McKibben,16,1,5,5.0,5,0,--,--
Odis McKinney,15,1,25,25.0,25,0,--,--
Aaron Mitchell,16,1,36,36.0,36,0,--,--
Melvin Morgan,8,1,0,0.0,0,0,--,--
Jerry Muckensturm,16,1,5,5.0,5,0,--,--
