Player Name,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Vince Costello,2,19,9.5,12,0,--,--
Terry Barr,1,0,0.0,0,0,--,--
Chuck Bednarik,3,51,17.0,37,0,--,--
Eddie Bell,2,38,19.0,38,0,--,--
Frank Bernardi,2,40,20.0,23,0,--,--
Johnny Bookman,3,54,18.0,31,1,--,--
Tom Brookshier,4,74,18.5,40,0,--,--
Fred Bruney,1,0,0.0,0,0,--,--
Don Burroughs,3,29,9.67,24,0,--,--
Jack Butler,10,85,8.5,20,0,--,--
James Caroline,2,22,11.0,20,0,--,--
Ralph Felton,1,6,6.0,6,0,--,--
Bill Herchman,1,54,54.0,54,1,--,--
Eddie Crawford,1,3,3.0,3,0,--,--
Lindon Crow,1,0,0.0,0,0,--,--
Dick Daugherty,1,32,32.0,32,1,--,--
James David,3,20,6.67,17,0,--,--
Milt Davis,10,219,21.9,75,2,--,--
Art DeCarlo,1,14,14.0,14,0,--,--
Bobby Dillon,9,180,20.0,55,1,--,--
Dale Dodrill,2,50,25.0,44,0,--,--
Bob Dougherty,1,6,6.0,6,0,--,--
Chuck Drazenovich,2,6,3.0,4,0,--,--
Jack Christiansen,10,137,13.7,52,1,--,--
Jimmy Hill,3,53,17.67,31,0,--,--
Galen Fiss,1,15,15.0,15,0,--,--
Bill Forester,4,79,19.75,37,0,--,--
Bobby Freeman,3,46,15.33,25,0,--,--
Gary Glick,2,0,0.0,0,0,--,--
Hank Gremminger,5,93,18.6,45,0,--,--
Wayne Hansen,1,34,34.0,34,0,--,--
Jimmy Harris,3,99,33.0,65,1,--,--
Matt Hazeltine,2,22,11.0,14,0,--,--
Norb Hecker,3,39,13.0,22,0,--,--
Jerry Helluin,1,0,0.0,0,0,--,--
Dick Alban,1,35,35.0,35,0,--,--
Del Shofner,2,27,13.5,15,0,--,--
Sam Huff,1,6,6.0,6,0,--,--
Dick James,2,3,1.5,3,0,--,--
Jack Johnson,4,36,9.0,20,0,--,--
Don Joyce,1,0,0.0,0,0,--,--
Carl Karilivacz,5,54,10.8,30,0,--,--
Ken Konz,4,20,5.0,16,0,--,--
Warren Lahr,2,12,6.0,10,0,--,--
Dick Lane,2,47,23.5,33,0,--,--
Yale Lary,2,64,32.0,63,0,--,--
Woodley Lewis,2,34,17.0,30,0,--,--
Jimmy Patton,3,50,16.67,50,1,--,--
Jim Martin,1,22,22.0,22,0,--,--
Walt Michaels,1,10,10.0,6,0,--,--
Dicky Moegle,8,107,13.38,40,0,--,--
Henry Moore,1,0,0.0,0,0,--,--
McNeil Moore,2,28,14.0,20,0,--,--
Larry Morris,1,0,0.0,0,0,--,--
Andy Nelson,5,29,5.8,13,0,--,--
Dick Nolan,1,12,12.0,12,0,--,--
Jerry Norton,4,155,38.75,99,1,--,--
Sam Palumbo,1,11,11.0,11,0,--,--
Don Shinnick,2,31,15.5,22,0,--,--
Gary Lowe,1,3,3.0,3,0,--,--
Don Paul,4,28,7.0,12,0,--,--
Johnny Petitbon,1,0,0.0,0,0,--,--
Bert Rechichar,5,33,6.6,21,0,--,--
Les Richter,4,60,15.0,25,0,--,--
Aubrey Rozzell,1,4,4.0,4,0,--,--
Karl Rubke,1,16,16.0,16,0,--,--
Floyd Sagely,1,7,7.0,7,0,--,--
Leo Sanford,1,2,2.0,2,0,--,--
Joe Schmidt,1,8,8.0,8,0,--,--
Will Sherman,1,51,51.0,51,0,--,--
LaVern Torgeson,1,6,6.0,6,0,--,--
Don Shula,3,48,16.0,30,0,--,--
J.D. Smith,2,17,8.5,12,0,--,--
Ray Gene Smith,1,22,22.0,22,0,--,--
Bill Stits,2,28,14.0,20,0,--,--
Ed Sutton,1,11,11.0,11,0,--,--
Harland Svare,1,21,21.0,21,0,--,--
Bill Svoboda,2,43,21.5,43,0,--,--
John Symank,9,198,22.0,36,0,--,--
George Tarasovic,2,21,10.5,11,0,--,--
Bob Long,1,3,3.0,3,0,--,--
Jesse Thomas,1,0,0.0,0,0,--,--
Jack Patera,1,16,16.0,16,0,--,--
Emlen Tunnell,6,87,14.5,52,1,--,--
Val Joe Walker,2,20,10.0,12,0,--,--
Stan Wallace,2,23,11.5,21,0,--,--
Joe Walton,1,55,55.0,55,0,--,--
Jesse Whittenton,1,31,31.0,31,0,--,--
Junior Wren,2,73,36.5,43,0,--,--
Frank Wydo,1,25,25.0,25,0,--,--
Bert Zagers,2,29,14.5,22,0,--,--
Vic Zucco,3,20,6.67,14,0,--,--
Carl Taseff,1,7,7.0,7,0,--,--
