Name,Interceptions,Int TDs,Int Yards,Long
Jeremiah Owusu Koramoah,1,0,0,0
Ivan Pace Jr,1,0,6,6
Jabrill Peppers,1,0,0,0
Andru Phillips,1,0,25,25
Jordan Phillips,1,0,2,2
Clark Phillips Iii,1,0,45,45
Michael Pierce,1,0,6,6
James Pierre,1,0,18,18
Jalen Pitre,1,0,10,10
Joey Porter Jr,1,0,16,16
Otis Reese,1,0,2,2
Demani Richardson,1,0,3,3
Christian Roland Wallace,1,0,0,0
Christian Rozeboom,1,0,16,16
Khalen Saunders,1,0,37,37
Darnell Savage,1,0,16,16
Zach Sieler,1,0,0,0
Alex Singleton,1,0,21,21
Roquan Smith,1,0,0,0
Terell Smith,1,0,23,23
Chau Smith Wade,1,0,3,3
E J Speed,1,0,12,12
Teair Tart,1,0,4,4
Jahlani Tavai,1,0,0,0
Henry To Oto O,1,0,0,0
Cory Trice Jr,1,0,0,0
Dallas Turner,1,0,4,4
Anthony Walker,1,0,5,5
Kyzir White,1,0,0,0
Nate Wiggins,1,1,26,26
Donovan Wilson,1,0,0,0
Darious Williams,1,0,0,0
Evan Williams,1,0,1,1
Leonard Williams,1,1,92,92
Eric Wilson,1,0,0,0
Mack Wilson,1,0,0,0
Payton Wilson,1,0,0,0
Ahkello Witherspoon,1,0,0,0
Daryl Worley,1,0,0,0
Isaac Yiadom,1,0,11,11
Jaylen Watson,0,0,12,0
