Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Pat Summerall,30/30,20/29,--,--,--,--,--,0,90
Steve Myhra,50/51,6/17,--,--,--,--,--,0,68
Tommy Davis,31/31,12/26,--,--,--,--,--,0,67
Bobby Layne,32/32,11/17,--,--,--,--,--,0,65
John Aveni,28/32,10/19,--,--,--,--,--,0,58
Paul Hornung,31/32,7/17,--,--,--,--,--,46,52
Sam Baker,21/22,10/22,--,--,--,--,--,0,51
Bobby Joe Conrad,30/31,6/9,--,--,--,--,--,0,48
Lou Groza,33/37,5/16,--,--,--,--,--,0,48
Lou Michaels,12/14,8/17,--,--,--,--,--,0,36
Bobby Walston,33/34,0/1,--,--,--,--,--,0,33
Gerry Perry,18/18,3/6,--,--,--,--,--,0,27
Paige Cothren,1/1,8/18,--,--,--,--,--,0,25
Jack Morris,15/15,3/8,--,--,--,--,--,0,24
Jim Martin,0/1,7/17,--,--,--,--,--,0,21
Wayne Walker,5/6,0/0,--,--,--,--,--,0,5
Don Chandler,2/2,0/1,--,--,--,--,--,0,2
Bert Rechichar,0/0,0/1,--,--,--,--,--,0,0
Les Richter,0/0,0/1,--,--,--,--,--,0,0
Don Sutherin,0/0,0/1,--,--,--,--,--,0,0
Dick Bielski,0/0,0/5,--,--,--,--,--,0,0
