Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Chris Boswell,17,35/35,41/44,0/0,9/9,12/12,7/8,13/15,57,158
Cameron Dicker,17,33/36,39/42,1/1,9/9,9/9,11/12,9/11,59,150
Brandon Aubrey,17,30/30,40/47,0/0,4/4,8/10,14/16,14/17,65,150
Chase McLaughlin,17,54/56,30/32,0/0,11/11,7/7,4/4,8/10,56,144
Jake Bates,17,64/67,26/29,0/0,3/3,10/10,7/8,6/8,58,142
Ka'imi Fairbairn,17,34/36,36/42,0/0,8/10,11/11,4/5,13/16,59,142
Wil Lutz,17,46/46,31/34,0/0,2/2,13/14,11/11,5/7,55,139
Jason Sanders,17,26/28,37/41,0/0,7/7,13/13,5/7,12/14,57,137
Tyler Bass,17,59/64,24/29,0/0,6/7,7/7,7/11,4/4,61,131
Jake Elliott,17,47/48,28/36,0/0,9/9,10/11,8/9,1/7,50,131
Justin Tucker,17,60/62,22/30,0/0,4/4,7/7,5/8,6/11,56,126
Matt Gay,16,33/33,31/37,0/0,9/9,12/12,7/7,3/9,56,126
Daniel Carlson,17,23/25,34/40,0/0,10/10,11/11,6/8,7/11,54,125
Joshua Karty,17,32/36,29/34,0/0,10/11,9/10,4/6,6/7,58,119
Jason Myers,17,37/40,26/30,0/0,4/4,6/6,7/8,9/12,59,115
Blake Grupe,17,31/33,27/31,0/0,4/4,10/11,7/8,6/8,57,112
Chad Ryland,13,26/27,28/32,0/0,6/6,11/11,7/11,4/4,58,110
Will Reichard,13,38/38,24/30,0/0,5/5,6/7,5/7,8/11,58,110
Cam Little,17,27/27,27/29,0/0,8/8,6/6,8/9,5/6,59,108
Jake Moody,14,32/33,24/34,0/0,9/9,5/5,6/11,4/9,53,104
Austin Seibert,9,22/24,27/30,0/0,10/10,7/7,8/8,2/5,55,103
Joey Slye,17,25/26,26/33,0/0,5/6,10/11,5/7,6/9,63,103
Younghoe Koo,14,26/26,25/34,0/0,7/7,5/7,7/11,6/9,58,101
Eddy Pineiro,17,33/35,22/26,0/0,7/7,8/9,6/8,1/2,53,99
Harrison Butker,13,29/31,21/25,1/1,7/8,7/7,4/4,2/5,53,92
Brandon McManus,11,30/30,20/21,0/0,5/5,9/9,3/4,3/3,55,90
Cairo Santos,17,25/26,21/25,0/0,4/4,4/4,5/8,8/9,54,88
Nick Folk,14,25/25,21/22,0/0,5/5,2/2,8/9,6/6,56,88
Evan McPherson,12,37/38,16/22,0/0,6/6,4/4,3/5,3/7,56,85
Dustin Hopkins,16,17/20,18/27,0/0,3/4,6/7,5/8,4/8,56,71
Greg Joseph,8,11/11,16/20,0/0,5/5,5/5,5/8,1/2,52,59
Brayden Narveson,7,18/18,12/18,0/0,4/4,3/4,5/9,0/1,47,54
Anders Carlson,7,12/15,13/15,0/0,3/3,2/2,5/7,3/3,58,51
Matthew Wright,5,6/6,15/16,0/0,3/3,8/8,3/3,1/2,50,51
Cade York,6,16/17,9/13,0/0,5/5,2/3,1/3,1/2,59,43
Graham Gano,10,15/15,9/11,0/0,2/2,1/2,4/5,2/2,53,42
Greg Zuerlein,8,13/14,9/15,0/0,4/4,4/6,1/4,0/1,40,40
John Parker Romo,4,7/8,11/12,0/0,3/3,3/3,4/5,1/1,55,40
Zane Gonzalez,6,19/19,5/7,0/0,0/0,1/1,4/5,0/1,48,34
Matt Prater,4,10/10,6/6,0/0,1/1,1/1,3/3,1/1,57,28
Riley Patterson,5,16/16,4/7,0/0,0/0,3/3,0/1,1/3,52,28
Spencer Shrader,4,9/9,5/5,0/0,2/2,1/1,2/2,0/0,45,24
Jude McAtamney,1,1/1,1/1,0/0,0/0,1/1,0/0,0/0,31,4
Mitch Wishnowsky,9,0/0,1/1,0/0,1/1,0/0,0/0,0/0,26,3
Jamie Gillan,13,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0,0
