Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Adam Vinatieri,16,48/48,31/33,0/0,13/13,7/7,11/12,0/1,48,141
Jason Elam,16,42/42,29/34,0/0,10/10,7/8,9/12,3/4,52,129
Jeff Reed,16,40/40,28/33,1/1,8/9,12/13,5/8,2/2,51,124
David Akers,16,41/42,27/32,0/0,4/4,6/7,15/18,2/3,51,122
Shayne Graham,16,41/41,27/31,0/0,7/7,10/12,7/8,3/4,53,122
Ryan Longwell,16,48/48,24/28,0/0,8/8,8/9,6/8,2/3,53,120
Mike Vanderjagt,15,59/60,20/25,0/0,6/6,9/11,5/7,0/1,47,119
Matt Stover,16,30/30,29/32,2/2,9/9,7/8,9/10,2/3,50,117
Rian Lindell,16,45/45,24/28,0/0,13/14,10/11,1/3,0/0,43,117
Nate Kaeding,16,54/55,20/25,1/1,9/11,2/2,5/6,3/5,53,114
Josh Brown,16,40/40,23/25,1/1,7/7,8/9,6/7,1/1,54,109
Lawrence Tynes,16,58/60,17/23,0/0,5/5,7/8,3/6,2/4,50,109
Sebastian Janikowski,16,31/32,25/28,1/1,7/7,7/8,8/10,2/2,52,106
Doug Brien,16,33/34,24/29,0/0,9/10,4/6,10/11,1/2,53,105
John Carney,16,38/38,22/27,0/0,3/3,12/15,5/6,2/3,53,104
Phil Dawson,16,28/28,24/29,0/0,11/11,6/8,6/9,1/1,50,100
Jason Hanson,16,28/28,24/28,0/0,9/9,10/11,5/8,0/0,48,100
Steve Christie,16,33/33,22/28,1/1,8/8,6/8,4/7,3/4,53,99
Morten Andersen,16,45/45,18/22,1/1,8/8,5/7,4/6,0/0,48,99
Neil Rackers,16,28/28,22/29,0/0,6/6,5/7,6/7,5/9,55,94
Jay Feely,16,40/40,18/23,1/1,7/7,7/9,3/6,0/0,47,94
Josh Scobee,16,21/21,24/31,0/0,10/10,8/11,5/7,1/3,53,93
Billy Cundiff,16,31/31,20/26,1/1,6/6,4/4,9/13,0/2,49,91
Jeff Wilkins,16,32/32,19/24,0/0,7/7,5/6,3/6,4/5,53,89
Gary Anderson,15,37/37,17/22,0/0,4/5,4/4,9/12,0/1,45,88
Kris Brown,16,34/34,17/24,0/0,7/7,3/5,6/9,1/3,50,85
John Kasay,14,27/28,19/22,0/0,11/11,4/4,1/2,3/5,54,84
Todd Peterson,16,23/23,18/22,1/1,3/3,7/8,5/6,2/4,51,77
Paul Edinger,16,22/22,15/24,0/0,6/7,2/5,4/7,3/5,53,67
Martin Gramatica,11,21/22,11/19,0/0,6/7,3/6,1/5,1/1,53,54
Olindo Mare,11,18/18,12/16,0/0,1/2,6/7,3/4,2/3,51,54
John Hall,8,13/13,8/11,1/1,3/3,3/3,1/3,0/1,46,37
Jeff Chandler,5,14/14,5/8,0/0,4/4,0/2,1/1,0/1,49,29
Ola Kimrin,5,6/6,6/10,0/0,3/3,2/3,1/3,0/1,41,24
Jay Taylor,5,11/11,4/5,0/0,0/0,2/3,1/1,1/1,50,23
Matt Bryant,4,12/12,3/4,0/0,1/1,0/0,2/3,0/0,47,21
Bill Gramatica,1,0/1,3/3,0/0,2/2,1/1,0/0,0/0,30,9
Todd Sauerbrun,16,4/4,1/1,0/0,0/0,1/1,0/0,0/0,34,7
Aaron Elling,1,2/2,1/2,0/0,1/1,0/1,0/0,0/0,22,5
Wes Welker,14,1/1,1/1,0/0,1/1,0/0,0/0,0/0,29,4
Craig Hentrich,16,0/0,1/3,0/0,0/0,0/0,0/0,1/3,50,3
