Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Chester Marcol,14,29/29,33/48,3/4,7/8,13/17,8/16,2/3,51,128
Bobby Howfield,14,40/41,27/37,7/8,7/7,11/15,2/7,0/0,42,121
Roy Gerela,14,35/36,28/41,9/9,8/10,8/12,3/9,0/1,49,119
Garo Yepremian,14,43/45,24/37,7/7,3/3,7/8,4/11,3/8,54,115
Horst Muhlmann,14,30/31,27/40,6/7,6/10,9/12,5/8,1/3,51,111
David Ray,14,31/31,24/41,6/7,5/7,9/11,4/13,0/3,45,103
Toni Fritsch,14,36/36,21/36,6/6,5/5,3/6,5/13,2/6,54,99
Errol Mann,14,38/39,20/29,3/3,5/5,8/11,3/9,1/1,51,98
Fred Cox,14,34/34,21/33,4/4,6/9,7/10,4/9,0/1,45,97
Jim Turner,14,37/37,20/29,6/6,2/3,6/8,6/11,0/1,49,97
Pete Gogolak,14,34/38,21/31,8/8,8/10,0/3,5/8,0/2,49,97
Jan Stenerud,14,32/32,21/36,3/3,3/4,9/13,5/9,1/7,50,95
Bruce Gossett,14,41/42,18/29,4/4,4/5,4/5,5/12,1/3,50,95
George Blanda,14,44/44,17/26,1/1,5/6,5/7,6/12,0/0,48,95
Don Cockroft,14,28/29,22/27,5/5,7/8,7/8,2/5,1/1,57,94
Curt Knight,14,40/41,14/30,4/4,0/3,6/11,4/8,0/4,46,82
Bill Bell,14,31/31,16/30,3/5,5/6,7/10,1/9,0/0,41,79
John Leypoldt,14,29/30,16/24,2/2,4/5,6/7,4/9,0/1,48,77
Dennis Partee,14,26/28,15/25,5/5,3/3,2/6,4/8,1/3,51,71
Tom Dempsey,14,11/12,20/35,6/6,3/6,7/10,2/9,2/4,52,71
Jim O'Brien,14,24/24,13/31,2/3,6/8,3/8,2/12,0/0,42,63
Mac Percival,14,26/26,12/24,6/6,3/4,2/4,1/9,0/1,45,62
Jim Bakken,14,19/21,14/22,4/5,2/5,2/3,6/9,0/0,49,61
Skip Butler,13,15/16,12/19,3/3,3/5,3/4,3/6,0/1,49,51
Happy Feller,6,10/11,6/11,1/1,1/2,3/4,1/4,0/0,46,28
Charlie Gogolak,6,9/9,6/8,1/1,2/3,2/2,1/1,0/1,42,27
Mike Walker,8,15/15,2/8,0/0,0/0,2/4,0/3,0/1,36,21
Charlie Durkee,6,9/9,3/9,1/1,0/1,2/3,0/4,0/0,36,18
Toni Linhart,2,5/5,2/5,1/1,1/2,0/0,0/2,0/0,20,11
Bill McClard,9,2/2,3/6,0/0,1/1,0/0,2/4,0/1,48,11
Mark Moseley,1,2/2,1/2,0/0,1/1,0/0,0/1,0/0,20,5
Boris Shlapak,8,4/4,0/8,0/0,0/0,0/0,0/5,0/3,0,4
