Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Gary Anderson,16,59/59,35/35,1/1,11/11,9/9,12/12,2/2,53,164
Steve Christie,16,41/41,33/41,1/1,10/12,12/14,9/11,1/3,52,140
Al Del Greco,16,28/28,36/39,1/1,8/8,15/15,12/15,0/0,48,136
Ryan Longwell,16,41/43,29/33,1/1,6/6,13/15,9/10,0/1,45,128
Richie Cunningham,16,40/40,29/35,1/1,9/9,8/11,10/11,1/3,54,127
Jason Elam,16,58/58,23/27,0/0,3/3,13/14,4/6,3/4,63,127
Adam Vinatieri,16,32/32,31/39,3/3,8/8,9/14,9/12,2/2,55,125
Morten Andersen,16,51/52,23/28,0/1,8/9,7/7,6/9,2/2,53,120
John Hall,16,45/46,25/35,0/0,9/9,9/13,6/10,1/3,54,120
Pete Stoyanovich,16,34/34,27/32,2/2,9/9,9/9,5/10,2/2,53,115
Jason Hanson,16,27/29,29/33,0/0,8/8,7/7,13/15,1/3,51,114
Mike Hollis,16,45/45,21/26,1/1,8/10,8/9,4/5,0/1,47,108
Mike Vanderjagt,14,23/23,27/31,1/1,8/8,4/4,8/9,6/9,53,104
Wade Richey,16,49/51,18/27,0/0,9/10,3/4,6/13,0/0,46,103
Norm Johnson,15,21/21,26/31,0/0,10/10,5/5,11/14,0/2,49,99
Olindo Mare,16,33/34,22/27,0/0,12/13,5/5,5/7,0/2,48,99
Todd Peterson,16,41/41,19/24,0/0,7/7,4/5,5/5,3/7,51,98
John Carney,16,19/19,26/30,0/0,11/12,5/5,8/10,2/3,54,97
Brad Daluiso,16,32/32,21/27,2/2,5/5,6/8,7/11,1/1,51,95
John Kasay,16,35/37,19/26,0/0,5/5,4/5,6/9,4/7,56,92
Michael Husted,16,29/30,21/28,0/1,7/7,8/12,5/7,1/1,52,92
Doug Brien,16,31/31,20/22,0/0,7/7,3/3,6/6,4/6,56,91
Jeff Jaeger,16,27/28,21/26,2/2,8/9,9/10,1/4,1/1,52,90
Matt Stover,16,24/24,21/28,0/0,6/6,5/5,10/17,0/0,48,87
Jeff Wilkins,16,25/26,20/26,0/0,4/5,8/8,5/7,3/6,57,85
Greg Davis,16,31/31,17/27,0/0,5/6,5/8,6/11,1/2,51,82
Doug Pelfrey,16,21/21,19/27,1/1,4/4,6/7,6/10,2/5,51,78
Joe Nedney,12,30/30,13/19,0/0,6/6,1/1,5/8,1/4,53,69
Cary Blanchard,13,30/31,11/17,0/0,2/2,6/8,2/5,1/2,54,63
Chris Boniol,16,15/17,14/21,3/3,3/3,4/5,3/9,1/1,50,57
Chris Jacke,4,6/6,10/14,0/0,3/3,5/6,1/3,1/2,52,36
Scott Blanton,2,4/4,2/4,0/0,0/0,1/2,1/2,0/0,46,10
David Akers,1,2/2,0/2,0/0,0/0,0/0,0/2,0/0,0,2
Matt George,1,2/2,0/1,0/0,0/0,0/1,0/0,0/0,0,2
Tom Rouen,16,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Craig Hentrich,16,0/0,0/1,0/0,0/0,0/0,0/1,0/0,0,0
