Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
John Smith,16,46/49,23/33,0/0,6/6,11/13,6/14,0/0,47,115
Mark Moseley,16,39/39,25/33,2/2,5/5,8/10,9/13,1/3,53,114
Tony Franklin,16,36/39,23/31,1/1,5/5,7/8,7/10,3/7,59,105
Matt Bahr,16,50/52,18/30,0/0,6/6,6/11,6/12,0/1,46,104
Toni Fritsch,16,41/43,21/25,0/0,7/7,5/6,7/10,2/2,51,104
Efren Herrera,16,43/46,19/23,1/1,7/8,5/6,6/7,0/1,49,100
Uwe Von Schamann,16,36/40,21/29,0/0,8/8,9/14,2/4,2/3,53,99
Rafael Septien,16,40/44,19/29,0/0,7/7,7/11,3/8,2/3,51,97
Jim Breech,16,41/45,18/27,1/2,7/7,7/10,3/7,0/1,47,95
Ray Wersching,16,32/35,20/24,2/2,6/7,7/8,5/7,0/0,47,92
Don Cockroft,16,38/43,17/29,0/0,5/6,8/12,3/8,1/3,51,89
Bob Thomas,16,34/37,16/27,1/1,4/7,9/11,2/7,0/1,44,82
Chris Bahr,16,40/42,13/23,0/0,4/6,3/7,4/8,2/2,55,79
Nick Mike-Mayer,13,17/18,20/29,0/0,8/8,8/10,4/11,0/0,42,77
Garo Yepremian,14,39/40,12/16,1/1,5/5,3/4,3/6,0/0,44,75
Frank Corral,16,36/39,13/25,1/1,5/5,2/6,5/12,0/1,49,75
Mike Wood,12,34/38,13/21,0/0,6/6,6/8,1/3,0/4,42,73
Jim Turner,16,32/34,13/21,1/1,7/9,4/8,1/3,0/0,49,71
Tim Mazzetti,16,31/37,13/25,0/0,9/11,1/6,3/7,0/1,48,70
Rick Danmeier,16,28/31,13/22,0/0,3/5,5/7,5/10,0/0,44,67
Jan Stenerud,16,28/29,12/23,0/1,4/6,3/4,5/10,0/2,46,64
Neil O'Donoghue,16,30/35,11/19,1/1,3/4,5/9,2/5,0/0,44,63
Steve Mike-Mayer,13,28/29,11/20,0/0,5/7,4/5,2/8,0/0,41,61
Benny Ricardo,16,25/26,10/18,0/0,4/4,4/4,2/8,0/2,46,55
Joe Danelo,16,28/29,9/20,0/0,3/3,2/3,4/11,0/3,49,55
Steve Little,16,24/32,10/19,0/0,5/5,1/3,3/10,1/1,51,54
Pat Leahy,6,12/15,8/13,1/1,2/2,5/8,0/2,0/0,34,36
Toni Linhart,8,14/18,6/14,0/1,3/4,3/7,0/2,0/0,39,32
Tom Birney,6,7/10,7/9,0/0,3/3,2/2,2/3,0/1,46,28
Chester Marcol,10,16/18,4/10,0/0,1/2,2/5,1/3,0/0,42,28
Dave Jacobs,4,10/11,5/9,0/0,3/4,1/2,1/3,0/0,42,25
Rolf Benirschke,4,12/13,4/4,0/0,2/2,1/1,1/1,0/0,42,24
Tom Dempsey,3,8/11,1/4,1/1,0/0,0/2,0/1,0/0,18,11
Russell Erxleben,1,4/4,2/2,0/0,0/0,2/2,0/0,0/0,38,10
Roy Gerela,3,6/7,1/7,0/0,1/2,0/2,0/3,0/0,26,9
Tony Galbreath,15,1/2,2/3,0/1,2/2,0/0,0/0,0/0,27,7
John Anderson,7,1/2,1/1,0/0,0/0,1/1,0/0,0/0,39,4
Richie Szaro,1,2/2,0/2,0/1,0/0,0/0,0/1,0/0,0,2
Cliff Olander,4,1/1,0/1,0/0,0/0,0/0,0/1,0/0,0,1
