Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Eddie Murray,16,46/46,25/35,1/1,5/5,9/14,7/11,3/4,53,121
Rafael Septien,16,40/40,27/35,1/1,11/11,8/9,7/12,0/2,47,121
Jim Breech,16,49/51,22/32,0/0,9/11,7/9,5/11,1/1,51,115
Nick Lowery,16,37/38,26/36,0/0,5/5,13/15,7/9,1/7,52,115
Mick Luckhurst,16,51/51,21/33,1/2,7/7,8/12,5/11,0/1,47,114
Pat Leahy,16,38/39,25/36,0/0,11/13,6/8,8/12,0/3,49,113
Rolf Benirschke,16,55/61,19/26,2/2,7/7,5/8,3/4,2/5,52,112
Uwe Von Schamann,16,37/38,24/31,0/0,9/9,11/12,4/10,0/0,46,109
Joe Danelo,16,31/31,24/38,1/1,7/9,7/9,6/11,3/8,55,103
Jan Stenerud,16,35/36,22/24,2/2,7/8,9/9,2/3,2/2,53,101
Tony Franklin,16,41/43,20/31,0/0,5/5,7/9,7/13,1/4,50,101
Rick Danmeier,16,34/37,21/25,1/1,5/6,11/12,4/6,0/0,45,97
Mark Moseley,16,38/42,19/30,1/1,7/8,6/8,5/12,0/1,49,95
Neil O'Donoghue,16,36/37,19/32,2/2,8/8,4/6,5/11,0/5,47,93
Fred Steinfort,16,36/37,17/30,0/0,6/9,5/11,6/8,0/2,49,87
Frank Corral,16,36/36,17/26,0/0,6/9,5/6,6/11,0/0,44,87
John Smith,16,37/39,15/24,0/0,7/7,2/6,5/7,1/4,50,82
Ray Wersching,12,30/30,17/23,2/2,7/7,4/7,4/7,0/0,48,81
Nick Mike-Mayer,16,37/37,14/24,0/0,4/6,5/7,5/10,0/1,46,79
Matt Bahr,15,34/34,15/26,3/3,5/7,5/10,2/5,0/1,47,79
Toni Fritsch,16,32/34,15/22,0/0,3/4,4/4,7/13,1/1,50,77
Bill Capece,13,30/32,15/24,0/0,5/7,3/5,5/10,2/2,51,75
David Trout,16,38/46,12/17,3/3,5/6,1/2,3/5,0/1,48,74
Chris Bahr,16,27/33,14/24,0/0,6/8,2/4,3/7,3/5,51,69
Benny Ricardo,16,24/24,13/25,0/0,5/5,3/9,5/10,0/1,46,63
Efren Herrera,12,23/25,12/17,0/0,6/7,3/3,2/5,1/2,54,59
Mike Wood,16,29/33,10/18,2/2,2/3,3/5,3/7,0/1,48,59
John Roveto,11,19/20,10/18,0/1,6/7,2/3,2/7,0/0,43,49
Wilson Alvarez,4,14/15,3/7,0/0,3/3,0/0,0/4,0/0,28,23
Dave Jacobs,5,9/10,4/12,0/0,2/3,2/6,0/1,0/2,35,21
Garo Yepremian,3,6/6,2/4,0/0,0/0,1/1,1/3,0/0,44,12
Hans Nielsen,3,8/8,0/2,0/0,0/1,0/1,0/0,0/0,0,8
Bob Thomas,2,2/3,2/3,0/0,1/2,1/1,0/0,0/0,37,8
Steve Cox,16,0/0,0/1,0/0,0/0,0/0,0/0,0/1,0,0
