Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Kevin Butler,16,51/51,31/37,2/2,13/13,13/14,3/6,0/2,46,144
Gary Anderson,16,40/40,33/42,1/1,12/13,14/15,5/9,1/4,52,139
Pat Leahy,16,43/45,26/34,2/2,11/11,6/8,4/8,3/5,55,121
Morten Andersen,16,27/29,31/35,0/0,4/5,13/14,11/12,3/4,55,120
Jim Breech,16,48/50,24/33,0/0,7/8,12/13,4/6,1/6,53,120
Fuad Reveiz,16,50/52,22/27,0/0,8/9,5/6,9/9,0/3,49,116
Tony Franklin,16,40/41,24/30,1/1,7/9,9/9,5/9,2/2,50,112
Rich Karlis,16,41/44,23/38,2/2,7/9,6/11,8/11,0/5,48,110
Eddie Murray,16,31/33,26/31,2/2,5/8,11/11,6/7,2/3,51,109
Nick Lowery,16,35/35,24/27,0/0,4/4,10/11,7/7,3/5,58,107
Bob Thomas,15,51/55,18/28,1/1,8/8,6/10,3/7,0/2,46,105
Paul McFadden,16,29/29,25/30,0/0,6/6,11/11,6/8,2/5,52,104
Mike Lansford,16,38/39,22/29,0/0,5/5,9/12,6/8,2/4,52,104
Mick Luckhurst,16,29/29,24/31,0/0,7/9,8/10,8/11,1/1,52,101
Chris Bahr,16,40/42,20/32,0/0,9/9,7/10,3/12,1/1,51,100
Rafael Septien,16,42/43,19/28,1/1,5/5,8/11,4/9,1/2,53,99
Mark Moseley,16,31/33,22/34,0/0,7/8,8/13,7/12,0/1,48,97
Donald Igwebuike,16,30/32,22/32,1/1,5/5,8/10,5/10,3/6,53,96
Al Del Greco,16,38/40,19/26,0/0,10/12,4/4,5/9,0/1,46,95
Tony Zendejas,14,29/31,21/27,0/0,6/7,8/11,4/6,3/3,52,92
Ray Wersching,16,52/53,13/21,0/0,5/7,5/8,3/5,0/1,45,91
Jan Stenerud,16,41/43,15/26,1/2,10/11,3/7,1/5,0/1,49,86
Raul Allegre,16,36/39,16/26,0/0,9/11,5/6,2/6,0/3,41,84
Norm Johnson,16,40/41,14/25,0/0,5/5,7/9,1/8,1/3,51,82
Matt Bahr,16,35/35,14/18,1/1,2/2,8/9,3/5,0/1,45,77
Scott Norwood,16,23/23,13/17,0/0,7/8,2/4,4/5,0/0,49,62
Eric Schubert,8,26/27,10/13,0/0,3/5,4/5,3/3,0/0,41,56
Neil O'Donoghue,8,19/19,10/18,1/1,3/5,4/6,2/4,0/2,49,49
Jess Atkinson,8,17/18,10/18,1/1,2/3,3/4,4/9,0/1,49,47
Novo Bojovic,6,11/12,3/7,0/0,0/0,1/2,2/3,0/2,42,20
Ali Haji-Sheikh,2,5/5,2/5,0/0,1/1,0/0,0/3,1/1,52,11
Rolf Benirschke,1,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0,2
Steve Cox,12,0/0,0/1,0/0,0/0,0/0,0/1,0/0,0,0
