Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Jeff Wilkins,16,58/58,23/29,0/0,11/11,5/5,6/12,1/1,54,127
Mike Vanderjagt,16,41/42,28/34,0/0,7/8,6/6,12/16,3/4,52,125
Jason Elam,16,31/31,31/36,0/0,11/11,8/8,10/13,2/4,50,124
Kris Brown,16,34/37,30/44,0/0,7/7,15/20,6/15,2/2,55,124
David Akers,16,37/38,26/31,1/1,9/9,7/8,7/10,2/3,50,115
Matt Stover,16,25/25,30/35,0/0,16/16,9/10,5/9,0/0,49,115
Jay Feely,16,28/28,29/37,1/1,8/8,14/15,4/9,2/4,55,115
Adam Vinatieri,16,41/42,24/30,1/1,8/8,7/8,7/12,1/1,54,113
John Carney,15,32/32,27/31,0/0,7/7,11/11,8/12,1/1,50,113
Paul Edinger,16,34/34,26/31,0/0,6/7,7/8,13/16,0/0,48,112
Sebastian Janikowski,15,42/42,23/28,0/0,7/7,9/10,6/9,1/2,52,111
Todd Peterson,16,27/28,27/35,0/0,9/11,9/10,8/12,1/2,51,108
John Hall,16,32/32,24/31,1/1,8/8,5/7,7/9,3/6,53,104
Ryan Longwell,16,44/45,20/31,0/0,3/4,9/10,7/14,1/3,54,104
Jose Cortez,16,47/47,18/25,1/2,6/7,6/7,4/8,1/1,52,101
Brett Conway,16,22/22,26/33,0/0,8/8,8/11,8/12,2/2,55,100
Morten Andersen,16,29/30,23/28,0/0,8/8,7/8,6/7,2/5,51,98
Martin Gramatica,14,28/28,23/29,0/0,9/10,9/9,5/7,0/3,49,97
Olindo Mare,16,39/40,19/21,1/1,8/8,8/8,2/4,0/0,46,96
Phil Dawson,16,29/30,22/25,0/0,10/10,8/9,4/6,0/0,48,95
Joe Nedney,16,34/35,20/28,0/0,6/6,5/5,8/15,1/2,51,94
Rian Lindell,16,33/33,20/32,0/0,7/8,4/5,6/14,3/5,54,93
John Kasay,16,22/23,23/28,0/0,10/10,4/4,7/9,2/5,52,91
Wade Richey,16,26/26,21/32,0/0,13/15,4/7,3/7,1/3,51,89
Jason Hanson,16,23/23,21/30,1/1,2/2,8/8,6/12,4/7,54,86
Mike Hollis,16,29/31,18/28,0/0,4/5,8/11,6/11,0/1,48,83
Neil Rackers,16,23/24,17/28,0/0,4/6,8/11,4/9,1/2,52,74
Gary Anderson,16,29/30,15/18,0/0,7/7,2/4,6/7,0/0,44,74
Bill Gramatica,13,25/25,16/20,1/1,7/7,3/4,4/7,1/1,50,73
Jake Arians,9,16/17,12/21,0/0,6/6,2/4,4/11,0/0,49,52
Jon Hilbert,8,12/12,11/16,0/0,3/3,6/6,2/7,0/0,43,45
Tim Seder,8,12/12,11/17,0/0,5/5,3/5,3/6,0/1,46,45
Steve Christie,5,6/6,9/11,0/0,4/4,3/5,2/2,0/0,41,33
Shayne Graham,6,7/7,6/8,0/0,4/4,0/0,2/4,0/0,41,25
Cedric Oglesby,3,7/7,5/6,1/1,2/2,1/2,1/1,0/0,41,22
Doug Brien,2,2/2,5/6,0/0,2/2,1/1,2/3,0/0,42,17
Brad Daluiso,1,1/2,3/4,0/0,1/2,1/1,1/1,0/0,44,10
Jaret Holmes,4,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0,1
Owen Pochman,10,0/0,0/2,0/0,0/0,0/0,0/0,0/2,0,0
