Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Nate Kaeding,16,50/51,32/35,2/2,17/17,4/4,6/8,3/4,55,146
David Akers,16,43/45,32/37,1/1,11/11,8/9,11/13,1/3,52,139
Ryan Longwell,16,54/55,26/28,1/1,10/10,5/6,8/9,2/2,52,132
Mason Crosby,16,48/49,27/36,1/1,13/13,7/9,4/7,2/6,52,129
Lawrence Tynes,16,45/45,27/32,0/0,10/12,11/13,5/6,1/1,52,126
Stephen Gostkowski,16,47/47,26/31,0/0,7/7,12/13,5/8,2/3,53,125
Jeff Reed,16,41/41,27/31,1/1,7/7,15/16,4/5,0/2,46,122
Jay Feely,16,32/32,30/36,0/0,6/6,12/15,11/14,1/1,55,122
Matt Prater,16,32/32,30/35,0/0,14/14,6/8,8/10,2/3,51,122
Rob Bironas,16,37/37,27/32,0/0,8/8,4/6,10/12,5/6,53,118
Dan Carpenter,16,37/38,25/28,0/0,9/9,7/8,8/9,1/2,52,112
Rian Lindell,16,24/24,28/33,0/0,12/12,9/9,6/9,1/3,56,108
Kris Brown,16,43/44,21/32,0/0,11/13,6/9,2/6,2/4,56,106
Robbie Gould,16,33/33,24/28,0/0,9/9,6/6,7/10,2/3,52,105
Ryan Succop,16,29/29,25/29,0/0,10/10,7/7,6/7,2/5,53,104
Olindo Mare,16,28/28,24/26,0/0,9/9,10/11,5/6,0/0,47,100
Shayne Graham,16,28/29,23/28,0/0,10/11,8/10,3/3,2/4,53,97
John Kasay,16,31/32,22/27,0/0,7/7,9/10,5/6,1/4,50,97
Sebastian Janikowski,16,17/17,26/29,0/0,3/3,8/8,9/10,6/8,61,95
Nick Folk,14,36/36,18/28,1/1,5/6,6/7,5/12,1/2,51,90
John Carney,11,50/52,13/17,0/0,6/6,5/8,2/3,0/0,46,89
Jason Hanson,16,25/25,21/28,0/0,5/5,8/9,7/10,1/4,50,88
Shaun Suisham,14,25/26,20/24,0/0,9/10,5/7,6/6,0/1,48,85
Neil Rackers,14,37/38,16/17,0/0,4/4,6/6,6/7,0/0,48,85
Joe Nedney,14,33/33,17/21,0/0,4/4,7/8,4/6,2/3,51,84
Josh Scobee,16,30/31,18/28,0/0,7/8,4/4,3/7,4/9,52,84
Billy Cundiff,12,23/23,18/23,1/1,9/9,5/8,3/3,0/2,46,77
Josh Brown,16,16/16,19/24,0/0,5/5,4/5,4/7,6/7,55,73
Phil Dawson,11,18/19,17/19,0/0,7/7,5/5,5/6,0/1,49,69
Jason Elam,11,32/33,12/19,0/0,4/4,4/8,3/5,1/2,50,68
Matt Stover,10,33/33,9/11,0/0,2/2,5/6,2/2,0/1,43,60
Stephen Hauschka,9,27/28,9/13,0/0,1/1,5/7,3/5,0/0,44,54
Connor Barth,9,12/12,14/19,0/0,2/2,4/6,5/7,3/4,54,54
Adam Vinatieri,6,17/18,7/9,1/1,3/3,1/2,2/2,0/1,48,38
Garrett Hartley,5,10/11,9/11,1/1,3/3,5/6,0/0,0/1,38,37
Matt Bryant,5,10/10,7/10,0/0,2/2,4/4,0/2,1/2,51,31
Mike Nugent,6,14/14,4/8,1/1,1/1,1/2,1/4,0/0,48,26
Graham Gano,4,6/7,4/4,0/0,2/2,0/0,2/2,0/0,46,18
Shane Andrus,4,10/10,0/1,0/0,0/0,0/0,0/1,0/0,0,10
Ricky Schmitt,1,2/2,2/3,0/0,0/1,2/2,0/0,0/0,39,8
