Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Mason Crosby,16,48/48,31/39,1/1,8/8,10/11,9/14,3/5,53,141
Stephen Gostkowski,16,74/74,21/24,0/0,10/10,8/9,3/5,0/0,45,137
Rob Bironas,16,28/28,35/39,0/0,10/12,12/12,9/10,4/5,56,133
Nick Folk,16,53/53,26/31,0/0,10/12,7/7,7/7,2/5,53,131
Shayne Graham,16,37/37,31/34,1/1,11/12,13/13,6/7,0/1,48,130
Josh Brown,16,43/43,28/34,0/0,12/12,5/5,8/12,3/5,54,127
Robbie Gould,16,33/33,31/36,0/0,7/7,12/13,12/14,0/2,49,126
Jason Hanson,16,35/36,29/35,1/1,4/5,10/12,11/13,3/4,53,122
Phil Dawson,16,42/43,26/30,2/2,9/10,7/8,7/8,1/2,51,120
Matt Bryant,16,34/34,28/33,0/0,11/12,11/11,6/7,0/3,49,118
Adam Vinatieri,16,49/51,23/29,1/1,14/15,8/10,0/2,0/1,39,118
Nate Kaeding,16,46/46,24/27,0/0,11/11,5/6,7/8,1/2,51,118
Shaun Suisham,16,29/30,29/35,0/0,10/10,8/10,10/13,1/2,50,116
Kris Brown,16,40/40,25/29,1/1,6/7,6/6,7/10,5/5,57,115
Jason Elam,16,33/33,27/31,0/0,11/11,6/6,9/12,1/2,50,114
Jeff Reed,16,44/44,23/25,0/0,9/9,10/10,4/5,0/1,49,113
Mike Nugent,16,23/24,29/36,1/1,11/11,10/12,6/8,1/4,50,110
Neil Rackers,16,47/48,21/30,2/2,5/5,6/8,5/6,3/9,52,110
Lawrence Tynes,16,40/42,23/27,1/1,9/10,5/8,8/8,0/0,48,109
David Akers,16,36/36,24/32,0/0,12/12,10/10,1/6,1/4,53,108
Matt Stover,16,26/26,27/32,1/1,11/11,7/7,8/12,0/1,49,107
Morten Andersen,14,24/24,25/28,0/0,9/9,12/12,4/7,0/0,47,99
Ryan Longwell,16,39/40,20/24,0/0,3/3,6/6,10/11,1/4,55,99
John Kasay,16,27/27,24/28,2/2,6/6,8/9,6/9,2/2,53,99
Sebastian Janikowski,16,28/28,23/32,0/0,4/4,6/7,7/10,6/11,54,97
Jeff Wilkins,16,25/25,24/32,0/0,7/8,6/7,8/13,3/4,53,97
Rian Lindell,16,24/24,24/27,0/0,11/11,7/7,4/6,2/3,52,96
Jay Feely,16,26/26,21/23,0/0,7/7,6/6,7/9,1/1,53,89
Joe Nedney,16,22/22,17/19,1/1,5/5,6/6,4/4,1/3,50,73
Olindo Mare,13,34/34,10/17,0/0,4/5,3/4,2/3,1/5,52,64
John Carney,13,27/28,12/14,2/2,3/3,5/5,2/4,0/0,41,63
Josh Scobee,8,26/27,12/13,0/0,6/6,3/3,3/4,0/0,48,62
Dave Rayner,10,14/14,15/22,0/0,3/3,7/10,5/8,0/1,49,59
Martin Gramatica,3,8/8,5/5,0/0,0/0,2/2,2/2,1/1,55,23
Matt Prater,2,1/1,1/4,0/0,0/1,0/0,1/3,0/0,45,4
Justin Medlock,1,0/0,1/2,0/0,1/1,0/1,0/0,0/0,27,3
Kyle Larson,16,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Michael Koenen,16,0/0,0/2,0/0,0/0,0/0,0/0,0/2,0,0
