Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Chip Lohmiller,16,56/56,31/43,0/0,9/9,10/12,10/17,2/5,53,149
Pete Stoyanovich,14,28/29,31/37,2/2,8/8,11/12,7/10,3/5,53,121
Ken Willis,16,37/37,27/39,2/2,6/6,9/11,6/13,4/7,54,118
Jeff Jaeger,16,29/30,29/34,3/3,7/7,10/13,7/7,2/4,53,116
Morten Andersen,16,38/38,25/32,0/0,6/6,11/13,6/9,2/4,60,113
David Treadwell,16,31/32,27/36,5/5,10/10,9/12,3/9,0/0,47,112
Roger Ruzek,16,27/29,28/33,2/2,8/8,9/10,8/10,1/3,51,111
Scott Norwood,16,56/58,18/29,1/1,7/8,3/7,5/9,2/4,52,110
Nick Lowery,16,35/35,25/30,2/2,11/11,8/8,4/7,0/2,48,110
Pat Leahy,15,30/30,26/37,3/3,13/16,9/11,1/5,0/2,40,108
John Kasay,16,27/28,25/31,1/1,5/6,11/14,6/7,2/3,54,102
Gary Anderson,16,31/31,23/33,0/0,8/10,9/11,5/6,1/6,54,100
Eddie Murray,16,40/40,19/28,1/1,3/4,8/10,5/9,2/4,50,97
Jim Breech,16,27/27,23/29,0/0,9/10,8/10,5/6,1/3,50,96
Norm Johnson,14,38/39,19/23,0/0,9/9,4/4,5/8,1/2,50,95
Mike Cofer,16,49/50,14/28,0/0,5/5,3/10,4/10,2/3,50,91
Matt Bahr,13,24/25,22/29,0/0,6/6,6/8,9/12,1/3,54,90
Kevin Butler,16,32/34,19/29,1/1,9/11,3/5,5/9,1/3,50,89
John Carney,16,31/31,19/29,1/1,6/6,6/8,4/10,2/4,54,88
Fuad Reveiz,16,34/35,17/24,0/0,9/9,3/3,3/7,2/5,50,85
Chris Jacke,16,31/31,18/24,0/0,9/9,4/5,4/9,1/1,53,85
Greg Davis,16,19/19,21/30,0/0,6/6,7/7,5/10,3/7,52,82
Matt Stover,16,33/34,16/22,1/2,2/3,8/9,3/6,2/2,55,81
Tony Zendejas,16,25/26,17/17,0/0,4/4,8/8,3/3,2/2,50,76
Steve Christie,16,22/22,15/20,1/1,4/4,7/11,3/4,0/0,49,67
Ian Howfield,9,25/29,13/18,1/1,7/7,4/6,1/2,0/2,46,64
Dean Biasucci,16,14/14,15/26,1/1,5/5,3/4,5/13,1/3,54,59
Jason Staurovsky,9,10/11,13/19,1/1,2/3,9/12,1/3,0/0,42,49
Al Del Greco,7,16/16,10/13,1/1,4/5,2/3,2/3,1/1,52,46
Charlie Baumann,9,15/16,9/12,0/0,3/3,1/3,5/5,0/1,48,42
Raul Allegre,4,7/7,5/6,0/0,2/2,2/2,1/2,0/0,44,22
Brad Daluiso,2,2/2,2/3,0/0,2/3,0/0,0/0,0/0,23,8
Lee Johnson,16,0/0,1/3,0/0,0/0,0/0,0/0,1/3,53,3
Louie Aguiar,16,0/0,1/2,0/0,1/2,0/0,0/0,0/0,23,3
