Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
John Smith,16,51/51,26/34,2/2,11/11,10/14,3/7,0/0,44,129
Rolf Benirschke,16,46/48,24/36,0/0,7/8,8/12,6/10,3/6,53,118
Eddie Murray,16,35/36,27/42,0/1,9/9,10/13,7/15,1/4,52,116
Fred Steinfort,16,32/33,26/34,2/2,5/5,4/5,10/14,5/8,57,110
Tim Mazzetti,16,46/49,19/27,2/2,8/8,4/7,4/8,1/2,50,103
Frank Corral,16,51/52,16/30,1/1,11/12,2/5,2/9,0/3,47,99
Chris Bahr,16,41/44,19/37,0/0,4/6,9/12,6/13,0/6,48,98
Nick Lowery,16,37/37,20/26,0/0,6/6,7/9,3/4,4/7,57,97
Matt Bahr,16,39/42,19/28,2/2,8/9,7/10,2/6,0/1,48,96
Tony Franklin,16,48/48,16/31,4/4,2/5,7/11,2/8,1/3,51,96
Efren Herrera,16,33/33,20/31,1/1,6/6,8/9,4/10,1/5,50,93
Rafael Septien,16,59/60,11/17,1/1,3/4,6/6,0/3,1/3,52,92
Don Cockroft,16,39/44,16/26,0/0,6/7,5/7,5/9,0/3,45,87
Toni Fritsch,15,26/27,19/24,1/1,7/9,7/8,4/6,0/0,46,83
Rick Danmeier,16,33/38,16/26,1/1,6/6,8/10,1/9,0/0,47,81
Mark Moseley,16,27/30,18/33,0/0,3/4,5/6,7/12,3/11,52,81
Steve Mike-Mayer,16,43/46,12/23,0/0,5/6,3/8,4/7,0/2,46,79
Garo Yepremian,16,31/32,16/23,1/1,7/8,7/9,1/5,0/0,43,79
Ray Wersching,16,33/39,15/19,1/1,2/2,8/9,4/5,0/2,47,78
Pat Leahy,16,36/36,14/22,0/0,4/4,4/9,6/8,0/1,49,78
Nick Mike-Mayer,16,37/39,13/23,0/0,4/4,4/9,5/9,0/1,49,76
Joe Danelo,16,27/28,16/24,0/0,5/6,4/6,5/6,2/6,51,75
Uwe Von Schamann,16,32/32,14/23,0/0,9/10,3/5,2/5,0/3,48,74
Bob Thomas,16,35/37,13/18,1/1,5/5,4/8,3/4,0/0,44,74
Benny Ricardo,14,31/34,10/17,0/0,1/2,6/6,3/8,0/1,47,61
Neil O'Donoghue,10,18/18,11/15,0/0,3/3,3/4,5/8,0/0,43,51
Ian Sunter,10,15/15,11/20,0/0,7/7,3/7,1/5,0/1,42,48
Tom Birney,7,14/18,6/12,0/0,1/2,4/6,0/2,1/2,50,32
Steve Little,6,17/19,3/8,0/0,1/2,2/4,0/2,0/0,36,26
Jim Breech,4,11/12,4/7,0/0,2/2,1/2,1/3,0/0,42,23
Chester Marcol,6,8/10,3/4,0/0,1/1,0/1,2/2,0/0,46,17
Jan Stenerud,4,3/3,3/5,0/0,1/1,1/1,1/3,0/0,40,12
Russell Erxleben,16,2/2,2/5,0/0,1/1,1/4,0/0,0/0,37,8
Ted Thompson,15,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0,4
Sandro Vitiello,2,1/1,0/2,0/0,0/0,0/2,0/0,0/0,0,1
