Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Paul Hornung,41/41,15/28,--,--,--,--,--,47,86
Bobby Walston,39/40,14/20,--,--,--,--,--,0,81
Sam Baker,44/46,12/20,--,--,--,--,--,0,80
Tommy Davis,21/21,19/32,--,--,--,--,--,0,78
Pat Summerall,32/32,13/26,--,--,--,--,--,0,71
Jim Martin,26/28,13/24,--,--,--,--,--,0,65
Bob Khayat,19/19,15/23,--,--,--,--,--,0,64
Danny Villanueva,28/28,12/19,--,--,--,--,--,0,64
Steve Myhra,35/37,9/19,--,--,--,--,--,0,62
John Aveni,23/25,7/16,--,--,--,--,--,0,44
Gerry Perry,5/5,13/20,--,--,--,--,--,0,44
Fred Cone,21/23,6/13,--,--,--,--,--,45,39
Bobby Layne,21/22,5/6,--,--,--,--,--,0,36
Bobby Joe Conrad,28/29,2/5,--,--,--,--,--,0,34
Bert Rechichar,6/6,3/7,--,--,--,--,--,0,15
Tom Tracy,0/0,3/6,--,--,--,--,--,0,9
Lou Michaels,1/1,2/3,--,--,--,--,--,0,7
Les Richter,2/2,0/0,--,--,--,--,--,0,2
John Wittenborn,0/0,0/3,--,--,--,--,--,0,0
