Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Bob Waterfield,54/58,7/14,--,--,--,--,--,0,75
Lou Groza,29/29,13/19,--,--,--,--,--,0,68
Doak Walker,38/41,8/18,--,--,--,--,--,0,62
Cliff Patton,32/33,8/17,--,--,--,--,--,0,56
Chet Adams,45/48,2/9,--,--,--,--,--,0,51
Bill Dudley,31/31,5/10,--,--,--,--,--,0,46
Joe Geri,22/22,8/14,--,--,--,--,--,0,46
Ray Poole,30/34,5/11,--,--,--,--,--,0,45
Johnny Lujack,34/35,3/5,--,--,--,--,--,0,43
Ted Fritsch,30/33,3/17,--,--,--,--,--,0,39
Gordie Soltau,26/28,4/8,--,--,--,--,--,0,38
Pat Harder,22/24,4/9,--,--,--,--,--,0,34
George Blanda,0/0,6/15,--,--,--,--,--,0,18
Rex Grossman,16/19,0/3,--,--,--,--,--,0,16
Vinnie Yablonski,7/7,2/3,--,--,--,--,--,0,13
Forrest Grigg,9/9,1/2,--,--,--,--,--,0,12
Vito Kissell,11/11,0/1,--,--,--,--,--,0,11
Elroy Hirsch,5/5,0/0,--,--,--,--,--,0,5
Pete Layden,3/3,0/0,--,--,--,--,--,0,3
Randy Clay,0/1,1/1,--,--,--,--,--,0,3
Bobby Layne,1/2,0/0,--,--,--,--,--,0,1
Clay Tonnemaker,1/1,0/0,--,--,--,--,--,0,1
Joe Muha,0/0,0/5,--,--,--,--,--,0,0
Hardy Brown,0/1,0/0,--,--,--,--,--,0,0
