Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Stephen Gostkowski,16,44/44,38/41,1/1,8/8,13/13,11/13,5/6,54,158
Matt Prater,16,75/75,25/26,2/2,4/4,5/5,8/8,6/7,64,150
Nick Novak,16,42/42,34/37,1/1,9/9,13/16,9/9,2/2,50,144
Stephen Hauschka,16,44/44,33/35,0/0,10/11,9/9,11/12,3/3,53,143
Mason Crosby,16,42/42,33/37,1/1,13/13,8/8,6/8,5/7,57,141
Justin Tucker,16,26/26,38/41,0/0,10/10,12/13,10/11,6/7,61,140
Phil Dawson,16,44/44,32/36,0/0,12/13,6/6,10/11,4/6,56,140
Adam Vinatieri,15,34/34,35/40,0/0,6/6,10/11,15/17,4/6,52,139
Dan Bailey,16,47/47,28/30,2/2,2/2,8/9,10/10,6/7,53,131
Dan Carpenter,16,32/32,33/36,0/0,13/13,6/6,10/11,4/6,55,131
Shaun Suisham,16,39/39,30/32,0/0,9/9,13/15,8/8,0/0,48,129
Jay Feely,16,37/37,30/36,0/0,9/11,7/8,11/12,3/5,52,127
Nick Folk,16,27/27,33/36,0/0,8/8,10/11,12/14,3/3,54,126
Robbie Gould,16,45/46,26/29,0/0,11/11,6/7,6/7,3/4,58,123
Blair Walsh,16,43/44,26/30,0/0,7/7,12/12,5/6,2/5,54,121
Ryan Succop,16,52/52,22/28,0/0,6/6,9/10,6/8,1/4,51,118
Rob Bironas,16,41/41,25/29,0/0,10/10,8/9,5/7,2/3,55,116
Graham Gano,16,42/42,24/27,0/0,9/9,4/5,5/7,6/6,55,114
Alex Henery,16,45/45,23/28,0/0,8/8,7/8,7/10,1/2,51,114
Greg Zuerlein,16,34/34,26/28,0/0,7/7,10/10,8/9,1/2,54,112
Caleb Sturgis,16,33/33,26/34,1/1,4/4,10/12,8/10,3/7,54,111
Matt Bryant,16,39/39,24/27,0/0,9/9,7/8,5/5,3/5,53,111
Garrett Hartley,14,41/41,22/30,2/2,5/6,5/8,9/13,1/1,55,107
Mike Nugent,16,52/53,18/22,0/0,2/2,6/7,7/9,3/4,54,106
Randy Bullock,16,26/26,26/35,1/1,7/7,5/5,12/17,1/5,51,104
Rian Lindell,16,31/31,23/29,0/0,3/3,12/14,4/6,4/6,54,100
Josh Brown,16,31/31,23/26,0/0,8/8,7/8,7/8,1/2,52,100
Sebastian Janikowski,16,37/37,21/30,0/0,6/6,4/6,8/11,3/7,53,100
David Akers,16,42/43,19/24,1/1,5/5,6/8,4/7,3/3,53,99
Billy Cundiff,16,32/32,21/26,0/0,7/7,5/6,7/9,2/4,51,95
Josh Scobee,16,22/23,23/25,0/0,3/3,12/12,4/5,4/5,55,91
Kai Forbath,13,26/26,18/22,0/0,3/4,10/10,4/6,1/2,50,80
John Potter,3,7/7,3/4,0/0,2/2,0/0,1/1,0/1,43,16
Shayne Graham,2,7/7,2/2,0/0,1/1,0/0,1/1,0/0,40,13
Spencer Lanning,16,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0,1
