Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
George Blanda,45/47,12/28,--,--,--,--,--,0,81
Bobby Layne,33/33,12/15,--,--,--,--,--,0,69
Sam Baker,16/19,17/25,--,--,--,--,--,0,67
Gordie Soltau,26/28,13/20,--,--,--,--,--,0,65
Pat Summerall,30/30,10/22,--,--,--,--,--,0,60
Les Richter,36/38,8/15,--,--,--,--,--,0,60
Lou Groza,18/18,11/20,--,--,--,--,--,0,51
Fred Cone,33/36,5/8,--,--,--,--,--,0,48
Ben Agajanian,23/23,5/13,--,--,--,--,--,0,38
Bobby Walston,17/18,6/13,--,--,--,--,--,0,35
Gary Glick,16/17,4/7,--,--,--,--,--,0,28
Tom Feamster,24/26,0/3,--,--,--,--,--,0,24
Bert Rechichar,8/10,3/13,--,--,--,--,--,0,17
Jim Martin,3/3,4/10,--,--,--,--,--,0,15
Sid Watson,10/12,1/1,--,--,--,--,--,0,13
Frank Gifford,8/9,1/2,--,--,--,--,--,0,11
Bud McFadin,0/0,1/4,--,--,--,--,--,0,3
Don Chandler,3/3,0/0,--,--,--,--,--,0,3
Gary Kerkorian,1/2,0/0,--,--,--,--,--,0,1
Art Michalik,0/0,0/1,--,--,--,--,--,0,0
Dick Bielski,0/0,0/1,--,--,--,--,--,0,0
