Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Joe Aguirre,23/24,7/13,--,--,--,--,--,0,44
Roy Zimmerman,29/33,4/8,--,--,--,--,--,0,41
Ken Strong,23/23,6/13,--,--,--,--,--,0,41
Don Hutson,31/35,2/4,--,--,--,--,--,0,37
Bob Waterfield,31/34,1/3,--,--,--,--,--,0,34
Pete Gudauskas,27/27,1/2,--,--,--,--,--,0,30
Augie Lio,15/16,4/5,--,--,--,--,--,0,27
Bill Callihan,25/27,0/0,--,--,--,--,--,0,25
Ben Agajanian,1/2,4/4,--,--,--,--,--,0,13
Joe Kuharich,12/13,0/3,--,--,--,--,--,0,12
Ted Fritsch,0/0,3/8,--,--,--,--,--,0,9
John Naioti,4/4,0/0,--,--,--,--,--,0,4
Dave Ryan,0/0,1/3,--,--,--,--,--,0,3
Robert Nelson,0/0,1/4,--,--,--,--,--,0,3
Bill Dudley,2/3,0/0,--,--,--,--,--,0,2
Steve Van Buren,2/2,0/0,--,--,--,--,--,0,2
Larry Weldon,1/1,0/0,--,--,--,--,--,0,1
Merl Condit,1/1,0/0,--,--,--,--,--,0,1
John Rogalla,1/1,0/0,--,--,--,--,--,0,1
Russ Lowther,0/1,0/0,--,--,--,--,--,0,0
Lee Artoe,0/0,0/1,--,--,--,--,--,0,0
Glen Sorenson,0/0,0/1,--,--,--,--,--,0,0
Bob Masterson,0/0,0/1,--,--,--,--,--,0,0
Conway Baker,0/1,0/1,--,--,--,--,--,0,0
Chuck DeShane,0/0,0/2,--,--,--,--,--,0,0
Sammy Baugh,0/1,0/0,--,--,--,--,--,0,0
