Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Don Hutson,36/36,3/5,--,--,--,--,--,0,45
Bob Snyder,39/42,2/7,--,--,--,--,--,0,45
Ward Cuff,26/27,3/9,--,--,--,--,--,0,35
Roy Zimmerman,26/28,1/7,--,--,--,--,--,0,29
Augie Lio,21/23,2/11,--,--,--,--,--,0,27
Bob Masterson,20/21,1/5,--,--,--,--,--,0,23
Frank Kinard,8/9,1/1,--,--,--,--,--,0,11
Lee Stokes,5/6,1/3,--,--,--,--,--,0,8
Conway Baker,5/6,1/2,--,--,--,--,--,0,8
Joe Aguirre,6/9,0/2,--,--,--,--,--,0,6
Chet Adams,0/0,1/6,--,--,--,--,--,0,3
Gordon Paschka,2/2,0/0,--,--,--,--,--,0,2
Ted Laux,2/2,0/0,--,--,--,--,--,0,2
Jack Jenkins,1/1,0/0,--,--,--,--,--,0,1
Chet Bulger,1/1,0/0,--,--,--,--,--,0,1
Joe Pasqua,1/1,0/0,--,--,--,--,--,0,1
Sam Busich,1/1,0/0,--,--,--,--,--,0,1
Tilly Manton,0/0,0/1,--,--,--,--,--,0,0
Jodie Marek,0/0,0/1,--,--,--,--,--,0,0
Ray McLean,0/1,0/0,--,--,--,--,--,0,0
Frankie Sinkwich,0/0,0/1,--,--,--,--,--,0,0
Ted Fritsch,0/0,0/2,--,--,--,--,--,0,0
Glen Sorenson,0/0,0/2,--,--,--,--,--,0,0
Len Younce,0/0,0/1,--,--,--,--,--,0,0
Merl Condit,0/0,0/3,--,--,--,--,--,0,0
