Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Matt Stover,16,30/30,35/39,2/2,9/9,12/13,10/12,2/3,51,135
Ryan Longwell,16,32/32,33/38,0/0,7/8,10/10,13/15,3/5,52,131
Joe Nedney,15,24/24,34/38,1/1,16/16,7/8,8/10,2/3,52,126
Martin Gramatica,16,42/42,28/34,0/0,8/8,8/10,7/9,5/7,55,126
David Akers,16,34/36,29/33,1/1,6/6,14/15,7/10,1/1,51,121
Mike Vanderjagt,16,46/46,25/27,1/1,6/6,13/13,5/6,0/1,48,121
Al Del Greco,16,37/38,27/33,0/0,13/15,7/8,6/9,1/1,50,118
Olindo Mare,16,33/34,28/31,0/0,7/8,9/10,12/13,0/0,49,117
Sebastian Janikowski,14,46/46,22/32,1/1,6/6,6/7,8/14,1/4,54,112
Gary Anderson,16,45/45,22/23,1/1,5/5,9/9,7/7,0/1,49,111
Steve Christie,16,31/31,26/35,2/2,11/13,4/6,9/13,0/1,48,109
Kris Brown,16,32/33,25/30,1/1,8/8,9/10,6/9,1/2,52,107
Adam Vinatieri,16,25/25,27/33,0/0,11/13,8/9,7/8,1/3,53,106
Doug Brien,16,37/37,23/29,1/1,6/6,4/5,12/15,0/2,48,106
Mike Hollis,12,33/33,24/26,0/0,6/7,8/8,7/8,3/3,51,105
Jason Elam,13,49/49,18/24,0/0,7/7,6/7,4/9,1/1,51,103
Tim Seder,15,27/27,25/33,2/2,5/6,9/11,9/13,0/1,48,102
Jason Hanson,16,29/29,24/30,2/2,6/7,10/12,4/7,2/2,54,101
Morten Andersen,16,23/23,25/31,0/0,6/6,6/7,11/15,2/3,51,98
John Hall,15,30/30,21/32,0/0,8/9,6/8,6/12,1/3,51,93
Jeff Wilkins,11,38/38,17/17,2/2,5/5,6/6,3/3,1/1,51,89
Wade Richey,16,43/45,15/22,0/0,6/7,6/8,3/6,0/1,47,88
Brad Daluiso,14,34/34,17/23,0/0,8/8,5/8,4/7,0/0,46,85
Paul Edinger,16,21/21,21/27,1/1,5/5,7/9,6/10,2/2,54,84
John Carney,16,27/27,18/25,1/1,3/3,5/7,7/10,2/4,54,81
Todd Peterson,11,25/25,15/20,1/1,5/5,7/9,2/5,0/0,42,70
Rian Lindell,12,25/25,15/17,0/0,4/5,1/1,7/8,3/3,52,70
Cary Blanchard,16,18/19,16/23,1/1,2/2,9/11,2/5,2/4,54,66
Phil Dawson,16,17/17,14/17,3/3,4/4,5/5,2/5,0/0,45,59
Neil Rackers,16,21/21,12/21,0/0,5/5,5/9,2/7,0/0,45,57
Kris Heppner,8,17/17,10/15,1/1,4/4,3/6,2/2,0/2,45,47
Pete Stoyanovich,8,26/26,5/9,0/0,2/2,0/3,3/3,0/1,48,41
Eddie Murray,6,7/8,8/12,0/0,2/2,3/4,3/6,0/0,47,31
Brett Conway,4,8/8,6/6,2/2,3/3,0/0,1/1,0/0,40,26
Richie Cunningham,4,9/9,5/7,0/0,3/5,2/2,0/0,0/0,39,24
Jeff Hall,3,9/9,4/5,0/0,1/1,1/1,1/2,1/1,50,21
Steve Lindsey,10,5/5,5/7,2/2,0/0,1/3,2/2,0/0,49,20
Michael Husted,4,8/9,4/8,0/0,4/4,0/3,0/1,0/0,28,20
Jaret Holmes,4,3/3,2/2,0/0,1/1,1/1,0/0,0/0,34,9
Shane Lechler,16,7/7,0/1,0/0,0/0,0/1,0/0,0/0,0,7
Scott Bentley,6,0/0,1/1,0/0,0/0,0/0,0/0,1/1,50,3
Craig Hentrich,16,0/0,0/1,0/0,0/0,0/0,0/0,0/1,0,0
