Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Matt Bryant,16,56/57,34/37,0/0,12/12,7/8,9/9,6/8,59,158
Justin Tucker,16,27/27,38/39,0/0,4/4,10/11,14/14,10/10,57,141
Dustin Hopkins,16,36/39,34/42,0/0,12/12,12/14,7/9,3/7,53,138
Caleb Sturgis,16,30/31,35/41,0/0,12/12,12/12,7/11,4/6,55,135
Wil Lutz,16,49/50,28/34,1/1,7/7,9/11,8/8,3/7,57,133
Cairo Santos,16,36/39,31/35,0/0,8/9,15/17,6/7,2/2,54,129
Stephen Hauschka,16,29/35,33/37,0/0,11/13,13/13,8/10,1/1,53,128
Dan Bailey,16,46/46,27/32,0/0,9/9,8/8,7/9,3/6,56,127
Nick Novak,16,22/25,35/41,1/1,12/12,11/11,8/11,3/6,53,127
Stephen Gostkowski,16,46/49,27/32,0/0,9/9,7/9,9/10,2/4,53,127
Adam Vinatieri,16,44/44,27/31,0/0,3/3,7/7,10/12,7/9,54,125
Sebastian Janikowski,16,37/39,29/35,1/1,9/9,6/6,10/11,3/8,56,124
Matt Prater,16,31/33,31/36,0/0,10/10,4/5,10/14,7/7,58,124
Mason Crosby,16,44/47,26/30,1/1,6/6,13/15,5/6,1/2,53,122
Graham Gano,16,31/34,30/38,0/0,4/4,9/11,14/17,3/6,54,121
Josh Lambo,16,42/46,26/32,0/0,7/7,13/14,6/8,0/3,47,120
Brandon McManus,16,32/33,29/34,0/0,9/9,10/10,7/9,3/6,55,119
Jason Myers,16,29/32,27/34,0/0,7/7,3/4,10/11,7/12,56,110
Chandler Catanzaro,16,43/47,21/28,1/1,5/6,6/7,6/8,3/6,60,106
Nick Folk,16,24/26,27/31,0/0,12/13,10/11,3/3,2/4,51,105
Ryan Succop,16,39/41,22/24,1/1,4/4,6/6,8/8,3/5,53,105
Chris Boswell,15,36/36,21/25,0/0,2/2,8/9,11/12,0/2,49,99
Roberto Aguayo,16,32/34,22/31,0/0,5/5,13/15,4/10,0/1,43,98
Dan Carpenter,16,40/45,19/25,1/1,8/8,5/5,4/9,1/2,54,97
Mike Nugent,13,23/29,23/29,0/0,9/9,9/10,5/7,0/3,47,92
Andrew Franks,16,41/42,16/21,0/0,8/10,6/6,1/3,1/2,55,89
Phil Dawson,16,33/34,18/21,0/0,4/4,6/6,7/9,1/2,53,87
Connor Barth,16,31/32,18/23,0/0,7/8,7/8,3/4,1/3,54,85
Greg Zuerlein,16,23/23,19/22,0/0,5/5,9/9,3/4,2/4,54,80
Cody Parkey,14,20/21,20/25,0/0,6/6,6/6,7/12,1/1,51,80
Kai Forbath,7,11/14,15/15,0/0,5/5,5/5,4/4,1/1,51,56
Blair Walsh,9,15/19,12/16,1/1,1/1,5/6,4/6,1/2,50,51
Robbie Gould,10,20/23,10/10,0/0,3/3,3/3,4/4,0/0,47,50
Josh Brown,5,9/9,11/12,1/1,3/3,3/3,4/4,0/1,48,42
Randy Bullock,5,9/10,8/9,0/0,4/4,2/2,2/3,0/0,44,33
Patrick Murray,2,3/4,1/2,0/0,0/0,1/1,0/0,0/1,35,6
