Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Jeff Jaeger,16,27/29,35/44,0/0,12/12,13/15,6/10,4/7,53,132
Jason Hanson,16,28/28,34/43,1/1,8/8,15/15,7/12,3/7,53,130
Chris Jacke,16,35/35,31/37,1/1,12/12,6/10,6/7,6/7,54,128
Al Del Greco,16,39/40,29/34,0/0,13/13,8/9,4/5,4/7,52,126
John Carney,16,31/33,31/40,1/1,7/7,14/17,7/12,2/3,51,124
Eddie Murray,14,38/38,28/33,4/4,4/4,9/12,8/8,3/5,52,122
Jason Elam,16,41/42,26/35,0/0,11/12,7/7,4/10,4/6,54,119
Morten Andersen,16,33/33,28/35,2/2,7/7,7/7,11/14,1/5,56,117
Gary Anderson,16,32/32,28/30,1/1,8/9,14/14,5/6,0/0,46,116
Norm Johnson,15,34/34,26/27,1/1,7/7,9/10,7/7,2/2,54,112
Pete Stoyanovich,16,37/37,24/32,2/2,9/10,7/11,4/7,2/2,52,109
Mike Cofer,16,59/61,16/26,0/0,7/9,5/7,4/7,0/3,46,107
Nick Lowery,16,37/37,23/29,0/0,8/8,7/9,7/11,1/1,52,106
Steve Christie,16,36/37,23/32,0/0,4/5,12/12,6/9,1/6,59,105
Fuad Reveiz,16,27/28,26/35,4/4,12/12,6/6,3/7,1/6,51,105
David Treadwell,16,28/29,25/31,3/3,11/12,7/10,4/6,0/0,46,103
Kevin Butler,16,21/22,27/36,0/0,7/8,12/13,3/7,5/8,55,102
Greg Davis,16,37/37,21/28,1/1,11/11,1/1,4/10,4/5,55,100
John Kasay,16,29/29,23/28,1/1,5/5,10/11,4/6,3/5,55,98
Dean Biasucci,16,15/16,26/31,1/1,14/14,7/8,3/6,1/2,53,93
Doug Pelfrey,15,13/16,24/31,0/0,8/8,6/10,8/10,2/3,53,85
Matt Stover,16,36/36,16/22,0/0,4/4,5/6,6/8,1/4,53,84
Cary Blanchard,16,31/31,17/26,1/1,7/8,4/5,5/10,0/2,45,82
Michael Husted,16,27/27,16/22,0/0,5/5,5/6,3/6,3/5,57,75
Chip Lohmiller,16,24/26,16/28,2/2,4/4,8/12,1/4,1/6,51,72
Tony Zendejas,16,23/25,16/23,0/0,6/7,4/5,0/3,6/8,54,71
Matt Bahr,14,28/29,13/18,1/1,5/7,5/5,2/5,0/0,48,67
Scott Sisson,13,15/15,14/26,1/1,8/13,3/4,2/6,0/2,40,57
Roger Ruzek,5,13/16,8/10,0/0,4/4,3/5,1/1,0/0,46,37
Lin Elliott,2,2/3,2/4,0/0,1/1,0/1,1/2,0/0,43,8
Brad Daluiso,15,0/0,1/3,0/0,0/0,0/0,0/0,1/3,54,3
