Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Pat Harder,39/40,7/10,--,--,--,--,--,0,60
Ward Cuff,30/30,7/16,--,--,--,--,--,0,51
Dick Poillon,37/41,4/6,--,--,--,--,--,0,49
Bob Waterfield,27/30,7/16,--,--,--,--,--,0,48
Joe Glamp,30/31,6/14,--,--,--,--,--,0,48
Roy Zimmerman,30/31,5/11,--,--,--,--,--,0,45
Cliff Patton,36/40,3/14,--,--,--,--,--,0,45
Ray McLean,44/52,0/1,--,--,--,--,--,0,44
Ken Strong,24/25,2/5,--,--,--,--,--,0,30
Frank Maznicki,19/21,2/2,--,--,--,--,--,0,25
Ted Fritsch,2/2,6/13,--,--,--,--,--,0,20
Fred Gehrke,4/4,1/1,--,--,--,--,--,0,7
Nick Scollard,2/2,1/4,--,--,--,--,--,0,5
Len Younce,1/1,1/1,--,--,--,--,--,0,4
Joe Muha,0/0,1/5,--,--,--,--,--,0,3
Jim Kekeris,2/3,0/1,--,--,--,--,--,0,2
Roy McKay,1/1,0/0,--,--,--,--,--,0,1
Sid Luckman,1/1,0/0,--,--,--,--,--,0,1
Jim Peebles,0/0,0/1,--,--,--,--,--,0,0
Pop Ivy,0/0,0/1,--,--,--,--,--,0,0
Jack Sommers,0/0,0/1,--,--,--,--,--,0,0
