Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Mark Moseley,16,62/63,33/47,1/1,10/10,14/19,7/14,1/3,51,161
Ali Haji-Sheikh,16,22/23,35/42,1/1,13/13,11/12,8/11,2/5,56,127
Ray Wersching,16,51/51,25/30,0/0,11/11,10/10,3/5,1/4,52,126
Rafael Septien,16,57/59,22/27,0/0,5/5,8/8,9/12,0/2,47,123
Gary Anderson,16,38/39,27/31,2/2,8/9,9/10,8/10,0/0,49,119
Nick Lowery,16,44/45,24/30,1/1,5/5,6/6,10/14,2/4,58,116
Jan Stenerud,16,52/52,21/26,2/2,6/6,7/9,6/9,0/0,48,115
Chris Bahr,16,51/53,21/27,0/0,9/11,8/9,4/6,0/1,47,114
Eddie Murray,16,38/38,25/32,0/0,6/6,13/15,3/7,3/4,54,113
Raul Allegre,16,22/24,30/35,0/0,5/6,11/12,10/12,4/5,55,112
Benny Ricardo,16,33/34,25/33,0/0,9/10,12/14,4/9,0/0,44,108
Norm Johnson,16,49/50,18/25,1/1,4/4,4/7,8/10,1/3,54,103
Matt Bahr,16,38/40,21/24,1/1,9/9,5/6,6/7,0/1,47,101
Uwe Von Schamann,16,45/48,18/27,2/2,6/6,5/8,3/6,2/5,52,99
Rich Karlis,16,33/34,21/25,0/0,7/8,7/9,6/7,1/1,50,96
Mick Luckhurst,16,43/45,17/22,0/0,4/5,4/5,9/11,0/1,49,94
Morten Andersen,16,37/38,18/24,2/2,8/8,3/4,2/6,3/4,52,91
Neil O'Donoghue,16,45/47,15/28,0/1,4/6,3/8,6/10,2/3,52,90
Rolf Benirschke,16,43/45,15/24,0/0,7/7,5/7,2/7,1/3,51,88
Jim Breech,16,39/41,16/23,2/2,7/7,5/7,2/5,0/2,47,87
Pat Leahy,16,36/37,16/24,4/4,3/4,5/7,4/8,0/1,49,84
Florian Kempf,16,33/34,17/21,1/1,4/4,7/8,4/6,1/2,51,84
Bob Thomas,16,35/38,14/25,1/1,9/9,0/4,3/6,1/5,50,77
Tony Franklin,16,24/27,15/26,1/1,5/5,6/9,2/8,1/3,52,69
Joe Danelo,14,33/35,10/20,0/0,2/4,5/6,3/6,0/4,48,63
Bill Capece,15,23/26,10/23,0/0,7/8,0/4,3/8,0/3,49,53
Chuck Nelson,12,33/37,5/11,0/0,1/3,3/4,1/4,0/0,41,48
Fred Steinfort,11,17/18,7/21,0/0,4/5,3/6,0/10,0/0,35,38
Mike Lansford,4,9/9,6/9,0/0,3/3,1/1,2/4,0/1,49,27
John Smith,5,12/15,3/6,0/0,1/1,1/4,1/1,0/0,43,21
Steve Cox,7,0/0,1/1,0/0,0/0,0/0,0/0,1/1,58,3
Joaquin Zendejas,2,3/4,0/1,0/0,0/0,0/0,0/1,0/0,0,3
David Warnke,1,1/2,0/1,0/0,0/1,0/0,0/0,0/0,0,1
George Yarno,14,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0,1
