Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Frank Corral,16,31/33,29/43,2/2,13/15,8/12,6/13,0/1,48,118
Pat Leahy,16,41/42,22/30,2/2,5/5,9/12,6/9,0/2,47,107
Garo Yepremian,16,41/45,19/23,0/0,4/5,10/11,5/7,0/0,49,98
Don Cockroft,16,37/40,19/28,1/2,6/7,2/5,10/12,0/2,45,94
Rafael Septien,16,46/47,16/26,2/3,8/8,3/5,3/10,0/0,48,94
Benny Ricardo,16,32/33,20/28,3/3,7/7,6/8,4/9,0/1,48,92
Rolf Benirschke,15,37/43,18/22,2/2,9/10,4/6,3/4,0/0,44,91
Joe Danelo,16,27/29,21/29,0/0,9/12,5/8,5/6,2/3,52,90
Mark Moseley,16,30/31,19/30,0/0,4/4,5/7,8/13,2/6,52,87
Jan Stenerud,16,25/26,20/30,1/1,8/10,6/9,5/7,0/3,47,85
Roy Gerela,16,44/45,12/26,1/1,5/6,3/9,3/8,0/2,44,80
Efren Herrera,16,40/44,13/21,2/2,1/1,5/6,5/11,0/1,48,79
Bob Thomas,16,26/28,17/22,0/0,7/7,9/11,1/4,0/0,44,77
Chris Bahr,16,26/29,16/30,0/0,5/7,4/8,6/12,1/3,52,74
Toni Fritsch,16,31/32,14/18,2/2,2/3,7/9,3/4,0/0,49,73
Rick Danmeier,16,36/37,12/19,1/1,4/5,3/5,4/8,0/0,47,72
Ray Wersching,16,24/25,15/23,2/2,5/5,4/10,4/5,0/1,45,69
Errol Mann,16,33/38,12/20,0/0,5/8,5/7,2/5,0/0,45,69
Tom Dempsey,16,36/38,10/13,0/0,5/5,4/5,1/3,0/0,46,66
Jim Turner,16,31/35,11/22,1/1,3/4,3/7,4/8,0/2,45,64
Neil O'Donoghue,15,25/29,13/23,0/0,6/6,2/6,5/10,0/1,49,64
Chester Marcol,16,30/30,11/19,2/2,3/5,2/5,4/6,0/1,48,63
David Posey,11,29/31,11/22,1/1,3/4,5/11,2/6,0/0,47,62
Jim Bakken,16,27/30,11/22,0/0,4/5,4/7,3/10,0/0,45,60
Tim Mazzetti,10,18/18,13/16,0/0,7/7,6/9,0/0,0/0,39,57
Toni Linhart,16,27/31,8/17,0/0,5/5,2/6,1/6,0/0,41,51
Nick Mike-Mayer,12,21/22,8/17,0/0,5/5,3/7,0/4,0/1,39,45
Steve Mike-Mayer,9,18/18,6/13,1/1,2/3,2/3,0/2,1/4,50,36
Richie Szaro,4,9/9,4/6,0/0,2/2,2/2,0/2,0/0,37,21
Fred Steinfort,6,8/9,3/10,0/0,1/1,1/5,1/4,0/0,48,17
John Leypoldt,2,4/5,2/3,0/0,1/2,1/1,0/0,0/0,39,10
Mike Michel,10,9/12,0/0,0/0,0/0,0/0,0/0,0/0,0,9
John Smith,3,6/7,1/1,0/0,1/1,0/0,0/0,0/0,24,9
Nick Lowery,2,7/7,0/1,0/0,0/0,0/0,0/1,0/0,0,7
Dave Green,16,0/0,1/1,0/0,0/0,1/1,0/0,0/0,35,3
Tom Jurich,1,2/2,0/3,0/0,0/2,0/0,0/1,0/0,0,2
Tony Galbreath,16,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Jerrel Wilson,14,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0,0
