Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Clarke Hinkle,3/3,9/14,--,--,--,--,--,0,30
Armand Niccolai,6/6,6/14,--,--,--,--,--,0,24
Ward Cuff,9/9,5/8,--,--,--,--,--,0,24
Jack Manders,17/18,2/3,--,--,--,--,--,0,23
Ace Parker,19/22,0/0,--,--,--,--,--,0,19
Bob Masterson,15/16,1/2,--,--,--,--,--,0,18
Lou Zontini,10/10,2/5,--,--,--,--,--,0,16
Chuck Hanneman,10/10,2/4,--,--,--,--,--,0,16
Don Hutson,15/16,0/0,--,--,--,--,--,0,15
Ralph Kercheval,3/3,4/11,--,--,--,--,--,0,15
Bo Russell,11/12,1/1,--,--,--,--,--,0,14
Tiny Engebretsen,8/8,1/5,--,--,--,--,--,0,11
Chet Adams,7/9,1/5,--,--,--,--,--,0,10
Len Barnum,6/7,1/4,--,--,--,--,--,0,9
Bob Snyder,4/5,1/4,--,--,--,--,--,0,7
George Somers,1/1,2/9,--,--,--,--,--,0,7
Fran Murray,6/8,0/1,--,--,--,--,--,0,6
Phil Martinovich,0/0,2/2,--,--,--,--,--,0,6
John Cole,3/5,1/1,--,--,--,--,--,0,6
Vic Spadaccini,5/7,0/0,--,--,--,--,--,0,5
Cotton Price,4/4,0/0,--,--,--,--,--,0,4
Lee Artoe,1/2,1/1,--,--,--,--,--,0,4
Beryl Clark,3/3,0/0,--,--,--,--,--,0,3
Sandy Sanford,3/5,0/2,--,--,--,--,--,0,3
Buddy Parker,3/3,0/1,--,--,--,--,--,0,3
Dick Plasman,3/3,0/0,--,--,--,--,--,0,3
Whizzer White,2/4,0/1,--,--,--,--,--,0,2
Foster Watkins,2/2,0/0,--,--,--,--,--,0,2
Johnny Drake,2/5,0/1,--,--,--,--,--,0,2
Hugh McCullough,1/3,0/1,--,--,--,--,--,0,1
Joe Maniaci,1/2,0/0,--,--,--,--,--,0,1
Ken Heineman,1/1,0/0,--,--,--,--,--,0,1
Bernie Masterson,1/1,0/0,--,--,--,--,--,0,1
Pete Gudauskas,1/2,0/0,--,--,--,--,--,0,1
Andy Uram,1/1,0/0,--,--,--,--,--,0,1
Bob Adkins,1/2,0/1,--,--,--,--,--,0,1
Boyd Clay,0/0,0/1,--,--,--,--,--,0,0
Sam Francis,0/0,0/1,--,--,--,--,--,0,0
Hank Soar,0/0,0/1,--,--,--,--,--,0,0
Steve Maronic,0/0,0/1,--,--,--,--,--,0,0
Roy Zimmerman,0/1,0/0,--,--,--,--,--,0,0
Joe Kuharich,0/0,0/1,--,--,--,--,--,0,0
