Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Pete Stoyanovich,16,34/36,30/37,0/0,9/9,14/16,4/4,3/8,53,124
Morten Andersen,16,33/34,29/34,0/0,10/10,8/10,8/11,3/3,52,120
Chip Lohmiller,16,30/30,30/40,2/2,9/9,9/15,8/12,2/2,53,120
Lin Elliott,16,47/48,24/35,0/0,6/7,10/14,5/10,3/4,53,119
Steve Christie,16,43/44,24/30,2/2,9/9,3/6,7/8,3/5,54,115
Gary Anderson,16,29/31,28/36,0/0,12/13,12/15,4/6,0/2,49,113
John Carney,16,35/35,26/32,0/0,13/14,5/7,7/8,1/3,50,113
Mike Cofer,16,53/54,18/27,0/0,7/8,5/8,6/10,0/1,46,107
Nick Lowery,15,39/39,22/24,0/0,9/10,9/9,3/4,1/1,52,105
Al Del Greco,16,41/41,21/27,3/3,8/9,5/6,4/8,1/1,54,104
Fuad Reveiz,16,45/45,19/25,0/0,4/6,7/7,5/8,3/4,52,102
Chris Jacke,16,30/30,22/29,0/0,5/7,9/10,6/9,2/3,53,96
Jason Hanson,16,30/30,21/26,0/0,5/5,10/10,4/6,2/5,52,93
Norm Johnson,16,39/39,18/22,0/0,6/6,4/5,4/7,4/4,54,93
Matt Stover,16,29/30,21/29,1/1,11/11,6/8,2/6,1/3,51,92
Kevin Butler,16,34/34,19/26,1/1,8/8,9/10,0/4,1/3,50,91
David Treadwell,16,28/28,20/24,1/1,9/10,6/8,4/5,0/0,46,88
Roger Ruzek,16,40/44,16/25,2/2,3/3,4/6,6/13,1/1,50,88
Jim Breech,16,31/31,19/27,0/0,8/8,7/7,4/11,0/1,48,88
Tony Zendejas,16,38/38,15/20,2/2,3/4,7/9,3/5,0/0,49,83
Matt Bahr,12,29/29,16/21,2/2,1/1,10/11,3/5,0/2,47,77
Jeff Jaeger,16,28/28,15/26,0/0,3/5,4/6,5/9,3/6,54,73
Dean Biasucci,16,24/24,16/29,0/0,3/3,6/11,6/12,1/3,52,72
Greg Davis,16,28/28,13/26,0/0,6/10,3/4,4/9,0/3,49,67
Cary Blanchard,11,17/17,16/22,2/2,2/3,5/7,7/9,0/1,47,65
Ken Willis,15,27/27,10/16,0/0,4/4,1/4,5/8,0/0,45,57
John Kasay,16,14/14,14/22,0/0,4/5,8/11,2/6,0/0,43,56
Charlie Baumann,16,22/24,11/17,2/2,4/4,3/7,2/4,0/0,44,55
Eddie Murray,8,13/13,5/9,0/0,0/0,2/4,2/4,1/1,52,28
Jason Staurovsky,4,6/6,3/8,1/1,0/0,1/2,1/5,0/0,43,15
Lee Johnson,16,0/0,0/1,0/0,0/0,0/0,0/0,0/1,0,0
Rich Camarillo,15,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Brad Daluiso,16,0/0,0/1,0/0,0/0,0/0,0/0,0/1,0,0
