Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
David Akers,16,34/34,44/52,2/2,16/16,13/14,6/11,7/9,55,166
John Kasay,16,63/63,28/34,0/0,11/11,10/10,5/8,2/5,53,147
Stephen Gostkowski,16,59/59,28/33,1/1,12/13,5/6,9/11,1/2,50,143
Mason Crosby,16,68/69,24/28,1/1,4/5,14/14,3/5,2/3,58,140
Dan Bailey,16,39/39,32/37,1/1,8/9,11/11,10/12,2/4,51,135
Neil Rackers,16,39/40,32/38,0/0,14/14,10/11,4/8,4/5,54,135
Mike Nugent,16,33/34,33/38,0/0,14/14,5/8,14/16,0/0,49,132
Sebastian Janikowski,15,36/36,31/35,1/1,8/8,5/5,10/11,7/10,63,129
Matt Bryant,16,45/45,27/29,2/2,9/9,9/9,5/7,2/2,51,126
Jason Hanson,16,54/54,24/29,0/0,9/9,8/9,2/4,5/7,51,126
Nick Novak,15,41/42,27/34,0/0,11/11,4/5,8/11,4/7,53,122
Billy Cundiff,15,38/38,28/37,1/1,9/9,10/12,7/9,1/6,51,122
Rob Bironas,16,34/34,29/32,0/0,5/5,9/10,9/10,6/7,53,121
Robbie Gould,16,37/37,28/32,0/0,10/10,6/6,6/10,6/6,57,121
Graham Gano,16,25/26,31/41,0/0,14/15,5/9,8/11,4/6,59,118
Alex Henery,16,46/46,24/27,0/0,10/10,9/11,4/4,1/2,51,118
Dan Carpenter,14,26/26,29/34,0/0,10/11,6/7,11/12,2/4,58,113
Olindo Mare,16,44/45,22/28,1/1,7/7,6/9,8/9,0/2,45,110
Stephen Hauschka,16,34/34,25/30,2/2,5/6,9/10,7/8,2/4,52,109
Shaun Suisham,16,36/36,23/31,2/2,8/8,6/8,6/11,1/2,51,105
Ryan Longwell,16,38/39,22/28,0/0,7/7,7/8,6/10,2/3,53,104
Nick Folk,16,44/44,19/25,0/0,5/6,6/6,5/7,3/6,51,101
Connor Barth,16,23/23,26/28,0/0,5/5,6/6,13/14,2/3,55,101
Lawrence Tynes,16,43/43,19/24,0/0,12/12,3/4,3/5,1/3,50,100
Adam Vinatieri,16,24/24,23/27,0/0,7/7,6/7,8/10,2/3,53,93
Josh Scobee,16,24/24,23/25,1/1,5/5,5/5,7/8,5/6,55,93
Ryan Succop,16,20/20,24/30,1/1,7/7,6/7,7/12,3/3,54,92
Phil Dawson,16,20/20,24/29,0/0,7/9,3/4,7/8,7/8,54,92
Jay Feely,16,33/33,19/24,0/0,9/9,4/6,5/7,1/2,51,90
Matt Prater,16,30/30,19/25,0/0,5/6,8/8,3/7,3/4,59,87
Josh Brown,16,18/18,21/28,0/0,7/7,6/7,8/12,0/2,49,81
Rian Lindell,8,25/25,13/15,0/0,6/6,2/3,5/6,0/0,49,64
Dave Rayner,7,13/13,10/15,0/0,5/6,3/4,0/1,2/4,56,43
Shayne Graham,3,8/8,6/7,0/0,4/4,0/0,2/3,0/0,48,26
Mike Scifres,16,3/3,1/1,0/0,0/0,0/0,1/1,0/0,40,6
Brandon Coutu,1,3/3,0/1,0/0,0/0,0/0,0/1,0/0,0,3
