Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Cliff Patton,50/50,8/12,--,--,--,--,--,0,74
Pat Harder,53/53,7/17,--,--,--,--,--,0,74
Bob Waterfield,38/44,6/11,--,--,--,--,--,0,56
Dick Poillon,33/38,5/7,--,--,--,--,--,0,48
Johnny Lujack,44/46,0/3,--,--,--,--,--,0,44
Len Younce,36/37,1/7,--,--,--,--,--,0,39
Joe Glamp,26/27,4/10,--,--,--,--,--,0,38
Merv Pregulman,26/27,2/6,--,--,--,--,--,0,32
Ted Fritsch,5/6,6/16,--,--,--,--,--,0,23
Roy Zimmerman,13/15,1/4,--,--,--,--,--,0,16
Nick Scollard,8/8,2/3,--,--,--,--,--,0,14
Ed Cody,11/13,0/0,--,--,--,--,--,0,11
Fred Venturelli,4/4,1/2,--,--,--,--,--,0,7
Al Lawler,3/3,1/1,--,--,--,--,--,0,6
Frank Williams,4/5,0/1,--,--,--,--,--,0,4
Vinnie Yablonski,0/0,1/4,--,--,--,--,--,0,3
Jim Peebles,1/2,0/0,--,--,--,--,--,0,1
Fred Gehrke,1/1,0/0,--,--,--,--,--,0,1
Joe Muha,0/0,0/5,--,--,--,--,--,0,0
Bobby Layne,0/0,0/1,--,--,--,--,--,0,0
George Grimes,0/1,0/0,--,--,--,--,--,0,0
