Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Robbie Gould,16,47/47,32/36,0/0,6/6,14/16,12/14,0/0,49,143
Nate Kaeding,16,58/58,26/29,0/0,7/7,11/12,7/9,1/1,54,136
Jeff Wilkins,16,35/35,32/37,1/1,11/11,6/6,11/16,3/3,53,131
Matt Stover,16,37/37,28/30,0/0,12/13,9/9,6/7,1/1,52,121
Josh Scobee,16,41/41,26/32,0/0,5/6,7/7,14/18,0/1,48,119
Jason Hanson,16,30/30,29/33,1/1,12/12,6/6,7/8,3/6,53,117
Neil Rackers,16,32/32,28/37,0/0,11/11,9/9,7/10,1/7,50,116
Joe Nedney,16,29/29,29/35,2/2,11/12,8/10,7/9,1/2,51,116
John Carney,16,46/47,23/25,1/1,9/9,7/8,5/6,1/1,51,115
Shayne Graham,16,40/42,25/30,0/0,9/9,8/9,6/8,2/4,51,115
Jason Elam,16,34/34,27/29,0/0,10/10,10/10,6/8,1/1,51,115
Adam Vinatieri,13,38/38,25/28,1/1,3/3,12/13,9/10,0/1,48,113
Josh Brown,16,36/36,25/31,0/0,10/10,5/7,7/9,3/5,54,111
Dave Rayner,16,31/32,26/35,0/0,11/12,6/9,8/11,1/3,54,109
Jay Feely,16,38/38,23/27,0/0,7/7,10/11,6/8,0/1,47,107
Lawrence Tynes,16,35/36,24/31,1/1,10/10,4/6,7/10,2/4,53,107
Mike Nugent,16,34/35,24/27,1/1,7/7,10/12,4/4,2/3,54,106
Stephen Gostkowski,16,43/44,20/26,0/0,10/11,7/10,2/4,1/1,52,103
Rian Lindell,16,33/33,23/25,0/0,8/8,5/5,8/10,2/2,53,102
David Akers,16,48/48,18/23,0/0,9/10,3/5,6/8,0/0,47,102
Jeff Reed,16,41/41,20/27,1/1,6/7,8/11,4/7,1/1,50,101
John Kasay,16,28/28,24/27,2/2,6/6,4/4,8/8,4/7,54,100
Olindo Mare,16,22/22,26/36,0/0,10/10,6/8,9/12,1/6,52,100
Rob Bironas,16,32/32,22/28,0/0,10/11,7/7,4/8,1/2,60,98
Ryan Longwell,16,27/28,21/25,2/2,7/7,8/8,4/6,0/2,49,90
Phil Dawson,16,25/25,21/29,0/0,5/6,9/10,6/12,1/1,51,88
Morten Andersen,14,27/27,20/23,0/0,7/8,6/6,7/8,0/1,45,87
Kris Brown,16,26/27,19/25,1/1,4/4,3/5,11/13,0/2,49,83
Matt Bryant,16,22/23,17/22,0/0,8/8,3/3,5/9,1/2,62,73
Mike Vanderjagt,10,33/33,13/18,0/0,6/7,5/6,1/4,1/1,50,72
Sebastian Janikowski,16,16/16,18/25,1/1,2/3,9/11,3/3,3/7,55,70
Martin Gramatica,8,23/23,7/9,0/0,2/2,2/2,3/5,0/0,48,44
Shaun Suisham,8,14/14,9/11,0/0,1/1,6/7,1/1,1/2,52,41
John Hall,5,9/9,9/11,0/0,3/3,4/4,2/4,0/0,46,36
Nick Novak,6,10/10,5/10,0/0,1/1,1/3,3/6,0/0,47,25
Michael Koenen,16,4/4,3/9,0/0,1/1,1/4,0/1,1/3,51,13
Billy Cundiff,5,0/0,0/1,0/0,0/0,0/0,0/0,0/1,0,0
Hunter Smith,16,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0,0
