Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Don Chandler,52/56,18/29,--,--,--,--,--,0,106
Jim Martin,32/35,24/39,--,--,--,--,--,0,104
Lou Michaels,32/35,21/41,--,--,--,--,--,0,95
Jerry Kramer,43/46,16/34,--,--,--,--,--,46,91
Lou Groza,40/43,15/23,--,--,--,--,--,0,85
Jim Bakken,44/44,11/21,--,--,--,--,--,0,77
Fred Cox,39/39,12/24,--,--,--,--,--,46,75
Bob Khayat,33/35,12/26,--,--,--,--,--,0,69
Sam Baker,38/38,9/20,--,--,--,--,--,53,65
Wayne Walker,29/29,9/22,--,--,--,--,--,0,56
Tommy Davis,24/24,10/31,--,--,--,--,--,0,54
Danny Villanueva,25/26,9/17,--,--,--,--,--,0,52
Mike Clark,29/32,7/15,--,--,--,--,--,45,50
Roger LeClerc,0/0,13/23,--,--,--,--,--,0,39
Bob Jencks,35/37,1/10,--,--,--,--,--,0,38
Milt Plum,13/13,1/4,--,--,--,--,--,0,16
Tom Tracy,2/2,0/0,--,--,--,--,--,0,2
