Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Lou Groza,49/49,22/33,--,--,--,--,--,0,115
Jim Bakken,40/40,25/38,--,--,--,--,--,0,115
Lou Michaels,53/54,17/35,--,--,--,--,--,0,104
Fred Cox,40/42,21/33,--,--,--,--,--,47,103
Bruce Gossett,31/33,18/24,--,--,--,--,--,0,85
Sam Baker,36/37,16/26,--,--,--,--,--,48,84
Paul Hornung,41/43,12/38,--,--,--,--,--,52,77
Wayne Walker,32/34,14/25,--,--,--,--,--,0,74
Jim Martin,35/39,12/28,--,--,--,--,--,0,71
Dick Van Raaphorst,28/29,14/29,--,--,--,--,--,43,70
Mike Clark,28/31,13/25,--,--,--,--,--,0,67
Tommy Davis,30/30,8/25,--,--,--,--,--,0,54
Don Chandler,27/29,9/20,--,--,--,--,--,0,54
Bob Jencks,29/32,3/7,--,--,--,--,--,0,38
Roger LeClerc,0/0,10/16,--,--,--,--,--,0,30
Andy Stynchula,1/1,0/0,--,--,--,--,--,0,1
Willie Wood,1/1,0/1,--,--,--,--,--,0,1
