Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Fred Cox,14,35/35,30/46,8/8,11/14,4/4,7/16,0/4,47,125
David Ray,14,34/34,29/45,10/11,11/14,5/11,3/9,0/0,46,121
Jan Stenerud,14,26/26,30/42,6/6,8/9,9/10,6/11,1/6,55,116
Horst Muhlmann,14,33/33,25/37,4/4,5/7,9/11,3/9,4/6,53,108
Pete Gogolak,14,32/32,25/41,5/5,11/14,1/3,7/15,1/4,54,107
Bruce Gossett,14,39/41,21/31,5/6,7/7,2/5,7/10,0/3,48,102
Errol Mann,14,41/41,20/29,8/8,2/3,3/5,4/7,3/6,51,101
Jim Bakken,14,37/38,20/32,4/4,3/6,7/7,6/11,0/4,49,97
Garo Yepremian,13,31/31,22/29,4/4,2/3,5/6,11/15,0/1,47,97
Jim O'Brien,14,36/38,19/34,3/4,6/9,4/9,6/10,0/2,48,93
Curt Knight,14,33/34,20/27,6/6,5/5,5/7,4/9,0/0,49,93
Mike Clark,14,35/35,18/27,7/7,3/6,6/9,2/5,0/0,43,89
Mac Percival,14,28/28,20/34,4/4,5/6,9/12,1/9,1/3,50,88
Jim Turner,14,28/28,19/35,2/2,8/9,7/11,2/10,0/3,42,85
George Blanda,14,36/36,16/29,6/7,4/6,3/5,2/10,1/1,52,84
Bobby Howfield,14,27/28,18/32,2/3,3/6,5/7,6/10,2/6,53,81
Roy Gerela,14,23/23,18/32,5/5,4/5,6/8,3/14,0/0,48,77
Mike Mercer,14,34/35,12/19,3/3,1/3,5/5,3/8,0/0,48,70
Tom Dempsey,14,16/17,18/34,4/5,6/8,1/5,4/7,3/9,63,70
Don Cockroft,14,34/35,12/22,3/4,2/3,4/7,3/7,0/1,47,70
Mark Moseley,14,25/28,14/25,7/9,4/6,2/6,1/3,0/1,42,67
Dale Livingston,14,19/21,15/28,5/6,6/11,3/7,1/4,0/0,49,64
Grant Guthrie,14,24/25,10/19,3/3,3/4,2/3,1/4,1/5,52,54
Ken Vinyard,14,23/26,9/25,4/5,0/2,4/7,1/9,0/2,49,50
Gene Mingo,10,17/17,5/18,2/2,1/6,0/0,2/7,0/3,49,32
Gino Cappelletti,13,12/13,6/15,2/3,3/4,0/2,1/5,0/1,41,30
Allan Watson,4,7/8,5/10,2/2,2/2,0/1,1/4,0/1,45,22
Charlie Gogolak,6,5/5,2/7,1/1,0/0,1/2,0/3,0/1,32,11
Karl Kremser,1,2/2,0/1,0/0,0/1,0/0,0/0,0/0,0,2
