PLAYER NAME,YEAR,YARDS,ATTEMPTS,YARDS PER ATTEMPT,TOUCHDOWNS,20+,40+,LONG,RUSHING 1ST DOWNS,RUSHING 1ST %,FUMBLES,PASS YARDS,PASS RECEPTIONS,PASS YARDS PER RECEPTION,PASS LONG,PASS TOUCHDOWNS,HOWGOOD RAW SCORE,PERCENTILE
A B Brown,1989,0.1510791366906474,0.0588235294117647,1.9121052631578948,0.0,0.0,0.0,0.1931818181818181,0.0769230769230769,1.7759999999999998,-0.0,0.0236406619385342,0.1025641025641025,0.2083333333333333,0.0652173913043478,0.0,4.567868313505519,0.4
A B Brown,1990,0.0198019801980198,0.0049019607843137,3.128834355828221,0.0,0.0,0.0,0.0833333333333333,0.0408163265306122,4.0,-0.0,0.0,0.0,0.0,0.0,0.0,7.2776879566745,0.6907894736842105
A B Brown,1991,0.0107095046854082,0.0153061224489795,0.5014245014245013,0.1428571428571428,0.0,0.0,0.0181818181818181,0.0222222222222222,2.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.710701311820072,0.1712328767123287
A B Brown,1992,0.0841683366733466,0.1076233183856502,0.6723842195540308,0.0,0.0,0.0,0.09375,0.0196078431372549,0.2692307692307692,-1.0,0.075187969924812,0.0833333333333333,0.6482494529540481,0.2325581395348837,0.0,1.2860933827281291,0.1029411764705882
A J Dillon,2020,0.6012422360248446,0.2459893048128342,1.6291725105189343,0.2857142857142857,0.4,0.0,0.2542372881355932,0.25,0.7166416791604198,-0.0,0.047945205479452,0.0377358490566037,0.8567999999999998,0.1666666666666666,0.0,5.492145025569633,0.627906976744186
A J Dillon,2021,1.8459770114942529,0.9211822660098522,1.2268907563025209,0.7142857142857143,0.5,0.0,0.3272727272727272,1.0416666666666667,0.800599700149925,-1.5,0.6986607142857143,0.723404255319149,0.7450804062632246,0.4807692307692308,0.6666666666666666,9.192456115485642,0.8623853211009175
A J Dillon,2022,1.640042598509052,0.8857142857142857,1.3548387096774197,1.0,0.5,0.0,0.2410714285714285,0.9591836734693876,1.012,-0.0,0.5215189873417722,0.5833333333333334,0.5708128078817734,0.2023809523809523,0.0,9.470896776879403,0.8872549019607843
A J Dillon,2023,1.2744282744282744,0.8127853881278538,1.147940074906367,0.2857142857142857,0.1666666666666666,1.0,0.4081632653061224,0.64,0.9,-0.0,0.5930851063829787,0.4313725490196078,0.9517712334613744,0.3645833333333333,0.0,8.976510177346864,0.8305084745762712
A J Jones 2,1985,0.0038910505836574,0.0042918454935622,0.75,0.0,0.0,0.0,0.0169491525423728,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.7751320486195924,0.1282051282051282
A J Schable,2006,0.008833922261484,0.0038610038610038,1.8320610687022905,0.0,0.0,0.0,0.043859649122807,0.0188679245283018,5.0,-0.0,0.0,0.0,0.0,0.0,0.0,6.907483568475887,0.6535947712418301
A.D. Whitfield,1965,0.0,0.0068965517241379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068965517241379,0.081081081081081
A.D. Whitfield,1966,1.7226277372262773,0.577639751552795,2.208695652173913,0.4,0.0,0.0,0.7682926829268293,0.0,0.0,0.0,0.3196202531645569,0.5806451612903226,0.4091903719912472,0.3152173913043478,0.5,7.801929001630291,0.7764705882352941
A.D. Whitfield,1967,1.2075471698113207,0.5384615384615384,1.75103734439834,0.2,0.0,0.0,0.5238095238095238,0.0,0.0,0.0,1.75177304964539,1.2,0.9689265536723164,0.5520833333333334,1.0,9.693638513131765,0.8518518518518519
A.D. Whitfield,1968,0.4187604690117252,0.2605633802816901,1.502222222222222,0.0,0.0,0.0,0.1976744186046511,0.0,0.0,0.0,0.3933823529411764,0.5,0.6211320754716981,0.1636363636363636,0.0,4.057371282169526,0.3258426966292135
Aaron Brown,2009,0.276663146779303,0.1210762331838565,1.7280568239472351,0.0,0.0,0.0,0.1484375,0.1489361702127659,1.3813333333333333,-0.0,0.2608695652173913,0.2195121951219512,0.8939974457215838,0.2708333333333333,0.5,5.949715746850754,0.5987261146496815
Aaron Brown,2010,0.115079365079365,0.0762331838565022,1.3056194544857047,0.0,0.0,0.0,0.0818181818181818,0.0454545454545454,0.472,-0.0,0.1264044943820224,0.1818181818181818,0.5214497041420117,0.1063829787234042,0.0,3.032260089759919,0.2467532467532467
Aaron Craver,1991,0.1552878179384202,0.1020408163265306,1.0905982905982905,0.1428571428571428,0.0,0.0,0.0636363636363636,0.0888888888888888,1.2012012012012012,-0.0,0.1947674418604651,0.1904761904761904,0.8104838709677419,0.3571428571428571,0.0,4.397380881894091,0.3561643835616438
Aaron Craver,1992,0.0180360721442884,0.0134529147982062,1.1526586620926242,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.267480982368452,0.088235294117647
