PLAYER NAME,YEAR,YARDS,RECEPTIONS,YARDS PER RECEPTION,RECEPTIONS PER TARGET,TOUCHDOWNS,20+,40+,LONG,RECEIVING 1ST DOWNS,1ST DOWN %,FUMBLES,YARDS AFTER CATCH,TARGETS,HOWGOOD RAW SCORE,PERCENTILE
A B Brown,1989,0.0183318056828596,0.1142857142857142,0.1176470588235294,0.0,0.0,0.0,0.0,0.0779220779220779,0.0,0.0,-0.0,0.0,0.0,0.328186656714181,0.0904392764857881
A B Brown,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0862533692722372
A B Brown,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082687338501292
A B Brown,1992,0.0696864111498256,0.1194029850746268,0.3787878787878788,0.0,0.0,0.0416666666666666,0.0,0.2666666666666666,0.024390243902439,0.5,-0.0,0.0,0.0,1.4006008522481035,0.1930294906166219
A J Brown,2019,1.8536155202821871,1.2093023255813953,0.9474158653846152,0.6190476190476191,1.1428571428571428,0.4411764705882353,1.0,1.2133333333333334,0.7222222222222222,1.5,-1.0,1.0198675496688745,0.328125,10.996963048965622,0.9760589318600368
A J Brown,2020,2.0,1.5909090909090908,0.8082706766917294,0.660377358490566,1.375,0.40625,0.625,1.0,1.0377358490566038,1.5719999999999998,-2.0,0.9726027397260274,0.4108527131782946,10.458998428052311,0.9621621621621622
A J Brown,2021,1.5771324863883849,1.4,0.7523809523809525,0.6,0.625,0.3125,0.375,0.7916666666666666,0.8333333333333334,1.4280000000000002,-0.0,0.5292792792792793,0.4069767441860465,9.631269462234664,0.9514388489208632
A J Brown,2022,2.854961832061069,2.046511627906977,0.85,0.6068965517241379,1.5714285714285714,0.71875,1.0,1.164179104477612,1.1132075471698113,1.34,-2.0,1.1572327044025157,0.5451127819548872,12.96828072112558,0.9868173258003766
A J Brown,2023,2.5543859649122806,2.2795698924731185,0.7884626346690987,0.6708860759493671,0.875,0.6176470588235294,0.5,0.7866666666666666,1.320754716981132,1.32,-2.0,0.9422310756972112,0.5808823529411765,11.23648643911358,0.9784313725490196
A J Brown,2024,1.9962997224791856,1.5402298850574712,0.8052238805970149,0.6907216494845361,0.875,0.53125,0.625,0.9571428571428572,0.9622641509433962,1.5219999999999998,-0.0,0.692156862745098,0.3646616541353383,11.561950662584897,0.9797160243407708
A J Derby,2016,0.298229263746505,0.3809523809523808,0.5,0.8421052631578947,0.0,0.0,0.0,0.2266666666666666,0.1346153846153846,0.8759999999999998,-1.0,0.1144859813084112,0.0719696969696969,2.44502463741694,0.277246653919694
A J Derby,2017,0.4924318869828456,0.56,0.6437437827083603,0.5121951219512195,0.25,0.1,0.0,0.3918918918918919,0.2444444444444444,1.048,-1.0,0.2021739130434782,0.1752136752136752,3.6200947162359154,0.4524271844660194
A J Derby,2018,0.0825451418744626,0.0689655172413792,0.8,0.6,0.1428571428571428,0.0,0.0,0.2533333333333333,0.0535714285714285,2.0,-0.0,0.0178926441351888,0.0192307692307692,4.038395977243704,0.5786516853932584
A J Dillon,2020,0.0390697674418604,0.0454545454545454,0.5526315789473685,1.0,0.0,0.0,0.0,0.2191780821917808,0.0188679245283018,1.0,-0.0,0.0365296803652968,0.0077519379844961,2.9194835169136497,0.3423423423423423
A J Dillon,2021,0.5680580762250452,0.7555555555555554,0.502139037433155,0.918918918918919,0.25,0.09375,0.125,0.6944444444444444,0.2777777777777778,0.882,-1.0,0.6981981981981982,0.1434108527131783,4.909252861266273,0.710431654676259
A J Dillon,2022,0.3931297709923664,0.6511627906976744,0.3678571428571428,0.6511627906976745,0.0,0.0,0.0,0.2537313432835821,0.1698113207547169,0.642,-1.0,0.4255765199161425,0.1616541353383458,2.7160858145376454,0.3220338983050847
A J Dillon,2023,0.3912280701754386,0.4731182795698924,0.5818456468003296,0.7857142857142857,0.0,0.1176470588235294,0.0,0.4666666666666667,0.1886792452830188,0.9079999999999998,-0.0,0.4601593625498008,0.1029411764705882,4.47599979205355,0.6705882352941176
A J Green,2011,1.9113924050632911,1.6455696202531649,0.8681290064102564,0.5603448275862069,0.875,0.5277777777777778,0.875,0.7341772151898734,0.8113207547169812,1.324,-0.0,0.6160337552742616,0.467741935483871,11.216487297755684,0.9761904761904762
A J Green,2012,2.493074792243767,2.3373493975903616,0.6627393225331369,0.5914634146341463,1.375,0.5,0.875,0.948051948051948,1.1090909090909091,1.258,-2.0,0.953125,0.6074074074074074,11.710302191551676,0.982791586998088
A J Green,2013,2.4189991518235794,2.305882352941176,0.7398823936354203,0.5444444444444444,1.375,0.5294117647058824,0.9,1.0379746835443038,1.0833333333333333,1.3259999999999998,-1.0,0.8306451612903226,0.6474820143884892,12.739055300106951,0.9901185770750988
A J Green,2014,1.9331476323119776,1.623529411764706,0.8482626156801119,0.5948275862068966,0.6666666666666666,0.40625,0.375,1.0125,0.8214285714285714,1.334,-2.0,0.6715481171548117,0.4461538461538462,8.733314447367588,0.9223107569721116
A J Green,2015,2.307829181494662,2.023529411764706,0.750657687046196,0.6515151515151515,1.1111111111111112,0.5588235294117647,0.5,1.0526315789473684,1.2115384615384617,1.466,-1.0,0.7415254237288136,0.5,11.875161536558233,0.9882352941176472
A J Green,2016,1.7968313140726937,1.5714285714285714,0.7303030303030302,0.66,0.5714285714285714,0.5,0.75,0.72,0.7884615384615384,1.242,-0.0,0.6752336448598131,0.3787878787878788,10.384474549342098,0.9636711281070746
A J Green,2017,2.175580221997982,2.0,0.7963427187405386,0.5172413793103449,1.0,0.3,0.5,1.0405405405405406,1.2222222222222223,1.466,-2.0,0.6869565217391305,0.6196581196581197,10.324541724208876,0.9611650485436892
A J Green,2018,1.1934651762682718,1.057471264367816,0.7543478260869565,0.5974025974025974,0.8571428571428571,0.3529411764705882,0.0,0.5066666666666667,0.6607142857142857,1.608,-2.0,0.3439363817097415,0.2961538461538461,6.228242077983626,0.8052434456928839
A J Green,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0810313075506445
A J Green,2020,0.9730232558139534,1.068181818181818,0.585666293393057,0.4519230769230769,0.25,0.09375,0.0,0.4520547945205479,0.6415094339622641,1.446,-0.0,0.2054794520547945,0.4031007751937984,6.570688900043311,0.8396396396396396
A J Green,2021,1.5390199637023594,1.2,0.8565656565656566,0.5869565217391305,0.375,0.5,0.375,0.5833333333333334,0.6851851851851852,1.37,-0.0,0.4076576576576576,0.3565891472868217,8.835307465470144,0.9388489208633094
A J Green,2022,0.4503816793893128,0.5581395348837208,0.4916666666666667,0.5106382978723404,0.2857142857142857,0.03125,0.1666666666666666,1.1492537313432836,0.2075471698113207,0.9159999999999998,-0.0,0.1174004192872117,0.1766917293233082,5.061350180958117,0.7231638418079096
A J Jenkins,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0037037037037037,0.0037037037037037,0.0975143403441682
