PLAYER NAME,YEAR,EXTRA POINT RATIO,FIELD GOALS MADE,POINTS,FIELD GOAL RATIO,0-19,20-29,30-39,40-49,50-59,60,Long,Field Goals Blocked,HOWGOOD RAW SCORE,PERCENTILE
Aaron Elling,2003,4.0,0.8181818181818182,1.0,2.88,1.0,1.0,0.75,1.1428571428571428,1.0,0.0,3.0,-0.5,16.09103896103896,0.4761904761904761
Aaron Elling,2004,4.0,0.0454545454545454,0.05,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.2941176470588234,-0.5,10.889572192513366,0.0714285714285714
Aaron Elling,2005,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.0,0.1111111111111111
Aaron Pettrey,2010,4.0,0.0833333333333333,0.1037735849056603,2.0,1.0,0.5,0.5,0.0,0.0,0.0,1.5849056603773586,-0.5,9.272012578616351,0.0909090909090909
Ace Parker,1940,3.456,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4559999999999995,0.5609756097560976
Adam Vinatieri,1996,3.716,1.125,1.1111111111111112,3.084,1.0,0.9,1.0,1.1428571428571428,1.5,0.0,3.0,-0.0,17.578968253968256,0.6363636363636364
Adam Vinatieri,1997,4.0,1.0416666666666667,1.074766355140187,3.448,1.0,1.0,0.7777777777777778,1.5,3.0,0.0,3.0,-0.0,19.842210799584635,0.9714285714285714
Adam Vinatieri,1998,4.0,1.4090909090909092,1.2626262626262623,3.18,1.0,1.0,0.6428571428571429,1.5,3.0,0.0,3.1730769230769234,-0.0,20.16765123765124,0.972972972972973
Adam Vinatieri,1999,3.868,1.0833333333333333,1.009433962264151,3.152,1.0,1.0,0.7142857142857143,1.1111111111111112,1.5,0.0,3.0,-1.5,15.938164120994308,0.4615384615384615
Adam Vinatieri,2000,4.0,1.125,1.0095238095238095,3.272,1.0,0.8461538461538461,0.8888888888888888,1.75,0.0,0.0,3.1176470588235303,-0.5,16.509213603390076,0.5238095238095238
Adam Vinatieri,2001,3.904,1.0434782608695652,1.118811881188119,3.2,1.0,1.0,0.875,1.1666666666666667,2.0,0.0,3.1764705882352944,-0.0,18.48442739695965,0.8780487804878049
Adam Vinatieri,2002,4.0,1.173913043478261,1.135922330097087,3.6,1.0,1.0,1.0,1.6,2.0,0.0,3.3529411764705883,-0.5,19.362776550045936,0.9777777777777776
Adam Vinatieri,2003,3.896,1.1363636363636365,1.0980392156862746,2.94,1.0,0.9411764705882352,0.5,1.25,0.0,0.0,2.8235294117647056,-0.5,15.085108734402851,0.3333333333333333
Adam Vinatieri,2004,4.0,1.4090909090909092,1.41,3.756,1.0,1.0,1.0,1.8333333333333333,0.0,0.0,2.8235294117647056,-0.0,18.23195365418895,0.6904761904761905
Adam Vinatieri,2005,3.904,0.8333333333333334,0.9433962264150944,3.2,1.0,1.0,0.9,1.3333333333333333,0.0,0.0,2.826923076923077,-0.5,15.44098597000484,0.3777777777777777
Adam Vinatieri,2006,4.0,1.0416666666666667,1.0560747663551402,3.572,1.0,1.0,0.9230769230769232,1.8,1.7999999999999998,0.0,2.7692307692307696,-1.5,17.4620491253295,0.6052631578947368
Adam Vinatieri,2007,3.844,0.9583333333333334,1.0442477876106195,3.172,1.0,0.9333333333333332,0.8,0.0,0.0,0.0,2.25,-0.5,13.501914454277289,0.175
Adam Vinatieri,2008,4.0,0.7407407407407407,0.865546218487395,3.2,1.0,1.0,0.8461538461538461,1.1428571428571428,3.0,0.0,2.943396226415094,-0.0,18.738694174654217,0.8048780487804879
Adam Vinatieri,2009,3.776,0.2916666666666667,0.38,3.112,1.0,1.0,0.5,2.0,0.0,0.0,2.7692307692307696,-0.0,14.828897435897437,0.2790697674418604
Adam Vinatieri,2010,4.0,1.0833333333333333,1.2169811320754718,3.716,1.0,1.0,0.9,1.8,1.0,0.0,2.716981132075472,-0.5,17.93329559748428,0.6363636363636364
Adam Vinatieri,2011,4.0,0.92,0.788135593220339,3.408,1.0,1.0,0.8571428571428571,1.6,2.0,0.0,3.0,-0.5,18.0732784503632,0.6052631578947368
Adam Vinatieri,2012,4.0,1.0,1.0,3.152,1.0,1.0,0.5714285714285714,1.8,2.25,0.0,3.0,-0.0,18.773428571428575,0.6666666666666666
Adam Vinatieri,2013,4.0,1.3461538461538465,1.1779661016949152,3.5,1.0,1.0,0.9090909090909092,1.7647058823529411,3.0,0.0,2.8888888888888884,-0.5,20.0868056281815,0.8
Adam Vinatieri,2014,4.0,1.1538461538461535,1.206896551724138,3.872,1.0,1.0,1.0,1.75,1.5,0.0,3.0,-1.0,18.482742705570292,0.6666666666666666
Adam Vinatieri,2015,3.656,1.0,0.9907407407407408,3.704,1.0,0.875,1.0,2.0,2.4000000000000004,0.0,3.055555555555556,-0.0,19.6812962962963,0.8717948717948718
Adam Vinatieri,2016,4.0,1.0,1.0416666666666667,3.484,1.0,1.0,1.0,1.6666666666666667,1.7999999999999998,0.0,3.0,-0.0,18.99233333333333,0.8055555555555556
Adam Vinatieri,2017,3.668,1.1153846153846154,1.0,3.412,1.0,1.0,0.7,1.7142857142857142,2.4000000000000004,2.0,3.0,-0.0,21.009670329670328,0.9318181818181818
Adam Vinatieri,2018,3.744,1.0,1.018018018018018,3.408,1.0,1.0,0.8571428571428571,1.6666666666666667,2.25,0.0,3.0,-0.0,18.94382754182754,0.7142857142857143
Adam Vinatieri,2019,3.144,0.7391304347826086,0.6952380952380952,2.72,1.0,0.8571428571428571,1.0,0.857142857142857,1.2000000000000002,0.0,3.055555555555556,-1.0,14.268209799861976,0.1428571428571428
Al Del Greco,1984,4.0,0.45,0.61,3.0,1.0,1.0,0.75,1.6,0.0,0.0,2.5961538461538463,-0.0,15.006153846153849,0.3714285714285714
Al Del Greco,1985,3.8,0.8636363636363636,0.9405940594059404,2.924,1.0,0.8333333333333334,1.0,1.1111111111111112,0.0,0.0,2.7058823529411766,-0.0,15.178557220427926,0.5641025641025641
Al Del Greco,1986,4.0,0.8947368421052632,0.851063829787234,2.52,1.0,1.0,0.6666666666666666,0.6666666666666666,1.5,0.0,2.9411764705882355,-0.0,16.040310475814067,0.717948717948718
Al Del Greco,1987,3.8,0.5294117647058824,0.5542168674698795,2.4,1.0,0.6,0.6666666666666666,1.0,0.0,0.0,2.82,-0.5,12.870295298842429,0.3333333333333333
Al Del Greco,1988,3.82,0.6,0.8041237113402062,2.284,1.0,0.6666666666666666,1.0,0.6666666666666666,1.5,0.0,3.06,-0.0,15.401457044673538,0.5641025641025641
Al Del Greco,1989,3.864,0.8571428571428571,0.8631578947368421,2.768,1.0,1.0,0.8333333333333334,0.909090909090909,1.5,0.0,3.0,-0.5,16.09472499430394,0.5833333333333334
Al Del Greco,1990,4.0,0.85,0.8913043478260869,2.52,1.0,1.0,0.7,1.0,1.0,0.0,3.0,-1.0,14.961304347826086,0.28125
Al Del Greco,1991,4.0,0.4761904761904761,0.4791666666666667,3.076,1.0,0.8,0.6666666666666666,1.3333333333333333,3.0,0.0,3.0,-0.0,17.831357142857144,0.7878787878787878
Al Del Greco,1992,4.0,1.105263157894737,1.118279569892473,3.112,1.0,0.8888888888888888,0.8333333333333334,1.0,3.0,0.0,3.115384615384615,-0.0,19.17314956539405,0.875
Al Del Greco,1993,3.9,1.16,1.2,3.412,1.0,1.0,0.8888888888888888,1.6,1.7142857142857142,0.0,2.943396226415094,-0.0,18.818570829589696,0.9
Al Del Greco,1994,4.0,0.7272727272727273,0.673469387755102,3.2,1.0,0.8,1.0,1.75,1.0,0.0,3.0,-0.0,17.150742115027832,0.6363636363636364
Al Del Greco,1995,4.0,1.125,1.0458715596330277,3.484,1.0,1.0,1.0,1.6666666666666667,1.7999999999999998,0.0,3.1176470588235303,-1.0,18.239185285123224,0.8333333333333334
Al Del Greco,1996,4.0,1.3333333333333333,1.212962962962963,3.368,1.0,1.0,0.875,1.6666666666666667,1.0,0.0,3.3600000000000003,-0.5,18.315962962962963,0.696969696969697
Al Del Greco,1997,4.0,1.125,1.0560747663551402,3.084,1.0,1.0,0.9090909090909092,1.0,3.0,0.0,3.0,-0.0,19.174165675446048,0.8857142857142857
Al Del Greco,1998,4.0,1.6363636363636365,1.3737373737373737,3.692,1.0,1.0,1.0,1.6,0.0,0.0,2.7692307692307696,-0.0,18.07133177933178,0.7027027027027027
Al Del Greco,1999,4.0,0.875,1.0,3.36,1.0,1.0,0.7777777777777778,1.3333333333333333,3.0,0.0,2.9411764705882355,-1.0,18.28728758169935,0.6666666666666666
Al Del Greco,2000,3.896,1.125,1.1238095238095238,3.272,1.0,0.8666666666666667,0.875,1.3333333333333333,3.0,0.0,2.9411764705882355,-0.0,19.43298599439776,0.8809523809523809
Al Lawler,1948,4.0,0.2,0.1363636363636363,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.336363636363636,0.8695652173913043
Al Pollard,1953,4.0,0.0,0.0175438596491228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.017543859649122,0.375
Aldrick Rosas,2017,3.48,0.6923076923076923,0.6788990825688074,2.88,1.0,1.0,0.6,0.8888888888888888,1.7999999999999998,0.0,2.8888888888888884,-0.0,15.908984552654278,0.3636363636363636
Aldrick Rosas,2018,3.876,1.391304347826087,1.1441441441441442,3.88,1.0,1.0,1.0,2.0,2.5,2.0,3.166666666666667,-0.5,22.4581151586369,1.0
Aldrick Rosas,2019,3.588,0.5217391304347826,0.6761904761904762,2.824,1.0,1.0,0.8333333333333334,0.5,3.0,0.0,2.5,-0.5,15.943262939958592,0.3333333333333333
Aldrick Rosas,2020,4.0,0.32,0.2972972972972973,2.908,1.0,1.0,1.0,0.0,3.0,0.0,2.9454545454545453,-0.5,15.970751842751843,0.3877551020408163
Aldrick Rosas,2021,4.0,0.0769230769230769,0.1666666666666666,1.6,1.0,1.0,0.0,2.0,0.0,0.0,2.4000000000000004,-0.0,12.243589743589745,0.18
Alex Henery,2011,4.0,0.96,1.0,3.556,1.0,1.0,0.8181818181818182,2.0,2.0,0.0,2.8867924528301887,-1.0,18.220974271012008,0.631578947368421
Alex Henery,2012,3.848,1.0384615384615383,0.9217391304347826,3.484,1.0,0.8888888888888888,0.8888888888888888,1.8333333333333333,1.5,0.0,2.773584905660377,-0.0,18.17689668566781,0.4444444444444444
Alex Henery,2013,4.0,0.8846153846153846,0.9661016949152542,3.284,1.0,1.0,0.875,1.4,2.5,2.0,2.833333333333333,-0.0,20.74305041286397,0.9428571428571428
Alex Henery,2014,4.0,0.0384615384615384,0.0689655172413793,0.8,1.0,1.0,0.2,0.0,1.0,0.0,2.8867924528301887,-0.0,10.994219508533106,0.0277777777777777
Alex Kessman,2021,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.0,0.06
Ali Haji-Sheikh,1983,3.828,1.9444444444444444,1.2828282828282829,3.332,1.0,1.0,0.9166666666666666,1.4545454545454546,1.2000000000000002,0.0,3.294117647058824,-0.0,19.25260249554367,0.9428571428571428
Ali Haji-Sheikh,1984,3.656,0.85,0.83,2.06,1.0,1.0,0.6153846153846154,0.8333333333333334,0.0,0.0,2.7692307692307696,-1.0,12.61394871794872,0.1428571428571428
Ali Haji-Sheikh,1985,4.0,0.0909090909090909,0.1089108910891089,1.6,1.0,1.0,0.4,0.0,3.0,0.0,3.0588235294117645,-0.0,14.258643511409964,0.4358974358974359
Ali Haji-Sheikh,1986,3.5,0.4736842105263157,0.3617021276595745,3.0,1.0,1.0,0.5,2.0,0.0,0.0,2.764705882352941,-0.0,14.600092220538832,0.4358974358974359
Ali Haji-Sheikh,1987,3.624,0.7647058823529411,0.8192771084337349,2.736,1.0,1.0,0.6,1.0,0.0,0.0,2.46,-0.0,14.003982990786676,0.5
Allan Leavitt,1977,4.0,0.3846153846153846,0.3278688524590163,2.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.0,0.0,2.5531914893617023,-0.0,12.099009059769436,0.3783783783783784
Allan Watson,1970,3.5,0.2631578947368421,0.25,2.0,1.0,1.0,0.0,0.5,0.0,0.0,2.755102040816327,-0.0,11.26825993555317,0.2580645161290322
Allen Green,1961,4.0,0.5555555555555556,0.5396825396825397,1.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.427238095238095,0.5357142857142857
Anders Carlson,2023,3.488,0.9310344827586208,0.9583333333333334,3.272,1.0,1.0,1.0,1.0,2.5,0.0,2.8392857142857144,-0.0,17.98865353037767,0.4418604651162791
Anders Carlson,2024,3.2,0.5,0.455357142857143,3.468,1.0,1.0,1.0,1.4285714285714286,3.0,0.0,3.05263157894736,-0.0,18.10456015037593,0.5
Andrew Franks,2015,3.668,0.52,0.6666666666666666,3.248,1.0,1.0,1.0,1.3333333333333333,0.0,0.0,2.9444444444444446,-0.0,15.380444444444446,0.1794871794871795
Andrew Franks,2016,3.904,0.5925925925925926,0.7416666666666667,3.048,1.0,0.8,1.0,0.6666666666666666,1.5,0.0,3.055555555555556,-0.0,16.308481481481483,0.2777777777777778
Andy Farkas,1942,4.0,0.0,0.1304347826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.130434782608695,0.6382978723404256
Andy Marefos,1941,4.0,1.3333333333333333,0.9,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.433333333333334,1.0
Andy Marefos,1942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2340425531914893
Andy Stynchula,1964,4.0,0.0,0.0149253731343283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.014925373134329,0.3636363636363636
Andy Stynchula,1965,3.692,0.3,0.3559322033898305,1.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.063932203389831,0.3636363636363636
Andy Tomasic,1942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2340425531914893
