PLAYER NAME,YEAR,PASSING YARDS,YARDS PER ATTEMPT,ATTEMPTS,COMPLETIONS,COMPLETION %,TOUCHDOWNS,INTERCEPTIONS,QB RATING,1ST DOWNS,1ST DOWN %,20,40,LONG,SACKS,SACK LOSS YARDS,RUSHING YARDS,ATTEMPTS.1,YARDS PER ATTEMPT.1,TOUCHDOWNS.1,20+.1,40+.1,LONG.1,RUSHING 1ST DOWNS,RUSHING 1ST %,FUMBLES,HOWGOOD RAW SCORE,PERCENTILE
A J Feeley,2001,0.0442313640581503,1.3421052631578900,0.014799154334038,0.0350877192982456,1.4280000000000000,0.1176470588235290,-0.1428571285714290,2.28,0.0526315789473684,1.5474254742547400,0.0512820512820512,0.0,0.1901408450704230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.960493380655010,0.8048780487804880
A J Feeley,2002,0.328780487804878,0.8918918918918920,0.1734234234234230,0.3060498220640570,1.116,0.3333333333333330,-0.7142856428571430,1.508,0.282051282051282,0.7922437673130190,0.4285714285714290,0.5,0.3533333333333330,-0.2692307692307690,-0.2666666666666670,0.0537086155529574,0.140487871737254,0.0753778361444409,0.0,0.0,0.0,0.1336306209562120,0.0,0.0,-2.0,4.1667006354229300,0.3614457831325300
A J Feeley,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0481927710843373
A J Feeley,2004,0.6212668198227770,0.6794871794871800,0.3836206896551720,0.7153558052434460,1.072,0.5789473684210530,-2.49999975,1.234,0.7163120567375890,0.7573333333333330,0.3488372093023260,0.0,0.2753623188405800,-0.7666666666666670,-0.7083333333333330,0.0955469177061513,0.1707825127659930,0.1113087906231310,0.25,0.0,0.0,0.1517442446667210,0.1178511301977580,0.1591184995022660,-2.0,2.4638751263054700,0.1647058823529410
A J Feeley,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0804597701149425
A J Feeley,2006,0.1183391003460210,1.1688311688311700,0.0432801822323462,0.0988593155893536,1.368,0.1666666666666670,0.0,2.458,0.1136363636363640,1.0851648351648400,0.0857142857142857,0.1428571428571430,0.6180555555555560,-0.0384615384615384,-0.0581395348837209,0.0414750947706998,0.0428746462856271,0.2024558522073970,0.0,0.0,0.0,0.0993399267798782,0.0,0.0,0.0,7.756949063292080,0.8651685393258430
A J Feeley,2007,0.2522222222222220,0.9041095890410960,0.1274752475247520,0.236,1.146,0.2777777777777780,-1.3333332,1.224,0.2297297297297300,0.8967391304347830,0.2352941176470590,0.2,0.3357142857142860,-0.125,-0.0636942675159235,0.1270892811894790,0.1228259211101290,0.2221472280249260,0.0,0.0,0.0,0.1517442446667210,0.1178511301977580,0.2146382715846970,0.0,5.499330709349490,0.6063829787234040
A J Feeley,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1555555555555560
A J Feeley,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0963855421686747
A J Feeley,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0930232558139534
A J Feeley,2011,0.1612713360800470,0.7,0.096613545816733,0.1766666666666670,1.092,0.0555555555555555,-0.3076922769230770,1.32,0.1698113207547170,0.7574931880108990,0.1136363636363640,0.0,0.2236842105263160,-0.3333333333333330,-0.3636363636363640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.862070213154520,0.2375
Aaron Brooks,2000,0.53178784685634,1.0263157894736800,0.2320574162679430,0.4556451612903230,1.164,0.5,-0.8571427714285710,1.714,0.4680851063829790,0.9315068493150680,0.5714285714285710,0.6666666666666670,0.3785714285714290,-0.5172413793103450,-0.5662650602409640,0.2409566543792010,0.2413268247908560,0.2276604232023720,0.3535533905932740,0.25,0.0,0.2870302486435250,0.25,0.2436698586202240,-1.632993161855450,7.160619863647120,0.8
