PLAYER NAME,YEAR,YARDS,ATTEMPTS,YARDS PER ATTEMPT,TOUCHDOWNS,20+,40+,LONG,RUSHING 1ST DOWNS,RUSHING 1ST %,FUMBLES,PASS YARDS,PASS RECEPTIONS,PASS YARDS PER RECEPTION,PASS LONG,PASS TOUCHDOWNS,HOWGOOD RAW SCORE,PERCENTILE
A B Brown,1989,0.0503597122302158,0.019607843137254898,0.6373684210526316,0.0,0.0,0.0,0.06439393939393936,0.025641025641025633,0.592,0.0,0.007880220646178066,0.03418803418803417,0.06944444444444443,0.021739130434782598,0.0,1.5226227711685063,0.13333333333333333
A B Brown,1990,0.056960372296222396,0.021241830065359468,1.6803132063287052,0.0,0.0,0.0,0.09217171717171713,0.03924646781789637,1.9253333333333333,0.0,0.007880220646178066,0.03418803418803417,0.06944444444444443,0.021739130434782598,0.0,3.948518756726673,0.3635964912280702
A B Brown,1991,0.060530207191358466,0.026343870881685966,1.8474547068035392,0.047619047619047596,0.0,0.0,0.09823232323232317,0.046653875225303766,2.592,-0.0,0.007880220646178066,0.03418803418803417,0.06944444444444443,0.021739130434782598,0.0,4.852085860666697,0.4206741167988464
A B Brown,1992,0.03822660718559153,0.04261046720631447,1.4342143589355842,0.047619047619047596,0.0,0.0,0.06508838383838379,0.02754879729669643,2.08974358974359,-0.3333333333333333,0.025062656641603998,0.027777777777777766,0.2160831509846827,0.07751937984496123,0.0,3.7581608837409006,0.32165450895570913
A J Dillon,2020,0.2004140786749482,0.0819964349376114,0.5430575035063114,0.09523809523809523,0.13333333333333333,0.0,0.0847457627118644,0.08333333333333333,0.2388805597201399,0.0,0.015981735159817333,0.012578616352201234,0.2855999999999999,0.05555555555555553,0.0,1.8307150085232111,0.20930232558139536
A J Dillon,2021,0.8157397491730324,0.3890571902742288,0.9520210889404851,0.3333333333333333,0.3,0.0,0.19383667180277345,0.4305555555555556,0.5057471264367815,-0.5,0.24886863992172212,0.25371336812525086,0.5339601354210748,0.2158119658119658,0.2222222222222222,4.894867047018425,0.4967640992817011
A J Dillon,2022,1.3624206153427165,0.6842952855123241,1.4036339921662915,0.6666666666666666,0.4666666666666666,0.0,0.2741938146599163,0.7502834467120181,0.8430804597701149,-0.5,0.4227083023689795,0.4481578125696954,0.7242310713816659,0.2832722832722832,0.2222222222222222,8.051832639311561,0.7925157332686293
A J Dillon,2023,1.5868159614771933,0.8732273132839973,1.2432231802954359,0.6666666666666666,0.38888888888888884,0.3333333333333333,0.32550247371675933,0.8802834467120181,0.9041999000499749,-0.5,0.6044216026701551,0.5793700458906966,0.7558881492021241,0.3492445054945055,0.2222222222222222,9.21328768990397,0.8600495658793244
A J Jones 2,1985,0.0012970168612191333,0.0014306151645207333,0.25,0.0,0.0,0.0,0.005649717514124267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25837734953986413,0.04273504273504273
A J Schable,2006,0.002944640753828,0.0012870012870012666,0.6106870229007635,0.0,0.0,0.0,0.014619883040935666,0.0062893081761006,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.3024945228252958,0.2178649237472767
