Player Name,Receptions,Yards,Average,Long,Touchdowns
Pete Pihos,62,864,13.94,40,7
Billy Wilson,53,831,15.68,72,7
Lew Carpenter,44,312,7.09,34,2
Tom Fears,44,569,12.93,31,2
Billy Howton,44,697,15.84,60,5
Dave Middleton,44,663,15.07,77,3
Harlon Hill,42,789,18.79,86,9
Ray Mathews,42,762,18.14,61,6
Gary Knafelc,40,613,15.33,48,8
Jim Doran,38,552,14.53,38,2
Bill Stribling,38,568,14.95,56,6
Elbie Nickel,36,488,13.56,30,2
Bill McColl,35,502,14.34,42,4
Darrel Brewster,34,622,18.29,41,6
Frank Gifford,33,437,13.24,54,4
Jim Mutscheller,33,518,15.7,48,7
Dante Lavelli,31,492,15.87,49,4
Kyle Rote,31,580,18.71,71,8
Ray Renfro,29,603,20.79,61,8
Don Stonesifer,28,330,11.79,28,5
Alan Ameche,27,141,5.22,18,0
Lynn Chandnois,27,385,14.26,36,0
Bobby Walston,27,443,16.41,63,3
Gordie Soltau,26,358,13.77,36,1
Hal Giancanelli,25,379,15.16,59,1
Elroy Hirsch,25,460,18.4,72,2
Bob Schnelker,25,326,13.04,31,2
Fran Rogel,24,222,9.25,28,0
Ron Waller,24,228,9.5,30,1
John Carson,23,443,19.26,51,3
Earl Girard,23,301,13.09,34,0
Ed Bernet,22,276,12.55,38,1
Bob Boyd,22,383,17.41,74,3
Howie Ferguson,22,153,6.95,16,0
Doak Walker,22,428,19.45,70,5
Alex Webster,22,269,12.23,48,1
Lloyd Colteryahn,21,251,11.95,22,3
Woodley Lewis,19,199,10.47,19,0
Joe Perry,19,55,2.89,19,1
Skeets Quinlan,19,245,12.89,46,0
Sid Watson,19,223,11.74,62,1
Buddy Young,19,426,22.42,82,1
Ollie Matson,17,237,13.94,70,2
Gene Schroeder,17,315,18.53,51,2
Al Carmichael,16,222,13.88,32,1
Rick Casares,16,136,8.5,29,1
Dave Mann,16,137,8.56,42,1
Dorne Dibble,14,179,12.79,44,2
Veryl Switzer,14,103,7.36,22,1
Bert Zagers,14,306,21.86,57,0
Joe Arenas,13,255,19.62,53,2
Raymond Berry,13,205,15.77,45,0
Leo Elter,13,219,16.85,70,1
Ed Modzelewski,13,113,8.69,28,2
Breezy Reid,13,138,10.62,60,1
Carroll Hardy,12,338,28.17,78,4
Rob Goode,11,152,13.82,50,0
John Hoffman,11,153,13.91,37,1
Vic Janowicz,11,149,13.55,48,3
Ken MacAfee,11,170,15.45,40,1
Hugh McElhenny,11,203,18.45,55,2
Jerry Norton,11,125,11.36,36,1
L.G. Dupre,10,153,15.3,30,0
Dale Atkeson,9,81,9.0,15,1
Maurice Bassett,9,83,9.22,25,0
Leon Campbell,9,76,8.44,36,0
Jimmy Carr,9,157,17.44,59,0
Leon Hart,9,54,6.0,14,1
Joe Johnson,9,71,7.89,30,1
Fred Morrison,9,185,20.56,49,0
Jack O'Brien,9,105,11.67,38,2
Johnny Olszewski,9,37,4.11,9,0
Ralph Thomas,9,105,11.67,25,2
Dick Bielski,8,48,6.0,19,0
Bud Laughlin,8,54,6.75,27,0
Jim Monachino,8,74,9.25,24,0
Harry Jagade,7,16,2.29,15,0
Toy Ledbetter,7,88,12.57,37,1
Gern Nagler,7,218,31.14,74,3
Corky Taylor,7,47,6.71,17,1
Dick Brubaker,6,125,20.83,43,0
Jack Hoffman,6,86,14.33,32,0
Buford Long,6,64,10.67,34,1
Dan Towler,6,25,4.17,11,0
Bobby Watkins,6,79,13.17,34,0
Tank Younger,6,51,8.5,13,0
Billy Cox,5,71,14.2,28,0
Bobby Epps,5,8,1.6,5,0
Mal Hammack,5,13,2.6,10,0
Bob Hoernschemeyer,5,36,7.2,15,0
Bill Stits,5,17,3.4,14,0
Frank Bernardi,4,77,19.25,39,1
Charlie Jones,4,58,14.5,21,0
Dicky Moegle,4,94,23.5,53,0
Harry Babcock,3,31,10.33,16,0
Max Boydston,3,79,26.33,67,1
Norb Hecker,3,31,10.33,13,1
Harry Hugasian,3,32,10.67,13,0
Dub Jones,3,115,38.33,46,1
Tom McCormick,3,4,0
Burrell Shields,3,27,9.0,19,0
George Taliaferro,3,17,5.67,14,0
Mel Triplett,3,9,3.0,12,0
Ted Wegert,3,17,5.67,12,0
Ralph Goldston,2,8,4.0,9,0
John Henry Johnson,2,6,3.0,11,0
Don Kindt,2,15,7.5,10,0
Dick Lane,2,110,55.0,98,1
Bob Smith,2,12,6.0,10,0
Dick Young,2,15,7.5,11,0
Bibbles Bawel,1,6,6.0,6,0
Fred Cone,1,7,7.0,7,0
Chuck Drazenovich,1,0
Ron Drzewiecki,1,1,1.0,1,0
Jack McClairen,1,13,13.0,13,0
Jim Parmer,1,0
Bill Pellington,1,10,10.0,10,0
Pete Perini,1,3,3.0,3,0
Eddie Price,1,2,2.0,2,0
Ray Gene Smith,1,13,13.0,13,0
Carl Taseff,1,3,3.0,3,0
Royce Womble,1,14,14.0,14,0
