Player Name,Receptions,Yards,Average,Long,Touchdowns
Jim Keane,64,910,14.22,50,10
Bob Nussbaumer,47,597,12.7,55,4
Mal Kutner,43,944,21.95,70,7
Billy Dewell,42,576,13.71,46,4
Nolan Luhn,42,696,16.57,44,7
Clyde Goodnight,38,593,15.61,69,6
John Greene,38,621,16.34,47,5
Jim Benton,35,511,14.6,43,6
Val Jansante,35,599,17.11,46,5
Eddie Saenz,34,598,17.59,74,4
Ken Kavanaugh,32,818,25.56,81,13
George McAfee,32,492,15.38,53,1
Bill Dudley,27,375,13.89,64,7
Hugh Taylor,26,511,19.65,62,6
Harold Crisler,25,363,14.52,49,2
Don Currivan,24,782,32.58,78,9
Pete Pihos,23,382,16.61,66,7
Ray Poole,23,395,17.17,61,4
Charlie Trippi,23,240,10.43,62,0
Babe Dimancheff,22,438,19.91,80,4
Dick Poillon,20,250,12.5,30,4
Jack Ferrante,18,341,18.94,54,4
Neill Armstrong,17,197,11.59,46,2
George Cheverko,17,300,17.65,62,3
Frank Liebel,16,258,16.13,38,1
Paul McKee,16,242,15.13,29,2
Kelley Mote,16,180,11.25,46,1
Bosh Pritchard,16,315,19.69,69,3
Bob Fenimore,15,219,14.6,29,2
Cecil Souders,15,184,12.27,34,1
Jack Banta,14,198,14.14,64,0
Joe Duckworth,14,250,17.86,55,3
Ted Cremer,13,117,9.0,32,1
Ralph Heywood,13,198,15.23,39,2
Dick Humbert,13,139,10.69,19,0
Jim Gillette,12,224,18.67,50,1
Ray Hamilton,12,193,16.08,39,1
Red Hickey,12,196,16.33,42,2
Howie Livingston,12,273,22.75,65,3
Frank Seno,12,118,9.83,30,1
Jim Castiglia,11,88,8.0,25,0
Steve Lach,11,77,7.0,24,1
Ray McLean,11,125,11.36,19,1
George Franck,10,265,26.5,88,3
Joe Margucci,10,125,12.5,79,1
Steve Pritko,10,101,10.1,20,0
Joe Tereshinski,10,76,7.6,20,1
Tony Compagno,9,190,21.11,39,1
Pat Harder,9,78,8.67,21,0
Steve Van Buren,9,79,8.78,35,0
Tex Coulter,8,107,13.38,47,1
Tom Farmer,8,137,17.13,31,0
Victor Carroll,7,123,17.57,29,2
Ted Cook,7,111,15.86,29,1
Bob Forte,7,80,11.43,22,2
Hugh Gallarneau,7,56,8.0,28,0
Marshall Goldberg,7,52,7.43,19,0
Mike Holovak,7,119,17.0,60,0
Joe Osmanski,7,134,19.14,39,0
Sal Rosato,7,107,15.29,26,1
Charlie Seabright,7,16,2.29,10,0
Joe Sulaitis,7,53,7.57,16,0
Jack Zilly,7,75,10.71,19,0
Fred Gehrke,6,19,3.17,11,0
Joe Golding,6,52,8.67,24,2
Pete Kmetovic,6,143,23.83,53,2
Jack Lookabaugh,6,78,13.0,31,1
Frank Maznicki,6,76,12.67,26,0
Jack Mead,6,91,15.17,41,0
Doug Turley,6,95,15.83,24,1
George Wilde,6,45,7.5,18,1
Elmer Angsman,5,138,27.6,52,1
Bill Chipley,5,105,21.0,40,1
Bob Davis,5,145,29.0,44,0
Bill Garnaas,5,144,28.8,68,2
Tom Harmon,5,89,17.8,33,1
Jack Jenkins,5,96,19.2,37,0
Vince Pacewic,5,42,8.4,15,0
Bob Wiese,5,53,10.6,24,0
Camp Wilson,5,96,19.2,38,0
Jimmy Blumenstock,4,15,3.75,24,0
Bill deCorrevont,4,52,13.0,19,0
Elmer Madarik,4,75,18.75,26,0
Dante Magnani,4,57,14.25,40,1
Bill Paschal,4,70,17.5,30,0
Jim Peebles,4,26,6.5,11,0
Gene Roberts,4,58,14.5,30,0
Rudy Romboli,4,30,7.5,27,0
Bruce Smith,4,50,12.5,36,1
Ed Sprinkle,4,43,10.75,15,0
Ernie Steele,4,62,15.5,44,0
Gil Steinke,4,90,22.5,60,1
Bob Sullivan,4,72,18.0,50,1
Dick Todd,4,84,21.0,38,0
Joe Watt,4,104,26.0,75,2
Bob Cifers,3,58,19.33,37,0
