Player Name,Receptions,Yards,Average,Long,Touchdowns
Billy Wilson,60,889,14.82,77,5
Billy Howton,55,1188,21.6,66,12
Frank Gifford,51,603,11.82,48,4
Harlon Hill,47,1128,24.0,79,11
Jim Mutscheller,44,715,16.25,53,6
John Carson,39,504,12.92,26,3
Dave Middleton,39,606,15.54,56,5
Bobby Walston,39,590,15.13,51,3
Raymond Berry,37,601,16.24,54,2
Leon Clarke,36,650,18.06,60,4
Elroy Hirsch,35,603,17.23,76,6
Dorne Dibble,32,597,18.66,56,2
Ray Mathews,31,540,17.42,64,5
Bob Boyd,30,586,19.53,61,7
Gary Knafelc,30,418,13.93,38,6
Darrel Brewster,28,417,14.89,41,1
Joe Johnson,28,258,9.21,20,0
Kyle Rote,28,405,14.46,31,4
Elbie Nickel,27,376,13.93,47,5
Alan Ameche,26,189,7.27,22,0
Jim Doran,25,448,17.92,31,0
Bill McColl,24,322,13.42,69,4
Steve Meilinger,24,395,16.46,51,5
Rick Casares,23,203,8.83,33,2
Fran Rogel,23,88,3.83,13,0
Clyde Conner,22,362,16.45,49,1
Howie Ferguson,22,214,9.73,25,0
Don Stonesifer,22,320,14.55,58,2
Alex Webster,21,197,9.38,43,3
Dante Lavelli,20,344,17.2,68,1
Gene Schroeder,20,315,15.75,32,1
Joe Perry,18,104,5.78,20,0
Gordie Soltau,18,299,16.61,33,1
Tank Younger,18,268,14.89,54,0
Johnny Olszewski,17,182,10.71,31,0
Ray Renfro,17,325,19.12,46,4
Preston Carpenter,16,124,7.75,34,0
L.G. Dupre,16,216,13.5,49,2
Hugh McElhenny,16,193,12.06,22,0
Gene Gedman,15,142,9.47,43,1
Ollie Matson,15,199,13.27,45,2
Joe Arenas,14,226,16.14,50,1
Leon Hart,14,116,8.29,29,1
Ken MacAfee,14,184,13.14,29,4
Gern Nagler,14,268,19.14,49,4
Lowell Perry,14,334,23.86,75,2
Al Carmichael,13,180,13.85,63,1
Dave Mann,13,170,13.08,23,1
Don Schaefer,13,117,9.0,27,0
Fred Cone,12,218,18.17,69,2
Joe Marconi,12,70,5.83,31,0
Pete Retzlaff,12,159,13.25,20,0
Sid Watson,12,138,11.5,37,0
Leo Elter,11,99,9.0,17,0
Ron Miller,11,129,11.73,21,0
Lenny Moore,11,102,9.27,27,1
Billy Vessels,11,177,16.09,30,1
John Bredice,10,146,14.6,40,1
Hank Burnine,10,208,20.8,52,2
Hal Giancanelli,10,104,10.4,18,0
Ed Modzelewski,10,27,2.7,6,0
Howard Cassady,9,83,9.22,21,0
Bob Schnelker,9,122,13.56,19,1
Ron Waller,9,76,8.44,16,0
Royce Womble,9,180,20.0,43,2
Dick Bielski,8,63,7.88,17,0
John Henry Johnson,8,90,11.25,28,0
Don McIlhenny,8,70,8.75,21,2
Lynn Chandnois,7,71,10.14,17,1
John Hoffman,7,85,12.14,35,0
Dick James,7,127,18.14,34,2
Ken Keller,7,36,5.14,13,0
Jack Losch,7,85,12.14,43,0
Skeets Quinlan,7,87,12.43,31,0
Dale Atkeson,6,28,4.67,26,0
Max Boydston,6,116,19.33,39,2
Joe Childress,6,82,13.67,34,1
Fred Morrison,6,29,4.83,10,1
Jack O'Brien,6,71,11.83,25,0
Tommy Runnels,6,56,9.33,22,1
Mel Triplett,6,48,8.0,35,1
Ted Wegert,6,46,7.67,19,0
Billy Wells,6,86,14.33,34,0
Tommy Wilson,6,86,14.33,34,0
Lou Baldacci,5,62,12.4,22,0
Bill Bowman,5,34,6.8,18,1
Bob Carey,5,60,12.0,18,1
Tom Fears,5,49,9.8,18,0
Perry Jeter,5,52,10.4,23,0
Jack McClairen,5,56,11.2,18,0
Sam Baker,4,35,8.75,17,0
Maurice Bassett,4,29,7.25,31,1
Frank Bernardi,4,56,14.0,19,0
Jim Dooley,4,47,11.75,15,0
Jerry Reichow,4,63,15.75,41,1
Willie Berzinski,3,35,11.67,17,0
Lloyd Colteryahn,3,29,9.67,16,0
Gene Filipski,3,37,12.33,21,0
Henry Ford,3,7,2.33,8,0
Earl Girard,3,33,11.0,16,0
Dicky Moegle,3,79,26.33,37,0
Breezy Reid,3,16,5.33,12,0
Bill Stits,3,52,17.33,27,0
Tom Tracy,3,6,2.0,5,0
Alex Burl,2,24,12.0,19,1
Harland Carl,2,31,15.5,20,0
Bill Jessup,2,7,3.5,10,0
Bill Stribling,2,11,5.5,7,0
Bobby Watkins,2,3,1.5,6,1
Don Bingham,1,7,7.0,7,0
Jack Butler,1,10,10.0,10,1
Don Chandler,1,5,5.0,5,0
Art Davis,1,9,9.0,9,0
Dick Lane,1,75,75.0,75,0
Jerry Planutis,1,5,5.0,5,0
Lee Riley,1,10,10.0,10,0
Bill Roberts,1,14,14.0,14,0
Rocky Ryan,1,31,31.0,31,0
Charlie Shepard,1,31,31.0,31,0
Charlie Smith,1,13,13.0,13,0
Johnny Unitas,1,1,1.0,1,0
