Player Name,Receptions,Yards,Average,Long,Touchdowns
Billy Wilson,52,757,14.56,40,6
Raymond Berry,47,800,17.02,67,6
Jack McClairen,46,630,13.7,48,2
Frank Gifford,41,588,14.34,63,4
Lenny Moore,40,687,17.18,82,7
Billy Howton,38,727,19.13,77,5
Jim Dooley,37,530,14.32,32,1
Hugh McElhenny,37,458,12.38,43,2
John Carson,34,583,17.15,38,3
Jim Doran,33,624,18.91,65,5
L.G. Dupre,32,339,10.59,43,2
Elroy Hirsch,32,477,14.91,45,6
Jim Mutscheller,32,558,17.44,66,8
Darrel Brewster,30,614,20.47,56,2
Clyde Conner,30,412,13.73,41,4
Alex Webster,30,330,11.0,41,1
Bob Boyd,29,534,18.41,51,3
Ron Kramer,28,337,12.04,31,0
Preston Carpenter,27,398,14.74,33,2
Gern Nagler,27,475,17.59,83,4
R.C. Owens,27,395,14.63,46,5
Jim Podoley,27,554,20.52,82,4
Rick Casares,25,225,9.0,43,0
Howard Cassady,25,325,13.0,48,3
Kyle Rote,25,358,14.32,33,3
Leon Clarke,23,442,19.22,70,4
Steve Junker,22,305,13.86,32,4
Earl Girard,21,419,19.95,46,4
Harlon Hill,21,483,23.0,53,2
Woodley Lewis,21,424,20.19,53,5
Ray Renfro,21,589,28.05,65,6
Gene Babb,20,141,7.05,17,0
John Henry Johnson,20,141,7.05,16,0
Ollie Matson,20,451,22.55,75,3
Fran Rogel,20,128,6.4,18,0
Bob Schnelker,20,450,22.5,70,5
Billy Ray Barnes,19,212,11.16,67,1
Don Bosseler,19,152,8.0,25,0
Bill McColl,19,282,14.84,30,1
Jon Arnett,18,322,17.89,66,3
Don McIlhenny,18,210,11.67,28,2
Dave Middleton,18,294,16.33,56,2
Max McGee,17,273,16.06,49,1
Jerry Reichow,17,215,12.65,32,3
Jim Brown,16,55,3.44,12,1
Ken MacAfee,16,229,14.31,41,2
Joe Marconi,16,171,10.69,61,1
Alan Ameche,15,137,9.13,40,2
Howie Ferguson,15,107,7.13,17,1
Willie Galimore,15,201,13.4,56,2
Ray Mathews,15,369,24.6,64,4
Joe Perry,15,130,8.67,17,0
Max Boydston,14,193,13.79,33,0
Bill Stribling,14,194,13.86,58,1
Billy Wells,14,89,6.36,17,0
Al Carmichael,13,184,14.15,39,0
Steve Meilinger,13,183,14.08,34,2
Bill Bowman,11,107,9.73,21,0
Clarence Peaks,11,99,9.0,53,0
Bobby Walston,11,266,24.18,49,1
Joe Childress,10,146,14.6,28,0
Gene Gedman,10,135,13.5,47,0
Elbie Nickel,10,115,11.5,31,1
Pete Retzlaff,10,120,12.0,28,0
Gary Knafelc,9,164,18.22,53,2
Tommy McDonald,9,228,25.33,61,3
Dick Bielski,8,81,10.13,19,2
Dorne Dibble,8,121,15.13,23,0
Bobby Epps,8,81,10.13,34,0
Dave Mann,8,137,17.13,32,0
Tank Younger,8,61,7.63,16,0
Hank Burnine,7,63,9.0,16,0
Joe Johnson,7,75,10.71,14,1
Tommy Wilson,7,95,13.57,19,1
Royce Womble,7,69,9.86,37,0
Leo Elter,6,94,15.67,49,1
Paul Hornung,6,34,5.67,16,0
Lamar Lundy,6,114,19.0,34,3
Tom Tracy,6,24,4.0,7,0
Lew Carpenter,5,65,13.0,21,0
Jimmy Sears,5,66,13.2,27,0
Gordie Soltau,5,47,9.4,18,0
Ron Waller,5,40,8.0,17,0
Jack Call,4,18,4.5,8,0
Frank Clarke,4,77,19.25,43,0
Fred Cone,4,30,7.5,10,0
Dean Derby,4,79,19.75,36,0
Leon Hart,4,55,13.75,22,0
Ken Keller,4,31,7.75,30,0
Rocky Ryan,4,91,22.75,46,2
Mel Triplett,4,75,18.75,33,0
Dick Young,4,38,9.5,12,0
Chet Hanulak,3,38,12.67,19,0
Johnny Olszewski,3,36,12.0,24,0
Gene Schroeder,3,48,16.0,18,0
Ray Gene Smith,3,37,12.33,21,0
Joe Walton,3,57,19.0,24,0
Bobby Watkins,3,90,30.0,74,1
Sid Watson,3,24,8.0,11,0
Tom Braatz,2,52,26.0,37,0
Eddie Crawford,2,40,20.0,27,0
Bill Jessup,2,29,14.5,22,0
Perry Jeter,2,9,4.5,11,0
Frank Purnell,2,16,8.0,15,0
Joe Scudero,2,30,15.0,18,0
Ed Sutton,2,32,16.0,17,1
Joe Arenas,1,10,10.0,10,0
Larry Barnes,1,1,1.0,1,0
Frank Bernardi,1,13,13.0,13,0
Milt Campbell,1,25,25.0,25,1
James Caroline,1,33,33.0,33,0
Ron Drzewiecki,1,7,7.0,7,0
Gene Filipski,1,7,7.0,7,0
Bob Gaona,1,0
Mal Hammack,1,14,14.0,14,0
Charley Powell,1,27,27.0,27,0
Billy Reynolds,1,12,12.0,12,0
Perry Richards,1,15,15.0,15,0
Tommy Runnels,1,4,4.0,4,0
Leo Sugar,1,14,14.0,14,0
Neil Worden,1,3,3.0,3,0
