Player Name,Receptions,Yards,Average,Long,Touchdowns
Raymond Berry,74,1298,17.54,70,10
Sonny Randle,62,893,14.4,57,15
Red Phillips,52,883,16.98,61,8
Jim Gibbons,51,604,11.84,65,2
Pete Retzlaff,46,826,17.96,57,5
Bobby Mitchell,45,612,13.6,69,6
Lenny Moore,45,936,20.8,80,9
Gail Cogdill,43,642,14.93,63,1
Willard Dewveall,43,804,18.7,91,5
Kyle Rote,42,750,17.86,71,10
Buddy Dial,40,972,24.3,70,9
Tommy McDonald,39,801,20.54,64,13
Bill Anderson,38,488,12.84,48,3
Clyde Conner,38,531,13.97,65,2
Max McGee,38,787,20.71,57,4
Bob Schnelker,38,610,16.05,70,2
R.C. Owens,37,532,14.38,42,6
Jim Dooley,36,426,11.83,28,1
Gern Nagler,36,616,17.11,53,3
J.D. Smith,36,181,5.03,21,1
Jim Doran,31,554,17.87,75,3
Boyd Dowler,30,505,16.83,91,2
Bobby Walston,30,563,18.77,49,4
Jon Arnett,29,226,7.79,24,2
Preston Carpenter,29,495,17.07,70,2
Fred Dugan,29,461,15.9,49,1
Joe Morrison,29,367,12.66,51,3
Jimmy Orr,29,541,18.66,51,4
Paul Hornung,28,257,9.18,33,2
Joe Walton,27,401,14.85,35,3
Angelo Coia,25,478,19.12,59,4
John David Crow,25,462,18.48,52,3
Alex Hawkins,25,280,11.2,49,3
Frank Gifford,24,344,14.33,44,3
Ray Renfro,24,378,15.75,66,4
Tom Tracy,24,349,14.54,65,4
Billy Howton,23,363,15.78,41,4
Monty Stickles,22,252,11.45,28,0
L.G. Dupre,21,216,10.29,36,2
Howard Cassady,20,238,11.9,40,1
Johnny Morris,20,224,11.2,66,3
Billy Ray Barnes,19,132,6.95,16,2
Jim Brown,19,204,10.74,37,2
Carroll Dale,19,336,17.68,63,3
Jim Mutscheller,18,271,15.06,43,2
Jim Podoley,17,244,14.35,41,1
Clendon Thomas,17,275,16.18,58,2
Dick James,16,243,15.19,49,2
Rich Kreitling,16,316,19.75,69,3
Ted Dean,15,218,14.53,49,3
Ollie Matson,15,98,6.53,24,0
Don McIlhenny,15,120,8.0,64,1
Jim Taylor,15,121,8.07,27,0
Gary Knafelc,14,164,11.71,23,0
Walt Kowalczyk,14,143,10.21,23,1
Hugh McElhenny,14,114,8.14,45,1
Clarence Peaks,14,116,8.29,34,0
Gene Babb,13,140,10.77,27,1
Dick Bass,13,92,7.08,26,0
Don Bosseler,13,86,6.62,50,0
Hugh McInnis,13,260,20.0,51,0
Nick Pietrosante,13,129,9.92,28,0
John Henry Johnson,12,112,9.33,26,1
Dan Lewis,12,192,16.0,55,1
Dee Mackey,12,159,13.25,25,0
Del Shofner,12,122,10.17,17,1
Joe Childress,11,202,18.36,52,2
Leon Clarke,11,184,16.73,86,4
Tommy Wilson,11,82,7.45,40,2
Johnny Olszewski,10,62,6.2,31,0
Ken Webb,10,68,6.8,25,0
Timmy Brown,9,247,27.44,71,2
Frank Clarke,9,290,32.22,76,3
Joe Marconi,9,32,3.56,17,0
C.R. Roberts,9,49,5.44,27,0
Ed Vereb,9,119,13.22,26,0
Rick Casares,8,64,8.0,21,0
Art DeCarlo,8,116,14.5,22,0
Billy Pricer,8,77,9.63,21,1
Jerry Richardson,8,90,11.25,23,1
Alex Webster,8,106,13.25,27,0
Alan Ameche,7,56,8.0,19,0
Bobby Joe Conrad,7,103,14.71,24,0
Sam Horner,7,106,15.14,35,0
Tom Osborne,7,46,6.57,10,0
Steve Junker,6,55,9.17,14,0
Terry Barr,5,26,5.2,11,1
Jamie Caleb,5,2,0
Harlon Hill,5,98,19.6,45,0
Dave Middleton,5,51,10.2,20,0
Tom Moore,5,40,8.0,12,1
Mel Triplett,5,48,9.6,24,2
Dick Bielski,4,38,9.5,15,1
Mal Hammack,4,36,9.0,26,0
Ron Kramer,4,55,13.75,18,0
Willie Galimore,3,35,11.67,33,0
Dick Haley,3,21,7.0,11,0
Phil King,3,6,2.0,4,0
Dick Lucas,3,34,11.33,19,0
Ray Mathews,3,44,14.67,20,0
Frank Mestnik,3,24,8.0,15,0
Joe Perry,3,3,0
Billy Wilson,3,51,17.0,19,1
John Adams,2,0,0
Darrel Brewster,2,26,13.0,18,0
Merrill Douglas,2,11,5.5,9,0
Bill Kimber,2,48,24.0,41,0
Ed Kovac,2,27,13.5,25,0
Steve Meilinger,2,43,21.5,23,0
Fred Murphy,2,36,18.0,23,0
Theron Sapp,2,20,10.0,14,0
Ed Sutton,2,30,15.0,16,0
Ed Brown,1,0
Lew Carpenter,1,21,21.0,21,0
Glenn Davis,1,17,17.0,16,0
Darrell Dess,1,3,3.0,3,0
Prentice Gautt,1,10,10.0,10,0
Larry Krutko,1,8,8.0,8,0
Herman Lee,1,16,16.0,16,0
Woodley Lewis,1,19,19.0,19,0
Jack McClairen,1,17,17.0,17,0
Perry Richards,1,10,10.0,10,0
Charlie Scales,1,0
Bob Simms,1,58,58.0,58,0
Pat Summerall,1,15,15.0,15,0
Carl Taseff,1,13,13.0,13,0
A.D. Williams,1,5,5.0,5,0
Frank Ryan,0,32,0.0,32,1
Frank Varrichione,0,0.0,0
Billy Wade,0,10,0.0,10,0
